task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,example_selector_screen,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,1,1.0,1,1.0,1.0,0.8557692307692307,0.3756787330316742,0.3063097033685269,0.34701419751721563,0.35862819898373455,0.6,0.9038461538461539,0.4,1.0,0.9391968325791855,3.013619485773297,0.2584985507548956,0.12214526997306963,0.24950043038465267,,,,,,,,,,,,,
regression,example_selector_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1095.0073159706922,1806.5639228280272,885.6531750840331,0.8584566480494706,-0.0007941079138635843,0.14891498928631808,-0.0007941079138635843,0.17006137278765932,0.10096153846153846,373.64279116117035,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,1,1.0,1,1.0,1.0,0.7980769230769231,0.38235294117647056,0.3137254901960784,0.35007922894715343,0.33789574600454875,0.5,0.9134615384615384,0.5,1.0,0.7647058823529412,2.812903913361247,0.30464179328774466,0.15407081474232845,0.24967433941929965,,,,,,,,,,,,,
regression,example_selector_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,877.4261494638242,1876.0972355555994,273.06765975939516,0.6878787933137687,0.19806661772436296,0.11615735505045666,0.19806661772436307,0.10494443128780351,0.7067307692307693,1100.6156610342173,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3525395464074709,0.36715927750410515,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.675402217031976,0.2261768514154482,0.06200524049039918,0.1873464884632718,,,,,,,,,,,,,
regression,example_selector_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,843.6900305149278,1743.7261223277872,305.81508370751544,0.6614305722209308,0.22890011862933812,0.1785183204700007,0.22890011862933823,0.22679285385996706,0.875,2739.6502758906436,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,1,1.0,1,1.0,1.0,0.8894230769230769,0.3940769230769231,0.3267521367521368,0.3554407578230003,0.37317554341417397,0.6,0.9519230769230769,0.5470588235294118,0.7815126050420168,0.6567948717948718,1.6214738121384957,0.18880658064845784,0.08083268443810636,0.04822291269450225,,,,,,,,,,,,,
regression,example_selector_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1087.4982168470576,2148.2364805444545,478.5435345441782,0.8525697138075454,0.006068916697084092,-0.012049363411174685,0.006068916697084092,-0.17355510390429107,0.8605769230769231,3853.8718383128826,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,1,1.0,1,1.0,1.0,0.9134615384615384,0.45,0.38888888888888884,0.46506119776414157,0.448163699606579,0.5,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5714285714285714,1.1138434097785395,0.15561755183064507,0.0661829227626307,0.042084815015453234,,,,,,,,,,,,,
regression,example_selector_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,927.3215015763168,1768.425148257397,445.74338969786913,0.7269954239545131,0.15246420605261612,0.16688243508432732,0.15246420605261624,0.2047335221683717,0.8846153846153846,3428.7065505798046,learned_transform_ensemble,4,dynamic
