task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,expert_confidence_confirmation,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.35081095331214246,0.361358454759927,0.6,0.9038461538461539,0.4,1.0,0.9440045248868778,3.1417113415108844,0.31394749958375257,0.23119653590308553,0.25306879450962316,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1100.622086581715,1811.0726359685348,891.383413245143,0.8628584790582731,-0.005925789924424718,0.1467909027134573,-0.005925789924424496,0.16591358192359607,0.09615384615384616,446.5027512770433,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3524929620097743,0.36340504239385824,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.099092838341179,0.3034716324744695,0.25860529233001367,0.26516129683412676,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,921.1134682081845,1898.808980102185,412.7640439153068,0.722128490703513,0.1581381071544109,0.10545769194609311,0.158138107154411,0.0831424494719345,0.7019230769230769,1235.8000093606802,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,0.7884615384615384,0.3764705882352941,0.30718954248366015,0.36228674169512853,0.3308156802157442,0.5,0.9134615384615384,0.5,1.0,0.7529411764705882,2.970283672199761,0.36717843471029094,0.23551098099125353,0.27504634754895385,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,871.2859965975895,1864.5012718701032,290.0328306738611,0.683065076573085,0.20367847868692723,0.12162029536095309,0.20367847868692723,0.11597472951751442,0.75,1207.4913065983699,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,8,28,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.375,2.639423076923077,0.5983347534818122,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.5,1.0,0.7705882352941177,2.9028288859034928,0.3174663650299755,0.2721597339145988,0.2541813774916525,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,873.9862702475623,1856.9262591714798,325.1994109876008,0.6851820193848479,0.20121053356981877,0.12518893729069558,0.20121053356981877,0.1231432947787191,0.7596153846153846,1230.5293112534744,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.7701163491299274,0.25844690716332774,0.13830559578593488,0.14100711552114933,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,837.9069721926414,1722.7974895338702,358.1241767951667,0.6568968081168767,0.2341856090641996,0.18837794704648536,0.23418560906419972,0.2452419176579016,0.9038461538461539,3208.988950289213,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,32,118,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,19.528846153846153,2.639423076923077,0.6584032737456753,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.47183257918552035,0.9436651583710407,0.8,2.741625886213674,0.24908720010214802,0.14981628095626667,0.19335467846446783,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,805.1581365619976,1680.9222883781158,389.7737812716722,0.6312225909194474,0.26411677140637446,0.20810564977205082,0.2641167714063746,0.28148707725228983,0.9038461538461539,2888.699221977821,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,0.8846153846153846,0.3911357466063349,0.3234841628959277,0.35488455809334657,0.37166857971846257,0.6,0.9519230769230769,0.5470588235294118,0.7815126050420168,0.6567948717948718,1.7777963784625952,0.2535734146881125,0.2126288167655225,0.06405750311742019,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,992.1316376907525,1789.5582990171267,554.4240293091161,0.7778048490578587,0.09323026175798388,0.15692645865111998,0.09323026175798388,0.1856126593177332,0.9519230769230769,5137.503592857947,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,0.9086538461538461,0.425,0.36111111111111105,0.4630831781648478,0.42052959501557635,0.5,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5714285714285714,1.2518128364013055,0.21307802953167546,0.20740043192084842,0.04222447138558708,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,918.4088925930527,1758.2091362095205,486.72563646438175,0.7200081752653424,0.16060998410039462,0.17169527044174282,0.16060998410039462,0.21389532905736375,0.9326923076923077,3732.5165939331055,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,1,3,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,0.75,1.7644230769230769,0.375,0.6971153846153846,0.2826923076923077,0.20299145299145296,0.22125,0.2441351981351981,0.7,0.7403846153846154,0.3,1.0,0.9423076923076924,7.411515077336708,0.5161290823952981,0.13125289793733777,0.30584092308395416,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1188.927925865824,2300.3749469264512,431.0397607051873,0.932087911308989,-0.08663389329593696,-0.08372286837522269,-0.08663389329593674,-0.3456638018683562,0.09615384615384616,80.92293889705951,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,2,6,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,1.5,1.7644230769230769,0.44999999999999996,0.7211538461538461,0.2923076923076923,0.2136752136752137,0.22592592592592592,0.2521804511278195,0.7,0.7403846153846154,0.3,1.0,0.9743589743589745,7.36530565571559,0.487328866868535,0.19428049505894698,0.289374446380964,,,,,,,,,,,,,
regression,expert_confidence_confirmation,,billing,1,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1168.2435455182042,2285.4432220255344,403.9410778120291,0.9158719065743931,-0.06772917396134837,-0.0766884274198334,-0.06772917396134814,-0.32825110167571414,0.2548076923076923,150.7500274181366,learned_transform_ensemble,4,dynamic
classification,expert_confidence_confirmation,main,billing,1,natural,4,13,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.1490384615384617,2.610576923076923,0.5269001831501832,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3565689710890695,0.3686960157197207,0.6,0.9038461538461539,0.4,1.0,0.9632352941176471,3.084398757475936,0.30185196662220143,0.265498039095,0.2643016331448276,,,,,,,,,,,,,
