task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,regression_confidence_low_support_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1100.9877528978207,1810.7176305830385,893.4222010869398,0.8631451517365742,-0.006259994718569528,0.146958148255395,-0.006259994718569528,0.16624054412635514,0.09615384615384616,447.1882065993089,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,926.336247276995,1908.3077039137918,406.5032328263777,0.7262230107560474,0.15336469017101118,0.10098277613779305,0.1533646901710113,0.07394641141841396,0.7019230769230769,1243.7636987246,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,869.8392020815999,1862.4192420440502,285.8893140035831,0.6819308281050629,0.205000792616566,0.12260115430229557,0.20500079261656612,0.11794795351720189,0.75,1202.7232944781963,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,872.5272951377008,1855.857451197575,322.3077636487336,0.6840382216547943,0.2025439800886195,0.1256924602684476,0.20254398008861962,0.12415240509742465,0.7644230769230769,1223.5619656489446,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,835.4614914080946,1720.8934498459853,362.8275238208215,0.654979616143314,0.23642068340981848,0.18927495357788227,0.23642068340981848,0.24690931642654157,0.9038461538461539,3212.6308670043945,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,802.3280574833233,1678.1896629247303,387.59336470802555,0.6290038840997217,0.26670335363788844,0.2093930089038719,0.26670335363788844,0.28382130861159327,0.9038461538461539,2892.2203501187837,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,991.5345339845337,1797.587721608593,549.9495114868505,0.77733673561359,0.09377599132734982,0.1531437410146551,0.09377599132734993,0.17828824870562288,0.9519230769230769,5124.730782142053,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,916.9151063544846,1746.1470500551707,481.069299679315,0.7188370865351025,0.16197524663721752,0.17737780433616146,0.16197524663721752,0.22464437650428748,0.9326923076923077,3726.0608347379243,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1188.4872558523962,2299.2999963404386,430.98637973900077,0.9317424377243786,-0.08623113803892579,-0.08321645156956614,-0.08623113803892557,-0.3444064554352986,0.09615384615384616,79.77545902362236,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1167.8686822420893,2284.2028558646766,404.60958443434356,0.915578023723752,-0.0673865635033748,-0.07610408216973563,-0.0673865635033748,-0.32680974392978146,0.25,149.60963566486652,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,2114.993754485381,3055.4397639740023,1059.3709712442924,1.658098921020981,-0.9330220509871394,-0.4394392312374147,-0.933022050987139,-1.3740330709683257,0.9038461538461539,9504.189319317158,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1207.6908126158085,1889.3484452797315,599.8705504930017,0.9467975161054146,-0.10378244219873012,0.10991461665215096,-0.10378244219873012,0.09225590375461545,0.9855769230769231,7694.697556715745,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,16,61,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,925.6265370941697,1626.360831184807,435.14629847830065,0.7256666168253872,0.15401333768134162,0.23380993722800147,0.15401333768134173,0.32737481491232423,0.9711538461538461,5604.913588303786,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,32,126,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,824.5997224553042,1666.306033219043,354.87955002679337,0.6464642778153372,0.2463479178775061,0.21499147070618096,0.2463479178775061,0.2939282341018441,0.9711538461538461,5356.819078885592,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,825.3081962430263,1762.0809164508614,315.5878455698602,0.6470197024450801,0.24570040038422336,0.16987124745172089,0.24570040038422336,0.21042932984626528,0.9375,3394.0323876601,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,128,500,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,827.080502905543,1756.9417961620175,377.03595785553625,0.6484091437891054,0.24408058101005703,0.1722923232801603,0.24408058101005703,0.21502818959279824,0.9038461538461539,3585.1363933269795,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1303.4916959109194,1772.0639724216546,1245.145716500197,1.0219028637631107,-0.19134072435477067,0.1651681593458999,-0.19134072435477067,0.20145737316218382,0.1346153846153846,807.4488170330341,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,904.2673407513911,1787.6336482275233,458.16436564746436,0.7089215742763354,0.173534812595579,0.15783317521796336,0.173534812595579,0.18736344706479402,0.8076923076923077,1880.642433166504,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,964.3958288758877,1867.7751873350612,484.0539454441878,0.7560607117184265,0.11857971251990462,0.12007793068547146,0.11857971251990473,0.11286744816419925,0.8365384615384616,1973.2119049659143,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,8,35,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,931.8424871331131,1747.1082354731068,556.2362181992557,0.7305397565360054,0.1483322010502619,0.1769249831038846,0.1483322010502619,0.22379053588722375,0.9278846153846154,3215.333796574519,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,16,64,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,875.2652644710645,1731.6031717872859,493.5534993645156,0.6861847168809911,0.20004158258267202,0.18422952800617942,0.20004158258267213,0.23750665562178563,0.9182692307692307,2948.41578909067,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,32,127,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,858.5431511214288,1626.2415639561304,484.3026293403358,0.673075024219526,0.21532494395213264,0.23386612486095115,0.21532494395213275,0.3274734636238865,0.9519230769230769,4166.468186011682,learned_transform_ensemble,4,dynamic
