task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,02_count_neutral,main,billing,0,natural,1,4,configured,balanced,1.0,5,208,0.6730769230769231,0.3015837104072398,0.22398190045248867,0.29224403815580285,0.27084123972169516,0.6,0.9038461538461539,0.4,1.0,0.7539592760180995,3.533830845060724,0.6050652254459579,0.2605759365340838,0.3208956611954432,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.6730769230769231,0.3015837104072398,0.22398190045248867,0.29224403815580285,0.27084123972169516,0.6,0.9038461538461539,0.4,1.0,0.7539592760180995,3.533830845060724,0.6050652254459579,0.2605759365340838,0.3208956611954432,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,1,4,configured,balanced,1.0,50,208,0.6730769230769231,0.3015837104072398,0.22398190045248867,0.29224403815580285,0.27084123972169516,0.6,0.9038461538461539,0.4,1.0,0.7539592760180995,3.533830845060724,0.6050652254459579,0.2605759365340838,0.3208956611954432,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,1,4,configured,natural,1.0,5,208,0.6730769230769231,0.3015837104072398,0.22398190045248867,0.29224403815580285,0.27084123972169516,0.6,0.9038461538461539,0.4,1.0,0.7539592760180995,3.533830845060724,0.6050652254459579,0.2605759365340838,0.3208956611954432,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,1,4,configured,natural,1.0,20,208,0.6730769230769231,0.3015837104072398,0.22398190045248867,0.29224403815580285,0.27084123972169516,0.6,0.9038461538461539,0.4,1.0,0.7539592760180995,3.533830845060724,0.6050652254459579,0.2605759365340838,0.3208956611954432,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,1,4,configured,natural,1.0,50,208,0.6730769230769231,0.3015837104072398,0.22398190045248867,0.29224403815580285,0.27084123972169516,0.6,0.9038461538461539,0.4,1.0,0.7539592760180995,3.533830845060724,0.6050652254459579,0.2605759365340838,0.3208956611954432,,,,,,,,
regression,02_count_neutral,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,1161.1816368622528,924.1153849055008,0.9103355577800059,-0.06127486404905613,-0.06127486404905613,0.14072218978437256,0.25961538461538464,1270.3382674979516
classification,02_count_neutral,main,billing,0,natural,2,7,configured,balanced,1.0,5,208,0.8317307692307693,0.36606334841628957,0.29562594268476616,0.34243913354815614,0.35047255533006716,0.6,0.9038461538461539,0.38823529411764707,0.9705882352941176,0.9435897435897436,3.8805216247718457,0.5569040783464871,0.35460645361588555,0.18021127910372894,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,2,7,configured,balanced,1.0,20,208,0.8269230769230769,0.36414027149321265,0.29348919054801403,0.3413239538239538,0.3485467952869528,0.6,0.9038461538461539,0.4,1.0,0.9103506787330317,3.493208231534375,0.5773551797718416,0.3903968705294224,0.25148601484808075,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,2,7,configured,balanced,1.0,50,208,0.8269230769230769,0.36414027149321265,0.29348919054801403,0.3413239538239538,0.3485467952869528,0.6,0.9038461538461539,0.4,1.0,0.9103506787330317,3.493208231534375,0.5773551797718416,0.3903968705294224,0.25148601484808075,,,,,,,,
classification,02_count_neutral,main,billing,0,natural,2,7,configured,natural,1.0,5,208,0.8269230769230769,0.36312217194570134,0.292357968828557,0.3425114253985542,0.34894749694749694,0.6,0.9038461538461539,0.38823529411764707,0.9705882352941176,0.9352564102564103,3.872547714442611,0.5497348640839874,0.346667000450767,0.19194433002812675,,,,,,,,
