task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,06_full_fmv3,main,billing,0,natural,1,4,configured,balanced,1.0,5,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669035273944373,0.6746715190020951,0.3910860038147522,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669035273944373,0.6746715190020951,0.3910860038147522,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,main,billing,0,natural,1,4,configured,balanced,1.0,50,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669035273944373,0.6746715190020951,0.3910860038147522,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,main,billing,0,natural,1,4,configured,natural,1.0,5,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.6690481249760123,0.6746717991068502,0.39109458244190765,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,main,billing,0,natural,1,4,configured,natural,1.0,20,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.6690481249760123,0.6746717991068502,0.39109458244190765,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,main,billing,0,natural,1,4,configured,natural,1.0,50,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.6690481249760123,0.6746717991068502,0.39109458244190765,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,retrieval_ablation,billing,0,natural,1,4,local,balanced,1.0,20,208,0.7884615384615384,0.3475067873303167,0.27500754147812967,0.3219300674256355,0.3311152751587131,0.6,0.9038461538461539,0.4,1.0,0.8687669683257917,3.58057729863033,0.6294911425638947,0.40275100790537316,0.28086109437728857,,,,,,,,
classification,06_full_fmv3,retrieval_ablation,billing,0,natural,1,4,global,balanced,1.0,20,208,0.6490384615384616,0.29298642533936653,0.21442936148818503,0.293442523666948,0.25762108963227515,0.6,0.9038461538461539,0.4,1.0,0.7324660633484164,3.7672822044368255,0.7255885654082732,0.3427286456124141,0.41707568597208905,,,,,,,,
classification,06_full_fmv3,retrieval_ablation,billing,0,natural,1,4,global_local,balanced,1.0,20,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669035273944373,0.6746715190020951,0.3910860038147522,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,retrieval_ablation,billing,0,natural,1,4,dynamic_expanded_local,balanced,1.0,20,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669035273944373,0.6746715190020951,0.3910860038147522,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,retrieval_ablation,billing,0,natural,1,4,foundation_knn,balanced,1.0,20,208,0.2403846153846154,0.1,0.0,0.02403846153846154,0.03875968992248062,0.9,0.9038461538461539,0.4,1.0,0.25,3.909825779851492,0.7980769230769231,0.009615384615384609,0.7732998051032289,,,,,,,,
classification,06_full_fmv3,prior_pareto,billing,0,natural,1,4,configured,natural,0.0,20,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669035273944373,0.6746715190020951,0.3910860038147522,0.3361553682644213,,,,,,,,
classification,06_full_fmv3,prior_pareto,billing,0,natural,1,4,configured,natural,0.25,20,208,0.7403846153846154,0.32850678733031674,0.2538964303670186,0.3092189608636977,0.30790992986341825,0.6,0.9038461538461539,0.4,1.0,0.8212669683257918,3.669037052733662,0.6746715583861475,0.39108719404500264,0.3361553682644213,,,,,,,,
