task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,07_full_no_pretraining,main,billing,0,natural,1,4,configured,balanced,1.0,5,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399542055402,0.769624750336037,0.2424426396878866,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399542055402,0.769624750336037,0.2424426396878866,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,main,billing,0,natural,1,4,configured,balanced,1.0,50,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399542055402,0.769624750336037,0.2424426396878866,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,main,billing,0,natural,1,4,configured,natural,1.0,5,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399743742238,0.7696247480885199,0.24244271089824349,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,main,billing,0,natural,1,4,configured,natural,1.0,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399743742238,0.7696247480885199,0.24244271089824349,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,main,billing,0,natural,1,4,configured,natural,1.0,50,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399743742238,0.7696247480885199,0.24244271089824349,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,retrieval_ablation,billing,0,natural,1,4,local,balanced,1.0,20,208,0.5528846153846154,0.2520452488687782,0.16893916540975357,0.22200029989503672,0.23245440126883424,0.6,0.9038461538461539,0.4,1.0,0.6301131221719456,3.828196099911632,0.7560603634169702,0.2738112923330986,0.39218545310708863,,,,,,,,
classification,07_full_no_pretraining,retrieval_ablation,billing,0,natural,1,4,global,balanced,1.0,20,208,0.5240384615384616,0.24298642533936649,0.15887380593262942,0.2785920276852089,0.20516713659147873,0.6,0.9038461538461539,0.4,1.0,0.6074660633484162,3.8821290162998534,0.7839763967322368,0.26520260179845184,0.48390528888722933,,,,,,,,
classification,07_full_no_pretraining,retrieval_ablation,billing,0,natural,1,4,global_local,balanced,1.0,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399542055402,0.769624750336037,0.2424426396878866,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,retrieval_ablation,billing,0,natural,1,4,dynamic_expanded_local,balanced,1.0,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399542055402,0.769624750336037,0.2424426396878866,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,retrieval_ablation,billing,0,natural,1,4,foundation_knn,balanced,1.0,20,208,0.2403846153846154,0.1,0.0,0.02403846153846154,0.03875968992248062,0.9,0.9038461538461539,0.4,1.0,0.25,3.909825779851492,0.7980769230769231,0.009615384615384609,0.7732998051032289,,,,,,,,
classification,07_full_no_pretraining,prior_pareto,billing,0,natural,1,4,configured,natural,0.0,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399542055402,0.769624750336037,0.2424426396878866,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,prior_pareto,billing,0,natural,1,4,configured,natural,0.25,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.854399584352509,0.7696247589485602,0.24244264814142996,0.42077251355110185,,,,,,,,
classification,07_full_no_pretraining,prior_pareto,billing,0,natural,1,4,configured,natural,0.5,20,208,0.5144230769230769,0.23666063348416286,0.1518451483157365,0.2077813852813853,0.21422318635859144,0.6,0.9038461538461539,0.4,1.0,0.5916515837104072,3.8543996147548407,0.7696247501782854,0.24244266490523636,0.42077251355110185,,,,,,,,
