task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours
classification,08_gamma0,main,billing,0,natural,1,4,configured,balanced,1.0,5,208,0.8317307692307693,0.3650452488687783,0.29449472096530926,0.33948593491450635,0.34899153556969426,0.6,0.9038461538461539,0.4,1.0,0.9126131221719457,3.5566797451012655,0.6136253042406996,0.4386994006255498,0.24282030032182808,,,,,,,,
classification,08_gamma0,main,billing,0,natural,1,4,configured,balanced,1.0,20,208,0.8317307692307693,0.3650452488687783,0.29449472096530926,0.33948593491450635,0.34899153556969426,0.6,0.9038461538461539,0.4,1.0,0.9126131221719457,3.5566797451012655,0.6136253042406996,0.4386994006255498,0.24282030032182808,,,,,,,,
classification,08_gamma0,main,billing,0,natural,1,4,configured,balanced,1.0,50,208,0.8317307692307693,0.3650452488687783,0.29449472096530926,0.33948593491450635,0.34899153556969426,0.6,0.9038461538461539,0.4,1.0,0.9126131221719457,3.5566797451012655,0.6136253042406996,0.4386994006255498,0.24282030032182808,,,,,,,,
classification,08_gamma0,main,billing,0,natural,1,4,configured,natural,1.0,5,208,0.8317307692307693,0.3650452488687783,0.29449472096530926,0.33948593491450635,0.34899153556969426,0.6,0.9038461538461539,0.4,1.0,0.9126131221719457,3.5566797451012655,0.6136253042406996,0.4386994006255498,0.24282030032182808,,,,,,,,
classification,08_gamma0,main,billing,0,natural,1,4,configured,natural,1.0,20,208,0.8317307692307693,0.3650452488687783,0.29449472096530926,0.33948593491450635,0.34899153556969426,0.6,0.9038461538461539,0.4,1.0,0.9126131221719457,3.5566797451012655,0.6136253042406996,0.4386994006255498,0.24282030032182808,,,,,,,,
classification,08_gamma0,main,billing,0,natural,1,4,configured,natural,1.0,50,208,0.8317307692307693,0.3650452488687783,0.29449472096530926,0.33948593491450635,0.34899153556969426,0.6,0.9038461538461539,0.4,1.0,0.9126131221719457,3.5566797451012655,0.6136253042406996,0.4386994006255498,0.24282030032182808,,,,,,,,
regression,08_gamma0,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,1142.0655921749278,910.4022852742432,0.8953490865419597,-0.04380354252392671,-0.04380354252392671,0.1509767973550754,0.2692307692307692,1260.8152112493945
classification,08_gamma0,main,billing,0,natural,2,7,configured,balanced,1.0,5,208,0.7884615384615384,0.3416289592760181,0.2684766214177979,0.32978962744972595,0.32932769899308695,0.6,0.9038461538461539,0.38823529411764707,0.9705882352941176,0.8756410256410256,3.860920096361386,0.5460419683060642,0.3293169776980693,0.19656476779261806,,,,,,,,
classification,08_gamma0,main,billing,0,natural,2,7,configured,balanced,1.0,20,208,0.7884615384615384,0.3416289592760181,0.2684766214177979,0.3309129089301503,0.3296234326018809,0.6,0.9038461538461539,0.4,1.0,0.8540723981900452,3.5134626150434594,0.5883210040492076,0.3650694783203877,0.2520301987383928,,,,,,,,
classification,08_gamma0,main,billing,0,natural,2,7,configured,balanced,1.0,50,208,0.7884615384615384,0.3416289592760181,0.2684766214177979,0.3309129089301503,0.3296234326018809,0.6,0.9038461538461539,0.4,1.0,0.8540723981900452,3.5134626150434594,0.5883210040492076,0.3650694783203877,0.2520301987383928,,,,,,,,
classification,08_gamma0,main,billing,0,natural,2,7,configured,natural,1.0,5,208,0.6826923076923077,0.27692307692307694,0.19658119658119658,0.21491017693108289,0.2384859828091165,0.7,0.9038461538461539,0.38823529411764707,0.9705882352941176,0.6923076923076923,3.8809506269972944,0.5618095631214846,0.17818376364616242,0.1699498775228743,,,,,,,,
classification,08_gamma0,main,billing,0,natural,2,7,configured,natural,1.0,20,208,0.6826923076923077,0.27692307692307694,0.19658119658119658,0.2160334584115072,0.2387817164179104,0.7,0.9038461538461539,0.4,1.0,0.6923076923076923,3.532820591818496,0.600839423063817,0.23516119873294467,0.2744816954064268,,,,,,,,
classification,08_gamma0,main,billing,0,natural,2,7,configured,natural,1.0,50,208,0.6826923076923077,0.27692307692307694,0.19658119658119658,0.2160334584115072,0.2387817164179104,0.7,0.9038461538461539,0.4,1.0,0.6923076923076923,3.532820591818496,0.600839423063817,0.23516119873294467,0.2744816954064268,,,,,,,,
regression,08_gamma0,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,947.2760414947733,437.80472788975203,0.7426392531800577,0.134226532490755,0.1342265324907551,0.06683583092841949,0.8173076923076923,2139.2561514365207
classification,08_gamma0,main,billing,0,natural,4,15,configured,balanced,1.0,5,208,0.7836538461538461,0.38472850678733034,0.3163650075414781,0.3473224117606269,0.3455732241614594,0.5,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7994230769230769,3.775533712724922,0.3680411369453752,0.03329285205556802,0.12314680575200651,,,,,,,,
