task,experiment,log,repetition,support_scenario,case_budget,support_prefixes,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,nll,macro_retrieval_given_pool,macro_decision_given_retrieval,multiclass_brier,ece_10,aurc
classification,baseline_lstm_natural_ce,billing,0,natural,1,4,208,0.8701923076923077,0.38144796380090495,0.3127199597787833,0.35141612200435735,0.36437950300043265,0.6,0.9038461538461539,2.0609694920202766,1.0,0.9536199095022625,0.7802538990613619,0.7272493210979379,0.05055636695433531
classification,baseline_lstm_logit_adjustment,billing,0,natural,1,4,208,0.8605769230769231,0.37744796380090495,0.30827551533433883,0.368134778357236,0.3721060285280469,0.6,0.9038461538461539,2.4810387854061986,1.0,0.9436199095022625,0.8599027961886972,0.7715249540507245,0.05631140912238983
classification,baseline_lstm_class_weighted_ce,billing,0,natural,1,4,208,0.8701923076923077,0.38144796380090495,0.3127199597787833,0.35141612200435735,0.36437950300043265,0.6,0.9038461538461539,2.0609694920202766,1.0,0.9536199095022625,0.7802538990613619,0.7272493210979379,0.05055636695433531
classification,baseline_lstm_balanced_softmax,billing,0,natural,1,4,208,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35390883626177744,0.36779731049507924,0.6,0.9038461538461539,2.0775758315786836,1.0,0.9632352941176471,0.783383254129056,0.7399531938852025,0.04662054848291268
classification,baseline_weighted_logistic,billing,0,natural,1,4,208,0.7163461538461539,0.296972850678733,0.21885872297637002,0.2997629451281137,0.2760463495124554,0.6,0.9038461538461539,3.4872296985911264,1.0,0.7424321266968326,0.541377985497475,0.3065798011604925,0.43041423991888045
classification,baseline_random_forest,billing,0,natural,1,4,208,0.8461538461538461,0.3718325791855204,0.30203619909502266,0.3479199679871948,0.3564220539701029,0.6,0.9038461538461539,3.21715544459683,1.0,0.9295814479638009,0.40111418269230764,0.2531009615384615,0.10839328406527976
classification,baseline_gaussian_nb,billing,0,natural,1,4,208,0.7115384615384616,0.2940316742081448,0.21559074912016088,0.29633597883597884,0.27154020992049166,0.6,0.9038461538461539,7.970486860364004,1.0,0.7350791855203619,0.5769230769230769,0.28846153846153844,0.3044766823789795
classification,baseline_tabpfn,billing,0,natural,1,4,208,0.8461538461538461,0.3716787330316742,0.30186525892408245,0.3431088166491893,0.35510684767628914,0.6,0.9038461538461539,3.275236160990053,1.0,0.9291968325791855,0.42471373502492954,0.322266050399496,0.06898174357967471
classification,baseline_lstm_natural_ce,billing,0,natural,2,7,208,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.35674700435729845,0.3688509656849919,0.6,0.9038461538461539,2.100775404625748,1.0,0.9632352941176471,0.7914028691892084,0.7433367073535919,0.05448906031236316
classification,baseline_lstm_logit_adjustment,billing,0,natural,2,7,208,0.038461538461538464,0.16,0.06666666666666667,0.10648267008985879,0.030562770562770562,0.7,0.9038461538461539,2.7746508795180826,1.0,0.025,0.9066747103016018,0.040109981918183754,0.8995452540288524
