task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,independent_temporal_screen,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8509615384615384,0.3737556561085973,0.3041729512317748,0.3479303500929966,0.35773778779804605,0.6,0.9038461538461539,0.4,1.0,0.9343891402714932,3.1578236999466425,0.3239386653048567,0.2531440738694465,0.2583917508749115,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1105.1871044282916,1817.4251836161707,895.5936880733511,0.8664373317852836,-0.010098038727461622,0.1437981726946468,-0.010098038727461622,0.1600520098485123,0.08653846153846154,479.3917564978966,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3568130738573302,0.3688684313205143,0.6,0.9134615384615384,0.5,1.0,0.7705882352941177,2.9684541865763907,0.36076294752707594,0.3455424315722181,0.2517722784964906,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,864.1910736069004,1863.5036120910684,334.87327076907786,0.6775028454172531,0.2101629624174215,0.12209029992209774,0.2101629624174216,0.11692052720626522,0.7932692307692307,1283.697654724121,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.355119825708061,0.368153087906093,0.6,0.9134615384615384,0.48246606334841624,0.9649321266968325,0.7933333333333333,2.7411540994856476,0.2666932820327917,0.19158007618793527,0.2057606352742307,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,834.4418298802098,1738.5248451789746,401.5815532773631,0.6541802285916454,0.23735261439721012,0.1809686788337348,0.23735261439721012,0.23139869946109903,0.8990384615384616,2961.8549707852876,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,0.8894230769230769,0.3930588235294118,0.3256209150326798,0.3562349346559873,0.37341535801642883,0.6,0.9519230769230769,0.5833333333333333,0.8333333333333333,0.6550980392156863,1.7871440965606824,0.25649565877035496,0.2281723075532952,0.06407106041929296,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1170.8413749093766,2165.545384515026,628.1524754465586,0.9179085358085761,-0.07010348900941366,-0.020203710199067526,-0.07010348900941366,-0.19254257215742987,0.8557692307692307,4245.677800398606,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,0.9182692307692307,0.475,0.41666666666666663,0.4653779603382384,0.4673080022612733,0.5,0.9711538461538461,0.625,0.78125,0.5,1.2598837554208964,0.21869981574867042,0.24294118891652358,0.042312503870410315,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,900.4400370610226,1736.411275498454,475.46296902555673,0.7059210698512225,0.17703281934553594,0.1819643964230544,0.17703281934553594,0.23326638049077764,0.8798076923076923,3505.440987568635,learned_transform_ensemble,4,dynamic
