task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,independent_temporal_screen,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8509615384615384,0.3737556561085973,0.3041729512317748,0.34886008457437023,0.35807616252865315,0.6,0.9038461538461539,0.4,1.0,0.9343891402714932,3.1463620364766522,0.31731347317727815,0.25017371160850377,0.25932821461417505,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1100.1767274250328,1809.983321014814,892.2127484384182,0.8625093293099131,-0.005518748972814347,0.14730408667409267,-0.005518748972814347,0.1669166444677863,0.10096153846153846,447.35921038114105,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,0.7980769230769231,0.38235294117647056,0.3137254901960784,0.3643674870367434,0.33842832843708803,0.5,0.9134615384615384,0.5,1.0,0.7647058823529412,2.97300450193986,0.36906629928668744,0.25460336111207926,0.27527154839666346,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,870.5749599726112,1864.3783939538455,292.26306278287996,0.6825076427470121,0.20432833851380738,0.12167818401429842,0.2043283385138075,0.11609124711427543,0.7307692307692307,1188.7371391883264,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.7745714166029765,0.2609408894160706,0.15518208630257566,0.16314579448800376,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,890.8534852369856,1738.3433262941523,378.82354581766594,0.6984054678774402,0.18579455494380648,0.18105419366112707,0.18579455494380648,0.23155918996882896,0.8894230769230769,2935.6231971153848,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,0.8846153846153846,0.3911357466063349,0.3234841628959277,0.3544970917860689,0.37155199872591177,0.6,0.9519230769230769,0.5470588235294118,0.7815126050420168,0.6567948717948718,1.7812686122586316,0.2550657082485899,0.2037242086868125,0.06204170708575634,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1218.6758960529644,2245.3679793620713,553.8826597701171,0.9554095297134196,-0.11382238131009759,-0.05780869784004938,-0.11382238131009759,-0.2820777460105288,0.875,4343.693921969487,learned_transform_ensemble,4,dynamic
classification,independent_temporal_screen,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,0.9182692307692307,0.475,0.41666666666666663,0.46628389154704947,0.46800919744844977,0.5,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5714285714285714,1.2537566900851287,0.21313915651670315,0.21854552398287772,0.041629363442246166,,,,,,,,,,,,,
regression,independent_temporal_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,995.4262265897968,1902.228894707466,544.420207519257,0.7803877192375592,0.09021913561291417,0.10384654604547139,0.09021913561291417,0.07983680021751605,0.875,3806.2785617388213,learned_transform_ensemble,4,dynamic
