task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,prefix_attention_confirmation,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.35081095331214246,0.361358454759927,0.6,0.9038461538461539,0.4,1.0,0.9440045248868778,3.142174855412485,0.3141142879187346,0.23153853044788067,0.2512494621383794,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1100.5843659748375,1811.073878058782,891.2382411260023,0.8628289071044878,-0.005891314756488075,0.14679031755597793,-0.005891314756488075,0.16591243783810794,0.09615384615384616,446.28544293917145,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3524929620097743,0.36340504239385824,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.099594079665473,0.3035947693377246,0.24341374070788546,0.2653902345630645,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,920.8519108492226,1898.2874127293353,412.5728665471427,0.721923436682072,0.15837716040995797,0.10570340601549333,0.15837716040995797,0.0836460675948748,0.7019230769230769,1232.3450332054724,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,0.7884615384615384,0.3764705882352941,0.30718954248366015,0.36228674169512853,0.3308156802157442,0.5,0.9134615384615384,0.5,1.0,0.7529411764705882,2.970855281999678,0.36736698758546643,0.23573889400444367,0.27501019948649,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,871.3613516138577,1864.5932551768337,290.0782408301111,0.6831241529041157,0.2036096071322051,0.12157696137614082,0.20360960713220522,0.11588750235961398,0.7451923076923077,1205.0003139789287,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,8,28,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.375,2.639423076923077,0.5983347534818122,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.5,1.0,0.7705882352941177,2.9027119569901583,0.3174731473117118,0.27227218168974326,0.2541062572993448,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,874.049179373844,1856.9459605916988,325.410150123343,0.6852313384687407,0.2011530370745913,0.12517965581262203,0.2011530370745913,0.12312468831658385,0.7548076923076923,1230.7573655935435,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.770365735175112,0.2584748423765828,0.13835867493280807,0.14103813289087638,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,838.0382711381418,1722.8741676010086,357.5657814094245,0.6569997430023361,0.23406560693351475,0.18834182346803496,0.23406560693351486,0.245174730795634,0.9038461538461539,3201.6756615271934,learned_transform_ensemble,4,dynamic
