checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,1,1,50,2430,0.7065843343734741,,0.725,-0.018415665626525857,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,5,5,50,2430,0.7135802507400513,,0.725,-0.011419749259948708,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,10,10,50,2430,0.7419753074645996,,0.725,0.01697530746459963,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,2430,0.7522633671760559,,0.725,0.02726336717605593,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,50,50,50,2430,0.731275737285614,,0.725,0.006275737285614036,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,100,50,50,2430,0.731275737285614,,0.725,0.006275737285614036,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,classification,200,50,50,2430,0.731275737285614,,0.725,0.006275737285614036,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,1,1,50,2430,,0.2403762936592102,0.196,0.0443762936592102,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,5,5,50,2430,,0.2192491590976715,0.196,0.0232491590976715,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,10,10,50,2430,,0.21118538081645966,0.196,0.015185380816459648,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,20,20,50,2430,,0.20931197702884674,0.196,0.013311977028846733,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,2430,,0.20152582228183746,0.196,0.005525822281837456,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,100,50,50,2430,,0.20152582228183746,0.196,0.005525822281837456,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,0.5,regression,200,50,50,2430,,0.20152582228183746,0.196,0.005525822281837456,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,1,1,93,2430,0.6695473194122314,,0.785,-0.11545268058776859,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,5,5,93,2430,0.6814814805984497,,0.785,-0.10351851940155032,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,10,10,93,2430,0.7020576000213623,,0.785,-0.08294239997863773,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,2430,0.7234567999839783,,0.785,-0.06154320001602176,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,50,50,93,2430,0.7205761075019836,,0.785,-0.06442389249801639,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,100,93,93,2430,0.7263374328613281,,0.785,-0.058662567138671906,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,classification,200,93,93,2430,0.7263374328613281,,0.785,-0.058662567138671906,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,1,1,93,2430,,0.2231057733297348,0.2021,0.0210057733297348,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,5,5,93,2430,,0.20799946784973145,0.2021,0.0058994678497314434,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,10,10,93,2430,,0.19282536208629608,0.2021,-0.00927463791370392,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,20,20,93,2430,,0.1912968009710312,0.2021,-0.010803199028968813,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,2430,,0.19115960597991943,0.2021,-0.010940394020080568,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,100,93,93,2430,,0.1965211182832718,0.2021,-0.005578881716728212,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_20.pth,20,helpdesk,1.0,regression,200,93,93,2430,,0.1965211182832718,0.2021,-0.005578881716728212,True
