checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,classification,10,10,1152,200,0.855,,0.895,-0.040000000000000036,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,classification,20,20,1152,200,0.85,,0.895,-0.04500000000000004,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,classification,50,50,1152,200,0.86,,0.895,-0.03500000000000003,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,classification,100,100,1152,200,0.865,,0.895,-0.030000000000000027,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,regression,10,10,1152,200,,1272.93310546875,1160.7777,112.1554054687499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,regression,20,20,1152,200,,1204.688232421875,1160.7777,43.910532421874905,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,regression,50,50,1152,200,,1131.5567626953125,1160.7777,-29.220937304687595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,0.5,regression,100,100,1152,200,,1100.6864013671875,1160.7777,-60.091298632812595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,classification,10,10,2195,200,0.855,,0.92,-0.06500000000000006,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,classification,20,20,2195,200,0.865,,0.92,-0.05500000000000005,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,classification,50,50,2195,200,0.855,,0.92,-0.06500000000000006,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,classification,100,100,2195,200,0.86,,0.92,-0.06000000000000005,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,regression,10,10,2195,200,,1458.5128173828125,1186.553,271.9598173828124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,regression,20,20,2195,200,,1383.5970458984375,1186.553,197.0440458984374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,regression,50,50,2195,200,,1276.487548828125,1186.553,89.93454882812489,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,billing,1.0,regression,100,100,2195,200,,1201.114501953125,1186.553,14.561501953124889,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,helpdesk,0.5,classification,10,10,50,200,0.695,,0.725,-0.030000000000000027,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,helpdesk,0.5,classification,20,20,50,200,0.695,,0.725,-0.030000000000000027,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,helpdesk,0.5,classification,50,50,50,200,0.67,,0.725,-0.05499999999999994,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,helpdesk,0.5,classification,100,50,50,200,0.67,,0.725,-0.05499999999999994,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,helpdesk,0.5,regression,10,10,50,200,,0.20489291846752167,0.196,0.00889291846752166,False
/home/berti/events-transf3/checkpoints/parameter_ablation/e4_d256/model_epoch_5.pth,5,helpdesk,0.5,regression,20,20,50,200,,0.1995401382446289,0.196,0.0035401382446288987,False
