checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,1,1,1152,200,0.8500000238418579,,0.895,-0.04499997615814211,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,5,5,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,10,10,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,200,200,1152,200,0.8500000238418579,,0.895,-0.04499997615814211,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,1,1,1152,200,,1606.825439453125,1160.7777,446.0477394531249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,5,5,1152,200,,1395.4886474609375,1160.7777,234.7109474609374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,10,10,1152,200,,1291.4432373046875,1160.7777,130.6655373046874,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,20,20,1152,200,,1222.3240966796875,1160.7777,61.546396679687405,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,50,50,1152,200,,1148.0328369140625,1160.7777,-12.744863085937595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,200,,1115.396728515625,1160.7777,-45.380971484375095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1087.2303466796875,1160.7777,-73.5473533203126,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,1,1,2195,200,0.8600000143051147,,0.92,-0.059999985694885294,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,5,5,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,50,50,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,100,100,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,200,200,2195,200,0.8550000190734863,,0.92,-0.06499998092651371,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,1,1,2195,200,,2302.32275390625,1186.553,1115.76975390625,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,5,5,2195,200,,1618.3243408203125,1186.553,431.7713408203124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,10,10,2195,200,,1448.90673828125,1186.553,262.3537382812499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,20,20,2195,200,,1367.07080078125,1186.553,180.5178007812499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,50,50,2195,200,,1258.4307861328125,1186.553,71.87778613281239,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,100,100,2195,200,,1190.335205078125,1186.553,3.782205078124889,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1139.0736083984375,1186.553,-47.47939160156261,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,1,1,50,200,0.6800000071525574,,0.725,-0.044999992847442605,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,5,5,50,200,0.6899999976158142,,0.725,-0.03500000238418577,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,10,10,50,200,0.7049999833106995,,0.725,-0.020000016689300515,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.699999988079071,,0.725,-0.025000011920928933,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,50,50,50,200,0.675000011920929,,0.725,-0.04999998807907102,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,100,50,50,200,0.675000011920929,,0.725,-0.04999998807907102,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,200,50,50,200,0.675000011920929,,0.725,-0.04999998807907102,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,1,1,50,200,,0.2510106563568115,0.196,0.055010656356811516,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,5,5,50,200,,0.21637427806854248,0.196,0.020374278068542473,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,10,10,50,200,,0.20967639982700348,0.196,0.013676399827003471,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,20,20,50,200,,0.20575034618377686,0.196,0.009750346183776848,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.1959965080022812,0.196,-3.4919977188185847e-06,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,100,50,50,200,,0.1959965080022812,0.196,-3.4919977188185847e-06,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,200,50,50,200,,0.1959965080022812,0.196,-3.4919977188185847e-06,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,1,1,93,200,0.6600000262260437,,0.785,-0.12499997377395633,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,5,5,93,200,0.6349999904632568,,0.785,-0.1500000095367432,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,10,10,93,200,0.6850000023841858,,0.785,-0.09999999761581424,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,200,0.699999988079071,,0.785,-0.08500001192092899,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,50,50,93,200,0.6700000166893005,,0.785,-0.1149999833106995,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,100,93,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,200,93,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False
