checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1087.2303466796875,1160.7777,-73.5473533203126,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1139.0736083984375,1186.553,-47.47939160156261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,10,10,50,200,0.7049999833106995,,0.725,-0.020000016689300515,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.1959965080022812,0.196,-3.4919977188185847e-06,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,20,20,93,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.18698684871196747,0.2021,-0.015113151288032534,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.699999988079071,,0.68,0.019999988079070996,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,72.66986846923828,97.1067,-24.436831530761722,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,receipt,1.0,classification,1,1,41,200,0.699999988079071,,0.785,-0.08500001192092899,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,63.215354919433594,102.524,-39.30864508056641,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4371.18798828125,4459.555,-88.36701171875029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4352.1796875,4592.9824,-240.80271249999987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,sepsis,0.5,classification,50,50,71,200,0.5550000071525574,,0.4458,0.1092000071525574,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1084.39453125,703.1954,381.19913125000005,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,sepsis,1.0,classification,20,20,225,200,0.5950000286102295,,0.4663,0.1287000286102295,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_clip5/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1375.5621337890625,936.7253,438.83683378906255,False,best metric; smallest k on ties
