checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.875,,0.895,-0.020000000000000018,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1080.4468994140625,1160.7777,-80.3308005859376,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,billing,1.0,classification,50,50,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1138.8160400390625,1186.553,-47.73695996093761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,helpdesk,0.5,classification,10,10,50,200,0.6949999928474426,,0.725,-0.03000000715255735,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.1971350908279419,0.196,0.001135090827941887,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,helpdesk,1.0,classification,100,93,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,helpdesk,1.0,regression,20,20,93,200,,0.18648231029510498,0.2021,-0.015617689704895021,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,receipt,0.5,classification,20,20,34,200,0.699999988079071,,0.68,0.019999988079070996,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,72.39237213134766,97.1067,-24.714327868652347,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,63.26108932495117,102.524,-39.26291067504883,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,100,79,79,200,,4406.953125,4459.555,-52.60187500000029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4361.380859375,4592.9824,-231.60154062499987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,sepsis,0.5,classification,50,50,71,200,0.5550000071525574,,0.4458,0.1092000071525574,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1081.2974853515625,703.1954,378.10208535156255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,sepsis,1.0,classification,50,50,225,200,0.6050000190734863,,0.4663,0.13870001907348634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1372.913330078125,936.7253,436.18803007812505,False,best metric; smallest k on ties
