checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,1,1,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,5,5,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,10,10,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,20,20,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,100,100,1152,200,0.875,,0.895,-0.020000000000000018,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,classification,200,200,1152,200,0.8500000238418579,,0.895,-0.04499997615814211,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,1,1,1152,200,,1723.02978515625,1160.7777,562.2520851562499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,5,5,1152,200,,1444.608642578125,1160.7777,283.8309425781249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,10,10,1152,200,,1310.9212646484375,1160.7777,150.1435646484374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,20,20,1152,200,,1214.9959716796875,1160.7777,54.218271679687405,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,50,50,1152,200,,1135.279296875,1160.7777,-25.498403125000095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,100,100,1152,200,,1099.5086669921875,1160.7777,-61.269033007812595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1088.47021484375,1160.7777,-72.3074851562501,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,1,1,2195,200,0.8450000286102295,,0.92,-0.07499997138977055,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,5,5,2195,200,0.8650000095367432,,0.92,-0.054999990463256876,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,10,10,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,20,20,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,50,50,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,100,100,2195,200,0.8849999904632568,,0.92,-0.035000009536743204,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,classification,200,200,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,1,1,2195,200,,2240.781005859375,1186.553,1054.228005859375,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,5,5,2195,200,,1628.326904296875,1186.553,441.7739042968749,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,10,10,2195,200,,1429.333740234375,1186.553,242.7807402343749,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,20,20,2195,200,,1318.4415283203125,1186.553,131.8885283203124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,50,50,2195,200,,1234.559814453125,1186.553,48.00681445312489,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,100,100,2195,200,,1177.2008056640625,1186.553,-9.352194335937611,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1127.571044921875,1186.553,-58.98195507812511,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,1,1,50,200,0.6600000262260437,,0.725,-0.06499997377395628,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,5,5,50,200,0.6800000071525574,,0.725,-0.044999992847442605,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,20,20,50,200,0.699999988079071,,0.725,-0.025000011920928933,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,50,50,50,200,0.6800000071525574,,0.725,-0.044999992847442605,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,100,50,50,200,0.6800000071525574,,0.725,-0.044999992847442605,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,classification,200,50,50,200,0.6800000071525574,,0.725,-0.044999992847442605,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,1,1,50,200,,0.25430259108543396,0.196,0.05830259108543395,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,5,5,50,200,,0.22145040333271027,0.196,0.02545040333271026,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,10,10,50,200,,0.21903148293495178,0.196,0.023031482934951775,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,20,20,50,200,,0.20819400250911713,0.196,0.012194002509117119,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.2025412768125534,0.196,0.006541276812553398,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,100,50,50,200,,0.2025412768125534,0.196,0.006541276812553398,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,0.5,regression,200,50,50,200,,0.2025412768125534,0.196,0.006541276812553398,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,1,1,93,200,0.6349999904632568,,0.785,-0.1500000095367432,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,5,5,93,200,0.6549999713897705,,0.785,-0.13000002861022952,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,10,10,93,200,0.6800000071525574,,0.785,-0.10499999284744266,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,20,20,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,50,50,93,200,0.675000011920929,,0.785,-0.10999998807907108,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,100,93,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,classification,200,93,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,1,1,93,200,,0.23074281215667725,0.2021,0.028642812156677244,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,5,5,93,200,,0.21325215697288513,0.2021,0.01115215697288513,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,10,10,93,200,,0.19470205903053284,0.2021,-0.007397940969467165,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,20,20,93,200,,0.19343791902065277,0.2021,-0.008662080979347231,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,50,50,93,200,,0.1893737018108368,0.2021,-0.01272629818916321,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,100,93,93,200,,0.1942746788263321,0.2021,-0.00782532117366791,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,helpdesk,1.0,regression,200,93,93,200,,0.1942746788263321,0.2021,-0.00782532117366791,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,receipt,0.5,classification,1,1,34,200,0.7099999785423279,,0.68,0.029999978542327832,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,receipt,0.5,classification,5,5,34,200,0.675000011920929,,0.68,-0.004999988079071094,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,receipt,0.5,classification,10,10,34,200,0.6800000071525574,,0.68,7.152557324197062e-09,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_fast/model_epoch_10.pth,10,receipt,0.5,classification,20,20,34,200,0.675000011920929,,0.68,-0.004999988079071094,False
