checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,1,1,1152,200,0.8550000190734863,,0.895,-0.03999998092651369,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,5,5,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,10,10,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,20,20,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.875,,0.895,-0.020000000000000018,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,100,100,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,classification,200,200,1152,200,0.8450000286102295,,0.895,-0.049999971389770526,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,1,1,1152,200,,1637.4241943359375,1160.7777,476.6464943359374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,5,5,1152,200,,1345.125732421875,1160.7777,184.3480324218749,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,10,10,1152,200,,1264.2401123046875,1160.7777,103.4624123046874,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,20,20,1152,200,,1197.819091796875,1160.7777,37.041391796874905,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,50,50,1152,200,,1127.3118896484375,1160.7777,-33.465810351562595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,100,100,1152,200,,1094.8458251953125,1160.7777,-65.9318748046876,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1076.8763427734375,1160.7777,-83.9013572265626,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,1,1,2195,200,0.8650000095367432,,0.92,-0.054999990463256876,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,5,5,2195,200,0.875,,0.92,-0.04500000000000004,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,10,10,2195,200,0.875,,0.92,-0.04500000000000004,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,20,20,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,50,50,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,100,100,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,classification,200,200,2195,200,0.8650000095367432,,0.92,-0.054999990463256876,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,1,1,2195,200,,2062.0126953125,1186.553,875.4596953124999,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,5,5,2195,200,,1587.5709228515625,1186.553,401.0179228515624,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,10,10,2195,200,,1450.724853515625,1186.553,264.1718535156249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,20,20,2195,200,,1356.8240966796875,1186.553,170.2710966796874,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,50,50,2195,200,,1245.998779296875,1186.553,59.44577929687489,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,100,100,2195,200,,1175.8045654296875,1186.553,-10.748434570312611,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1131.4853515625,1186.553,-55.06764843750011,True
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,classification,1,1,50,200,0.6650000214576721,,0.725,-0.05999997854232786,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,classification,5,5,50,200,0.675000011920929,,0.725,-0.04999998807907102,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,classification,20,20,50,200,0.6899999976158142,,0.725,-0.03500000238418577,False
/home/berti/events-transf3/checkpoints/parameter_ablation/metric_targets_wide/model_epoch_10.pth,10,helpdesk,0.5,classification,50,50,50,200,0.6899999976158142,,0.725,-0.03500000238418577,False
