checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,54878,0.9008527994155884,,0.895,0.005852799415588361,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,54878,,1152.5457763671875,1160.7777,-8.231923632812595,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,50,50,2195,54878,0.9081781506538391,,0.92,-0.011821849346160929,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,54878,,1147.44482421875,1186.553,-39.10817578125011,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,2430,0.7547324895858765,,0.725,0.029732489585876487,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,2430,,0.19863225519657135,0.196,0.0026322551965713425,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,1.0,classification,50,50,93,2430,0.7283950448036194,,0.785,-0.056604955196380646,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,2430,,0.19056883454322815,0.2021,-0.011531165456771852,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,1218,0.7274219989776611,,0.68,0.047421998977661084,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,1218,,86.23313903808594,97.1067,-10.873560961914066,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,1218,0.7372742295265198,,0.785,-0.047725770473480256,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,1218,,78.53614044189453,102.524,-23.98785955810547,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8737359046936035,,0.85,0.023735904693603538,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,100,79,79,3461,,4888.84521484375,4459.555,429.2902148437497,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8537994623184204,,0.855,-0.001200537681579572,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,3461,,4901.126953125,4592.9824,308.14455312500013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,0.5,classification,50,50,71,2610,0.5,,0.4458,0.054200000000000026,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,2610,,979.041015625,703.1954,275.84561562500005,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,1.0,classification,50,50,225,2610,0.5486590266227722,,0.4663,0.08235902662277222,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,sepsis,1.0,regression,200,200,225,2610,,1275.793701171875,936.7253,339.06840117187505,False,best metric; smallest k on ties
