checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,1,1,1152,54878,0.8725901246070862,,0.895,-0.022409875392913836,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,5,5,1152,54878,0.8883705735206604,,0.895,-0.006629426479339617,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,10,10,1152,54878,0.8934181332588196,,0.895,-0.0015818667411804377,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,20,20,1152,54878,0.9008163809776306,,0.895,0.0058163809776305975,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,54878,0.9028390049934387,,0.895,0.007839004993438703,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,100,100,1152,54878,0.900233268737793,,0.895,0.005233268737792951,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,classification,200,200,1152,54878,0.890265703201294,,0.895,-0.0047342967987060725,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,1,1,1152,54878,,1499.8184814453125,1160.7777,339.0407814453124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,5,5,1152,54878,,1295.66357421875,1160.7777,134.8858742187499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,10,10,1152,54878,,1240.6982421875,1160.7777,79.9205421874999,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,20,20,1152,54878,,1194.847900390625,1160.7777,34.070200390624905,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,50,50,1152,54878,,1156.0989990234375,1160.7777,-4.678700976562595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,54878,,1144.447509765625,1160.7777,-16.330190234375095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,0.5,regression,200,200,1152,54878,,1150.5933837890625,1160.7777,-10.184316210937595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,1,1,2195,54878,0.8771092295646667,,0.92,-0.04289077043533329,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,5,5,2195,54878,0.8870221376419067,,0.92,-0.0329778623580933,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,10,10,2195,54878,0.8956959247589111,,0.92,-0.024304075241088907,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,20,20,2195,54878,0.9027843475341797,,0.92,-0.017215652465820352,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,50,50,2195,54878,0.9055905938148499,,0.92,-0.014409406185150186,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,100,100,2195,54878,0.905809223651886,,0.92,-0.014190776348114054,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,classification,200,200,2195,54878,0.9034950137138367,,0.92,-0.01650498628616337,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,1,1,2195,54878,,1726.106689453125,1186.553,539.5536894531249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,5,5,2195,54878,,1383.0390625,1186.553,196.4860624999999,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,10,10,2195,54878,,1296.567626953125,1186.553,110.01462695312489,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,20,20,2195,54878,,1237.25341796875,1186.553,50.70041796874989,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,50,50,2195,54878,,1184.2159423828125,1186.553,-2.337057617187611,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,100,100,2195,54878,,1159.6473388671875,1186.553,-26.90566113281261,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,54878,,1139.5992431640625,1186.553,-46.95375683593761,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,1,1,50,2430,0.7193415760993958,,0.725,-0.005658423900604226,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,5,5,50,2430,0.7024691104888916,,0.725,-0.022530889511108376,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,10,10,50,2430,0.739506185054779,,0.725,0.014506185054779075,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,20,20,50,2430,0.7366254925727844,,0.725,0.011625492572784446,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,50,50,50,2430,0.7263374328613281,,0.725,0.0013374328613281472,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,100,50,50,2430,0.7263374328613281,,0.725,0.0013374328613281472,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,classification,200,50,50,2430,0.7263374328613281,,0.725,0.0013374328613281472,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,1,1,50,2430,,0.23643165826797485,0.196,0.040431658267974846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,5,5,50,2430,,0.21546605229377747,0.196,0.01946605229377746,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,10,10,50,2430,,0.20142045617103577,0.196,0.005420456171035759,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,2430,,0.19561873376369476,0.196,-0.00038126623630524437,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,50,50,50,2430,,0.19978384673595428,0.196,0.003783846735954277,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,100,50,50,2430,,0.19978384673595428,0.196,0.003783846735954277,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,0.5,regression,200,50,50,2430,,0.19978384673595428,0.196,0.003783846735954277,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,1,1,93,2430,0.6695473194122314,,0.785,-0.11545268058776859,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,5,5,93,2430,0.6798353791236877,,0.785,-0.10516462087631229,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,10,10,93,2430,0.6950617432594299,,0.785,-0.0899382567405701,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,20,20,93,2430,0.7222222089767456,,0.785,-0.06277779102325443,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,2430,0.7238683104515076,,0.785,-0.06113168954849246,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,100,93,93,2430,0.7041152119636536,,0.785,-0.08088478803634647,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,classification,200,93,93,2430,0.7041152119636536,,0.785,-0.08088478803634647,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,1,1,93,2430,,0.22068297863006592,0.2021,0.018582978630065916,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,5,5,93,2430,,0.20532117784023285,0.2021,0.0032211778402328473,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,10,10,93,2430,,0.18538033962249756,0.2021,-0.016719660377502443,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,20,20,93,2430,,0.18542782962322235,0.2021,-0.01667217037677765,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,50,50,93,2430,,0.18776960670948029,0.2021,-0.014330393290519716,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,100,93,93,2430,,0.19738776981830597,0.2021,-0.004712230181694033,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,helpdesk,1.0,regression,200,93,93,2430,,0.19738776981830597,0.2021,-0.004712230181694033,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,1,1,34,1218,0.6822659969329834,,0.68,0.0022659969329833496,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,5,5,34,1218,0.6642035841941833,,0.68,-0.0157964158058167,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,10,10,34,1218,0.6789819598197937,,0.68,-0.0010180401802063477,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,20,20,34,1218,0.6814450025558472,,0.68,0.0014450025558471191,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,50,34,34,1218,0.6789819598197937,,0.68,-0.0010180401802063477,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,100,34,34,1218,0.6789819598197937,,0.68,-0.0010180401802063477,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,classification,200,34,34,1218,0.6789819598197937,,0.68,-0.0010180401802063477,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,1,1,34,1218,,234.387451171875,97.1067,137.280751171875,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,5,5,34,1218,,285.6053161621094,97.1067,188.49861616210939,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,10,10,34,1218,,155.41061401367188,97.1067,58.30391401367187,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,20,20,34,1218,,100.48743438720703,97.1067,3.3807343872070277,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,86.07454681396484,97.1067,-11.03215318603516,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,100,34,34,1218,,86.07454681396484,97.1067,-11.03215318603516,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,0.5,regression,200,34,34,1218,,86.07454681396484,97.1067,-11.03215318603516,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,1,1,41,1218,0.7307060956954956,,0.785,-0.054293904304504426,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,5,5,41,1218,0.7298850417137146,,0.785,-0.05511495828628543,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,10,10,41,1218,0.7405582666397095,,0.785,-0.04444173336029056,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,20,20,41,1218,0.7405582666397095,,0.785,-0.04444173336029056,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,50,41,41,1218,0.71592777967453,,0.785,-0.06907222032547,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,100,41,41,1218,0.71592777967453,,0.785,-0.06907222032547,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,classification,200,41,41,1218,0.71592777967453,,0.785,-0.06907222032547,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,1,1,41,1218,,93.11943054199219,102.524,-9.404569458007813,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,5,5,41,1218,,81.24102783203125,102.524,-21.28297216796875,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,10,10,41,1218,,79.34646606445312,102.524,-23.177533935546876,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,20,20,41,1218,,79.19949340820312,102.524,-23.324506591796876,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.59503936767578,102.524,-23.92896063232422,True
