checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,1,1,1152,54878,0.8760705590248108,,0.895,-0.018929440975189227,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,5,5,1152,54878,0.8891905546188354,,0.895,-0.0058094453811645685,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,10,10,1152,54878,0.8952221274375916,,0.895,0.00022212743759153497,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,54878,0.90067058801651,,0.895,0.005670588016509992,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,54878,0.8998687863349915,,0.895,0.004868786334991437,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,54878,0.898866593837738,,0.895,0.0038665938377380193,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,classification,200,200,1152,54878,0.8888261318206787,,0.895,-0.006173868179321307,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,1,1,1152,54878,,1528.6160888671875,1160.7777,367.8383888671874,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,5,5,1152,54878,,1324.373291015625,1160.7777,163.5955910156249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,10,10,1152,54878,,1267.1849365234375,1160.7777,106.4072365234374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,20,20,1152,54878,,1215.624267578125,1160.7777,54.846567578124905,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,50,50,1152,54878,,1172.286865234375,1160.7777,11.509165234374905,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,54878,,1155.5631103515625,1160.7777,-5.214589648437595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_relative_mae/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,54878,,1154.2196044921875,1160.7777,-6.558095507812595,True
