checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,54878,0.9034039378166199,,0.895,0.008403937816619855,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,54878,,1144.1397705078125,1160.7777,-16.637929492187595,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,1.0,classification,50,50,2195,54878,0.9054994583129883,,0.92,-0.014500541687011759,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,54878,,1140.650634765625,1186.553,-45.90236523437511,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,3.0,classification,50,50,6294,54878,0.9155581593513489,,0.92,-0.004441840648651163,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,3.0,regression,200,200,6294,54878,,1117.963134765625,1194.6041,-76.64096523437502,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,5.0,classification,100,100,11378,54878,0.9249972701072693,,0.915,0.009997270107269252,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,5.0,regression,200,200,11378,54878,,1113.507080078125,1163.6401,-50.133019921875075,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,10.0,classification,100,100,21532,54878,0.9283866286277771,,0.925,0.003386628627777055,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,10.0,regression,200,200,21532,54878,,1122.1324462890625,1120.5362,1.596246289062492,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_40.pth,40,billing,20.0,classification,50,50,43527,54878,0.9327599406242371,,0.94,-0.007240059375762886,False,best metric; smallest k on ties
