checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,1,1,1152,54878,0.8780021071434021,,0.895,-0.016997892856597918,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,5,5,1152,54878,0.8887532353401184,,0.895,-0.0062467646598816096,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,10,10,1152,54878,0.8957323431968689,,0.895,0.0007323431968688787,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,54878,0.8992674946784973,,0.895,0.004267494678497297,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,54878,0.9018368124961853,,0.895,0.006836812496185285,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,54878,0.8974087834358215,,0.895,0.0024087834358215154,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,200,200,1152,54878,0.8853092193603516,,0.895,-0.009690780639648455,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,1,1,1152,54878,,1494.0714111328125,1160.7777,333.2937111328124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,5,5,1152,54878,,1309.18359375,1160.7777,148.4058937499999,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,10,10,1152,54878,,1252.4581298828125,1160.7777,91.6804298828124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,20,20,1152,54878,,1203.8038330078125,1160.7777,43.026133007812405,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,50,50,1152,54878,,1160.5650634765625,1160.7777,-0.21263652343759532,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,54878,,1146.585693359375,1160.7777,-14.192006640625095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,54878,,1155.6429443359375,1160.7777,-5.134755664062595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,1,1,2195,54878,0.877455472946167,,0.92,-0.04254452705383305,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,5,5,2195,54878,0.8858923316001892,,0.92,-0.03410766839981083,False
