checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,billing,0.5,classification,20,20,1152,54878,0.9003243446350098,,0.895,0.005324344635009748,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,54878,,1144.2677001953125,1160.7777,-16.509999804687595,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,billing,1.0,classification,100,100,2195,54878,0.9059367775917053,,0.92,-0.014063222408294718,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,billing,1.0,regression,200,200,2195,54878,,1142.9696044921875,1186.553,-43.58339550781261,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,helpdesk,0.5,classification,20,20,50,2430,0.7349794507026672,,0.725,0.009979450702667259,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,helpdesk,0.5,regression,20,20,50,2430,,0.19379527866840363,0.196,-0.002204721331596382,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,helpdesk,1.0,classification,50,50,93,2430,0.7320987582206726,,0.785,-0.052901241779327424,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,helpdesk,1.0,regression,20,20,93,2430,,0.18412946164608002,0.2021,-0.017970538353919985,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,receipt,0.5,classification,10,10,34,1218,0.6822659969329834,,0.68,0.0022659969329833496,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,receipt,0.5,regression,50,34,34,1218,,89.75312805175781,97.1067,-7.353571948242191,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,receipt,1.0,classification,50,41,41,1218,0.7216748595237732,,0.785,-0.06332514047622684,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,receipt,1.0,regression,50,41,41,1218,,78.72032928466797,102.524,-23.803670715332032,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,roadtraffic_10000,0.5,classification,20,20,79,3461,0.8722912669181824,,0.85,0.022291266918182395,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,roadtraffic_10000,0.5,regression,100,79,79,3461,,4876.1474609375,4459.555,416.5924609374997,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,roadtraffic_10000,1.0,classification,50,50,166,3461,0.8523548245429993,,0.855,-0.0026451754570007147,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,roadtraffic_10000,1.0,regression,100,100,166,3461,,4905.47802734375,4592.9824,312.49562734375013,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,sepsis,0.5,classification,100,71,71,2610,0.42260536551475525,,0.4458,-0.023194634485244725,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,sepsis,0.5,regression,20,20,71,2610,,957.2725830078125,703.1954,254.07718300781255,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,sepsis,1.0,classification,100,100,225,2610,0.5157088041305542,,0.4663,0.04940880413055421,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_40.pth,40,sepsis,1.0,regression,100,100,225,2610,,1269.3948974609375,936.7253,332.66959746093755,False,best metric; smallest k on ties
