checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,1,1,1152,200,0.8349999785423279,,0.895,-0.06000002145767214,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,5,5,1152,200,0.8500000238418579,,0.895,-0.04499997615814211,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,10,10,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,200,200,1152,200,0.8500000238418579,,0.895,-0.04499997615814211,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,1,1,1152,200,,1653.5860595703125,1160.7777,492.8083595703124,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,5,5,1152,200,,1399.62255859375,1160.7777,238.8448585937499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,10,10,1152,200,,1282.11328125,1160.7777,121.3355812499999,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,20,20,1152,200,,1203.0797119140625,1160.7777,42.302011914062405,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,50,50,1152,200,,1142.391357421875,1160.7777,-18.386342578125095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,200,,1109.072998046875,1160.7777,-51.704701953125095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1090.3018798828125,1160.7777,-70.4758201171876,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,classification,1,1,2195,200,0.8600000143051147,,0.92,-0.059999985694885294,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,classification,5,5,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8899999856948853,,0.92,-0.030000014305114786,False
