checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1090.3018798828125,1160.7777,-70.4758201171876,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8899999856948853,,0.92,-0.030000014305114786,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1133.9991455078125,1186.553,-52.55385449218761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,10,10,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.2015427052974701,0.196,0.005542705297470085,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,100,93,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,1.0,regression,20,20,93,200,,0.18875880539417267,0.2021,-0.013341194605827333,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.7049999833106995,,0.68,0.024999983310699414,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,68.45482635498047,97.1067,-28.651873645019535,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,200,0.7250000238418579,,0.785,-0.05999997615814212,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,63.36747741699219,102.524,-39.15652258300781,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.875,,0.85,0.025000000000000022,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,100,79,79,200,,4298.70556640625,4459.555,-160.8494335937503,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8450000286102295,,0.855,-0.00999997138977049,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4266.82666015625,4592.9824,-326.15573984374987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,0.5,classification,50,50,71,200,0.5649999976158142,,0.4458,0.11919999761581423,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1094.225830078125,703.1954,391.03043007812505,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,1.0,classification,10,10,225,200,0.6050000190734863,,0.4663,0.13870001907348634,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum20_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,1.0,regression,200,200,225,200,,1398.684326171875,936.7253,461.95902617187505,False,best metric; smallest k on ties
