checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,1,1,1152,200,0.8399999737739563,,0.895,-0.05500002622604372,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,5,5,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,10,10,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,classification,200,200,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,1,1,1152,200,,1776.51904296875,1160.7777,615.7413429687499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,5,5,1152,200,,1433.211669921875,1160.7777,272.4339699218749,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,10,10,1152,200,,1324.8902587890625,1160.7777,164.1125587890624,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,20,20,1152,200,,1229.81689453125,1160.7777,69.0391945312499,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,50,50,1152,200,,1143.3585205078125,1160.7777,-17.419179492187595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,200,,1099.4608154296875,1160.7777,-61.316884570312595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1069.5101318359375,1160.7777,-91.2675681640626,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,1,1,2195,200,0.8600000143051147,,0.92,-0.059999985694885294,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,5,5,2195,200,0.8600000143051147,,0.92,-0.059999985694885294,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.875,,0.92,-0.04500000000000004,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_log_rmse/model_epoch_20.pth,20,billing,1.0,classification,50,50,2195,200,0.8650000095367432,,0.92,-0.054999990463256876,False
