checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1223.852294921875,1160.7777,63.074594921874905,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,billing,1.0,classification,20,20,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1406.55810546875,1186.553,220.0051054687499,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,helpdesk,0.5,classification,20,20,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,helpdesk,0.5,regression,50,50,50,200,,0.14049218595027924,0.196,-0.05550781404972077,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,helpdesk,1.0,classification,10,10,93,200,0.6850000023841858,,0.785,-0.09999999761581424,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,helpdesk,1.0,regression,100,93,93,200,,0.15701933205127716,0.2021,-0.04508066794872284,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,receipt,0.5,classification,1,1,34,200,0.6949999928474426,,0.68,0.014999992847442578,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,receipt,0.5,regression,20,20,34,200,,90.23259735107422,97.1067,-6.874102648925785,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,receipt,1.0,classification,1,1,41,200,0.6949999928474426,,0.785,-0.0900000071525574,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,receipt,1.0,regression,1,1,41,200,,12.104400634765625,102.524,-90.41959936523438,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,20,20,79,200,0.8949999809265137,,0.85,0.044999980926513694,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,20,20,79,200,,11381.1650390625,4459.555,6921.6100390625,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,50,50,166,200,,11850.58203125,4592.9824,7257.59963125,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,sepsis,0.5,classification,50,50,71,200,0.550000011920929,,0.4458,0.10420001192092898,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,sepsis,0.5,regression,20,20,71,200,,678.0761108398438,703.1954,-25.1192891601562,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,sepsis,1.0,classification,50,50,225,200,0.6000000238418579,,0.4663,0.13370002384185792,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_accuracy_mae_learned_transform/model_epoch_10.pth,10,sepsis,1.0,regression,10,10,225,200,,1275.8900146484375,936.7253,339.16471464843755,False,best metric; smallest k on ties
