checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1070.45458984375,1160.7777,-90.3231101562501,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1143.155029296875,1186.553,-43.39797070312511,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.699999988079071,,0.725,-0.025000011920928933,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.1929430514574051,0.196,-0.0030569485425949172,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,1.0,classification,50,50,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.18129783868789673,0.2021,-0.020802161312103273,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.7099999785423279,,0.68,0.029999978542327832,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,78.06697082519531,97.1067,-19.03972917480469,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,1.0,classification,10,10,41,200,0.7099999785423279,,0.785,-0.07500002145767215,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,62.91050338745117,102.524,-39.61349661254883,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4439.412109375,4459.555,-20.14289062500029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4388.35693359375,4592.9824,-204.62546640624987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,0.5,classification,50,50,71,200,0.5400000214576721,,0.4458,0.09420002145767215,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1061.95068359375,703.1954,358.75528359375005,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,1.0,classification,50,50,225,200,0.6000000238418579,,0.4663,0.13370002384185792,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1367.917236328125,936.7253,431.19193632812505,False,best metric; smallest k on ties
