checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,1,1,1152,200,0.8299999833106995,,0.895,-0.06500001668930055,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,5,5,1152,200,0.8550000190734863,,0.895,-0.03999998092651369,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,10,10,1152,200,0.8550000190734863,,0.895,-0.03999998092651369,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,20,20,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,50,50,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,100,100,1152,200,0.8700000047683716,,0.895,-0.024999995231628436,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,classification,200,200,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,1,1,1152,200,,1775.8934326171875,1160.7777,615.1157326171874,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,5,5,1152,200,,1471.9945068359375,1160.7777,311.2168068359374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,10,10,1152,200,,1346.032470703125,1160.7777,185.2547707031249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,20,20,1152,200,,1223.172119140625,1160.7777,62.394419140624905,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,50,50,1152,200,,1145.811279296875,1160.7777,-14.966420703125095,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,100,100,1152,200,,1097.3988037109375,1160.7777,-63.378896289062595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,0.5,regression,200,200,1152,200,,1074.712158203125,1160.7777,-86.0655417968751,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,1.0,classification,1,1,2195,200,0.8550000190734863,,0.92,-0.06499998092651371,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_equilibrated_mae_clip5/model_epoch_40.pth,40,billing,1.0,classification,5,5,2195,200,0.8650000095367432,,0.92,-0.054999990463256876,False
