checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1069.01953125,1160.7777,-91.7581687500001,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,billing,1.0,regression,200,200,2195,200,,1142.4747314453125,1186.553,-44.07826855468761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,helpdesk,0.5,classification,20,20,50,200,0.7149999737739563,,0.725,-0.010000026226043679,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,helpdesk,0.5,regression,50,50,50,200,,0.1974199116230011,0.196,0.001419911623001091,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,helpdesk,1.0,classification,100,93,93,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,helpdesk,1.0,regression,50,50,93,200,,0.18604521453380585,0.2021,-0.016054785466194155,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,receipt,0.5,classification,1,1,34,200,0.7300000190734863,,0.68,0.05000001907348628,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,receipt,0.5,regression,50,34,34,200,,74.56781005859375,97.1067,-22.538889941406254,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,receipt,1.0,classification,20,20,41,200,0.7200000286102295,,0.785,-0.06499997138977054,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,receipt,1.0,regression,50,41,41,200,,62.84931182861328,102.524,-39.67468817138672,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,0.5,classification,50,50,79,200,0.8799999952316284,,0.85,0.02999999523162844,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,0.5,regression,50,50,79,200,,4439.67431640625,4459.555,-19.88068359375029,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,roadtraffic_10000,1.0,regression,100,100,166,200,,4367.837890625,4592.9824,-225.14450937499987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,sepsis,0.5,classification,20,20,71,200,0.5249999761581421,,0.4458,0.07919997615814212,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,sepsis,0.5,regression,100,71,71,200,,1032.409423828125,703.1954,329.21402382812505,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,sepsis,1.0,classification,20,20,225,200,0.6100000143051147,,0.4663,0.14370001430511475,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets/model_epoch_20.pth,20,sepsis,1.0,regression,100,100,225,200,,1370.2735595703125,936.7253,433.54825957031255,False,best metric; smallest k on ties
