checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,1,1,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,5,5,1152,200,0.8500000238418579,,0.895,-0.04499997615814211,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,10,10,1152,200,0.8600000143051147,,0.895,-0.03499998569488527,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,20,20,1152,200,0.8799999952316284,,0.895,-0.0150000047683716,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,50,50,1152,200,0.8849999904632568,,0.895,-0.010000009536743182,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,100,100,1152,200,0.8650000095367432,,0.895,-0.029999990463256854,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,classification,200,200,1152,200,0.8399999737739563,,0.895,-0.05500002622604372,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,1,1,1152,200,,1724.8101806640625,1160.7777,564.0324806640624,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,5,5,1152,200,,1471.751220703125,1160.7777,310.9735207031249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,10,10,1152,200,,1348.0921630859375,1160.7777,187.3144630859374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,20,20,1152,200,,1227.5338134765625,1160.7777,66.7561134765624,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,50,50,1152,200,,1134.5750732421875,1160.7777,-26.202626757812595,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,100,100,1152,200,,1086.7757568359375,1160.7777,-74.0019431640626,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,0.5,regression,200,200,1152,200,,1069.0953369140625,1160.7777,-91.6823630859376,True
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,1,1,2195,200,0.8399999737739563,,0.92,-0.08000002622604374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,5,5,2195,200,0.8550000190734863,,0.92,-0.06499998092651371,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,10,10,2195,200,0.8600000143051147,,0.92,-0.059999985694885294,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,20,20,2195,200,0.8799999952316284,,0.92,-0.04000000476837162,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,50,50,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,100,100,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,classification,200,200,2195,200,0.8700000047683716,,0.92,-0.04999999523162846,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,regression,1,1,2195,200,,1973.328125,1186.553,786.7751249999999,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,regression,5,5,2195,200,,1636.042236328125,1186.553,449.4892363281249,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,regression,10,10,2195,200,,1438.4554443359375,1186.553,251.9024443359374,False
/home/berti/events-transf3/checkpoints/parameter_ablation/curriculum_metric_targets_seed43/model_epoch_20.pth,20,billing,1.0,regression,20,20,2195,200,,1348.2694091796875,1186.553,161.7164091796874,False
