checkpoint,checkpoint_epoch,log,fraction_percent,task,retrieval_k,effective_k,support_prefixes,n_queries,accuracy,mae_hours,fmv2_proto_reference,candidate_minus_reference,beats_fmv2,selection_policy
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,billing,0.5,classification,50,50,1152,200,0.7950000166893005,,0.895,-0.09999998331069948,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,billing,0.5,regression,200,200,1152,200,,1075.44287109375,1160.7777,-85.3348289062501,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,billing,1.0,classification,10,10,2195,200,0.8100000023841858,,0.92,-0.10999999761581425,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,billing,1.0,regression,200,200,2195,200,,1079.7144775390625,1186.553,-106.83852246093761,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,helpdesk,0.5,classification,20,20,50,200,0.6800000071525574,,0.725,-0.044999992847442605,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,helpdesk,0.5,regression,20,20,50,200,,0.18150945007801056,0.196,-0.014490549921989448,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,helpdesk,1.0,classification,20,20,93,200,0.6850000023841858,,0.785,-0.09999999761581424,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,helpdesk,1.0,regression,50,50,93,200,,0.1737697571516037,0.2021,-0.028330242848396303,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,receipt,0.5,classification,20,20,34,200,0.6650000214576721,,0.68,-0.01499997854232793,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,receipt,0.5,regression,50,34,34,200,,80.96404266357422,97.1067,-16.142657336425785,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,receipt,1.0,classification,5,5,41,200,0.6899999976158142,,0.785,-0.09500000238418582,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,receipt,1.0,regression,50,41,41,200,,63.921905517578125,102.524,-38.602094482421876,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,roadtraffic_10000,0.5,classification,20,20,79,200,0.8949999809265137,,0.85,0.044999980926513694,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,roadtraffic_10000,0.5,regression,50,50,79,200,,4483.36669921875,4459.555,23.81169921874971,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,roadtraffic_10000,1.0,classification,50,50,166,200,0.8600000143051147,,0.855,0.005000014305114764,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,roadtraffic_10000,1.0,regression,100,100,166,200,,4451.91259765625,4592.9824,-141.06980234374987,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,sepsis,0.5,classification,100,71,71,200,0.5450000166893005,,0.4458,0.09920001668930056,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,sepsis,0.5,regression,100,71,71,200,,1075.49462890625,703.1954,372.29922890625005,False,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,sepsis,1.0,classification,20,20,225,200,0.6100000143051147,,0.4663,0.14370001430511475,True,best metric; smallest k on ties
/home/berti/events-transf3/checkpoints/parameter_ablation/out_only_metric_targets/model_epoch_10.pth,10,sepsis,1.0,regression,100,100,225,200,,1388.8712158203125,936.7253,452.14591582031255,False,best metric; smallest k on ties
