task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,prefix_attention_confirmation,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,0.8605769230769231,0.3776018099547511,0.30844645550527905,0.35081095331214246,0.361358454759927,0.6,0.9038461538461539,0.4,1.0,0.9440045248868778,3.143651193979093,0.315007822579422,0.23239596357669712,0.2551456949052295,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1100.9803864239625,1811.4607729112947,891.8365077275648,0.8631393766167518,-0.006253262047905439,0.14660804866112453,-0.006253262047905217,0.1655560319979379,0.09615384615384616,449.02827512300934,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,2,7,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,1.1971153846153846,2.610576923076923,0.48124999999999996,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3524929620097743,0.36340504239385824,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.100911124111938,0.3045116668429432,0.2677806919629426,0.2663072559713506,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,920.4742722524678,1896.070572784127,415.83172833593864,0.7216273780537725,0.15872230740307913,0.10674777495515675,0.15872230740307924,0.08578507334999952,0.7067307692307693,1234.644024041983,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,0.7932692307692307,0.37941176470588234,0.3104575163398693,0.36339346106271747,0.33468436708443106,0.5,0.9134615384615384,0.5,1.0,0.7588235294117647,2.97183850333185,0.3676603921164968,0.2359717378269539,0.27519613950161087,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,871.3590391744721,1864.04161911963,287.7663900690801,0.6831223400130648,0.20361172061188537,0.12183684101489745,0.20361172061188548,0.11641055068365846,0.75,1212.0874727689302,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,8,28,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,4.375,2.639423076923077,0.5983347534818122,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.5,1.0,0.7705882352941177,2.90343567823999,0.3177958436043484,0.27202084755986083,0.25685398248136637,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,874.1720208955625,1855.5048525614186,334.4239898450227,0.6853276429586173,0.2010407647003798,0.1258585719737899,0.2010407647003799,0.1244851820898375,0.7692307692307693,1239.1678733825684,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.4805429864253393,0.9610859728506786,0.7933333333333333,2.7713495200104896,0.2593916593737525,0.1467003096189769,0.14129707894532592,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,841.1294201037733,1722.1588786231634,361.97422349218664,0.6594231216784003,0.2312404169769109,0.18867880115240032,0.231240416976911,0.24580136520222617,0.9038461538461539,3215.484958355243,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,32,118,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,19.528846153846153,2.639423076923077,0.6584032737456753,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3559536541889483,0.36850918857321185,0.6,0.9134615384615384,0.46990950226244343,0.9398190045248869,0.8,2.743045520839225,0.2493976227457589,0.14550630906649992,0.19168382779590376,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,807.8671336876715,1679.8386926206742,390.53289825203456,0.6333463727044305,0.26164085337168386,0.20861613937896595,0.26164085337168397,0.28241314814518903,0.9038461538461539,2889.9846954345703,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,0.8846153846153846,0.3911357466063349,0.3234841628959277,0.35488455809334657,0.37166857971846257,0.6,0.9519230769230769,0.5637254901960784,0.8053221288515406,0.6567948717948718,1.783206373821847,0.2534794204194041,0.20812117750000808,0.062146791001873036,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1006.4184512424454,1795.5910068655996,581.5842935166888,0.7890053313688119,0.0801726697082693,0.1540844074184059,0.08017266970826942,0.18011270790875578,0.9519230769230769,5163.296788142277,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,0.9086538461538461,0.425,0.36111111111111105,0.4630831781648478,0.42052959501557635,0.5,0.9711538461538461,0.5333333333333333,0.6666666666666667,0.5714285714285714,1.2488011038245082,0.2129117652089809,0.2102398980838824,0.04216754257418582,,,,,,,,,,,,,
regression,prefix_attention_confirmation,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,924.9720256631043,1762.5365762661777,478.57327652334686,0.7251534972498122,0.15461153567894304,0.16965658289770214,0.15461153567894315,0.2100209239213051,0.9326923076923077,3735.6873022226187,learned_transform_ensemble,4,dynamic
classification,prefix_attention_confirmation,main,billing,1,natural,1,3,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.75,0.75,1.7644230769230769,0.375,0.6971153846153846,0.2826923076923077,0.20299145299145296,0.22125,0.2441351981351981,0.7,0.7403846153846154,0.3,1.0,0.9423076923076924,7.412837132731169,0.5181661875640834,0.12558825599119502,0.3065880693461106,,,,,,,,,,,,,
