task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,1,3,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,9056.683273580546,10393.051362617347,8646.98740288685,0.7749723473472219,-0.9106416379131823,-0.49539919932109955,-0.9106416379131823,-1.2516017113951654,0.02,627.5369791666667,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,2,6,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,8144.698974815169,9544.550342693628,7443.2760691450385,0.6969346605463898,-0.7182450262940925,-0.3733130379478411,-0.7182450262940925,-0.8989624140863912,0.08,3923.08693359375,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,4,12,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,7803.251552940169,9240.347102330845,7042.6875456575945,0.667717307787899,-0.646211629333467,-0.3295429009401829,-0.646211629333467,-0.7798442236846255,0.21333333333333335,7061.6336458333335,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,8,26,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4719.848099939848,7114.438425394856,2752.4068510156358,0.4038732117090612,0.0042780527969965565,-0.023657552893634914,0.0042780527969965565,-0.055083114924061816,0.9333333333333333,21484.400162760416,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,16,52,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4914.963702625841,7398.667074301745,3021.0179297549603,0.4205690806105085,-0.03688447695447161,-0.06455365541154268,-0.03688447695447139,-0.14107027900411384,0.9133333333333333,19775.514772135415,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,32,103,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4767.373859083254,7475.497614945171,2503.1784820286557,0.4079399487263824,-0.0057482108527120435,-0.07560838081921673,-0.0057482108527120435,-0.16489193221084864,0.9,20149.709381510416,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,64,203,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4829.77550682618,7456.510052108364,2751.0571982664696,0.41327960232459765,-0.018912763796705034,-0.07287636446785428,-0.018912763796705034,-0.15898185912844465,0.7933333333333333,15381.727805175782,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,0,natural,128,406,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4797.470207510396,7075.3789902110775,3397.2601174547744,0.41051526654225445,-0.012097481851487624,-0.018037504838272822,-0.012097481851487624,-0.04352975803466497,0.84,16940.662688802084,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,1,3,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5242.799377656587,7438.659625861298,3418.647431882331,0.44862168827581944,-0.10604627407001566,-0.07030796446807974,-0.10604627407001566,-0.15343943867413534,0.04,670.3523209635416,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,2,6,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4731.942734394952,6996.09960608175,2807.7596908821142,0.40490813884196875,0.0017265103076317123,-0.006630428762800511,0.0017265103076317123,-0.020275342690106557,0.4866666666666667,5290.9414453125,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,4,12,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4712.656937575711,6988.333394302734,2768.7587143196142,0.4032578703297565,0.005795135135295282,-0.005512991114231758,0.005795135135295393,-0.01801143082939327,0.42,3967.877783203125,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,8,26,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4647.3905425276525,7162.944307996528,2858.1657210274134,0.39767308284791625,0.019564049004578754,-0.030636798494768636,0.019564049004578643,-0.06951916686663662,0.6266666666666667,9215.508785807291,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,16,50,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4820.160981137848,7031.536742155928,3129.026676792535,0.4124568958970633,-0.0168844370291672,-0.011729284052034217,-0.01688443702916742,-0.030637460792847904,0.7933333333333333,14493.799345703124,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,32,99,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4518.2865082629505,6558.548837541095,2931.496331070637,0.38662576525230413,0.046800459513520964,0.05632635323594126,0.046800459513520964,0.10335416277967113,0.9533333333333334,22575.964114583334,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,64,189,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4758.203022108927,6558.387766582986,3482.1056359035138,0.4071552083482061,-0.003813486798843746,0.05634952885332123,-0.003813486798843746,0.10339820356802776,0.8733333333333333,19088.06046875,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,1,natural,128,403,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4790.960010506711,7276.219852979418,3133.041394461412,0.40995819476429396,-0.01072405925399611,-0.046935395832539806,-0.01072405925399611,-0.10361361280481929,0.7933333333333333,17419.569986979168,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,1,3,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5053.460001952752,7015.459475964757,3374.7746741939627,0.43242008598919685,-0.06610232505597291,-0.009416014334535872,-0.06610232505597269,-0.025929844135791136,0.04,752.3874609375,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,2,6,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5151.981162738131,7062.5352385205515,3480.4793016485346,0.44085045425215075,-0.08688682489171295,-0.016189487800333913,-0.08688682489171318,-0.039744611768610216,0.05333333333333334,1167.024609375,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,4,12,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5979.324643067398,7678.0231696195815,4567.109532818053,0.5116455013621185,-0.26142720072492387,-0.10474867289854939,-0.26142720072492387,-0.22886523931771618,0.49333333333333335,9645.133990885417,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,8,24,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,6021.279057129897,7711.162380173763,4637.47896726217,0.5152355033270143,-0.2702781065124651,-0.109516892278962,-0.2702781065124651,-0.23949597248294063,0.5066666666666667,9687.552428385417,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,16,52,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4792.447204464843,7126.03449423561,2831.5849194285693,0.41008545263098517,-0.011037804873029744,-0.025326047684501418,-0.011037804873029522,-0.058525350748198424,0.8333333333333334,18524.941822916666,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,32,101,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5108.869173777833,7457.6133459311695,3321.23107770583,0.4371613996309261,-0.07779171151382913,-0.07303511136919005,-0.07779171151382913,-0.15932485930345397,0.8666666666666667,19165.253736979168,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,64,205,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5242.3488363201695,7071.8267041366325,4010.6006563588453,0.4485831358536453,-0.10595122569403115,-0.017526385864052196,-0.10595122569403093,-0.04248218569116147,0.8933333333333333,17298.89840169271,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,2,natural,128,406,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4858.282107886033,7120.120810738494,3026.1312548415735,0.41571888686960207,-0.024926654014023164,-0.024475160177254818,-0.024926654014023164,-0.05676920250078865,0.86,17059.400992838542,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,1,3,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4653.6638459712985,6912.73568861294,2854.153285298351,0.3982098838542544,0.01824060261646676,0.0053643484287684284,0.01824060261646676,0.003894526625768613,0.08,674.11578125,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,2,7,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,6851.724035104162,9138.542418247667,5428.282068744447,0.5862959428370064,-0.4454727892659267,-0.3148947829088695,-0.4454727892659265,-0.740841723227067,0.7,12975.770595703125,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,4,14,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5029.907949504797,7559.387485313099,3189.9421892431274,0.4304047577703466,-0.06113367033922401,-0.08767883449084746,-0.06113367033922379,-0.19118341376067538,0.7733333333333333,14770.096783854167,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,8,26,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4708.37304474021,7241.66272011238,2799.417909153737,0.40289130142299173,0.0066988858546940255,-0.041963159381744,0.0066988858546941366,-0.09315566656310814,0.6733333333333333,11490.331315104168,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,16,51,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4868.271439246903,7390.340973061676,2880.4249535817653,0.4165736650857892,-0.027034051596167563,-0.06335565833701184,-0.02703405159616734,-0.13850351372738823,0.7533333333333333,14727.52470703125,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,32,103,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5434.31695304507,7663.407018962596,3541.2264554202557,0.4650096771756877,-0.14644974660800858,-0.10264563508732194,-0.14644974660800836,-0.22419107170401076,0.9333333333333333,25284.288352864583,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,64,198,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4768.857207697457,7176.209177781361,3053.489156140451,0.4080668775504075,-0.006061145239421251,-0.03254540790727356,-0.006061145239421251,-0.07348406402848506,0.8466666666666667,20535.213177083333,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,3,natural,128,401,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4547.212893634356,7261.245610043408,2387.0740765818628,0.3891009703681706,0.04069800957070868,-0.04478083408588174,0.04069800957070868,-0.0990758792287878,0.8333333333333334,17230.412109375,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,1,3,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,17545.490422400148,18406.2584295466,17554.943376478448,1.5013520388496464,-2.701481386285837,-1.6483756461595616,-2.7014813862858373,-6.062142128141789,0.0,650.9311197916667,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,2,4,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,12977.639316390812,15289.25702494196,13861.252141029545,1.110485074970811,-1.7378254589124595,-1.1998873974153859,-1.7378254589124595,-3.872795507077641,0.35333333333333333,15018.896432291667,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,4,10,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5519.87488854754,7363.117634381515,4271.929517927376,0.47233079375971926,-0.1644994618389446,-0.05943864133740484,-0.1644994618389446,-0.1301312933474621,0.9733333333333334,28335.215403645834,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,8,21,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,5125.469860587121,7214.496389551774,3723.280737757683,0.43858190566338273,-0.08129387256745746,-0.038054344968015075,-0.08129387256745746,-0.08496933513343463,0.9733333333333334,24795.077161458332,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,16,44,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4892.324638677004,6876.884135239953,3270.8887860951945,0.41863187600699175,-0.03210843070029745,0.010522831951828904,-0.03210843070029745,0.014199946557160836,0.9733333333333334,26457.7178515625,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,32,96,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4629.288617866432,7246.383754578183,2718.031381306122,0.3961241172252439,0.023382918444894485,-0.042642443156432286,0.023382918444894485,-0.09458144625439657,0.9533333333333334,21731.473470052082,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,64,192,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4365.419051886201,7230.63078040325,1806.8916981598722,0.3735450327233358,0.07905011630424852,-0.040375834039801495,0.07905011630424841,-0.08982757961360677,0.8266666666666667,17862.291557617187,learned_transform_ensemble,4,dynamic
regression,prefix_attention_confirmation,,roadtraffic_10000,4,natural,128,402,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4674.898646951863,7186.6858864288515,2778.674237678206,0.4000269269222575,0.013760806459233388,-0.03405284409481424,0.013760806459233388,-0.07662075892259734,0.8466666666666667,19536.721028645832,learned_transform_ensemble,4,dynamic
