task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,1,3,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,0.9533333333333334,0.9533333333333334,2.8066666666666666,0.4766666666666667,0.84,0.41641337386018235,0.3191489361702127,0.36066030340122956,0.38456782477325396,0.5714285714285714,0.8666666666666667,0.42857142857142855,1.0,0.9716312056737588,3.9142452582879765,0.2969391703778614,0.08657779182796041,0.11085146777032671,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,1,3,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,9056.563416809713,10392.77559402728,8650.54892632435,0.7749620913097486,-0.9106163523500219,-0.49535952049008114,-0.9106163523500217,-1.2514822252558324,0.02,575.796484375,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,2,6,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,0.9533333333333334,1.9066666666666667,2.8066666666666666,0.5720000000000001,0.8533333333333334,0.4224924012158055,0.3262411347517731,0.366321385697136,0.39059405312071505,0.5714285714285714,0.8666666666666667,0.42857142857142855,1.0,0.9858156028368795,3.8788973371971527,0.28370877239393916,0.09429072819127472,0.1078767429705942,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,2,6,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,8152.566500856836,9552.017993092059,7455.3707957075385,0.6976078777651161,-0.7199047975799477,-0.3743875172356843,-0.7199047975799477,-0.9019350706157281,0.08,3914.1833919270834,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,4,12,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,0.9533333333333334,3.8133333333333335,2.8066666666666666,0.6355555555555554,0.8533333333333334,0.4224924012158055,0.3262411347517731,0.366321385697136,0.39059405312071505,0.5714285714285714,0.8666666666666667,0.42857142857142855,1.0,0.9858156028368795,3.826138447961348,0.2712485070222408,0.01747505806984723,0.1093281900708306,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,4,12,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,7830.377933148503,9265.172802139401,7074.5977019075945,0.670038488059976,-0.6519343414948935,-0.33311493482330534,-0.6519343414948935,-0.7894207545656071,0.21333333333333335,7049.5725390625,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,8,26,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,0.9866666666666667,7.693333333333333,2.8666666666666667,0.6929411764705882,0.8666666666666667,0.44709557581898013,0.3549448384554768,0.44055717525105276,0.43622735289401954,0.42857142857142855,0.9666666666666667,0.5714285714285714,1.0,0.7824172576832152,1.363140551195915,0.2824442467404507,0.1496068762063665,0.07361630700301927,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,8,26,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4431.032215149742,6772.091261416511,2638.5867287278234,0.37915949285351985,0.06520804653769074,0.02560090422748329,0.06520804653769074,0.04401511205619313,0.9733333333333334,22465.26623046875,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,16,52,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,1.0,14.88,2.933333333333333,0.7179779360424522,0.88,0.589952718676123,0.5216115051221435,0.5885822767645263,0.5822099841087184,0.2857142857142857,0.9933333333333333,0.8285714285714285,0.9666666666666667,0.6966115051221434,0.8201400191901397,0.29690831304868376,0.23381366242678941,0.06640391599843723,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,16,52,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4534.329746392269,7020.759724420957,2501.269051476511,0.38799857089610945,0.04341590052532596,-0.010178638035801546,0.04341590052532596,-0.027480629854856442,0.9333333333333333,20638.5380859375,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,32,103,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,1.0,28.686666666666667,2.986666666666667,0.7289603379077062,0.88,0.589952718676123,0.5216115051221435,0.6130720726828937,0.5861060880048221,0.2857142857142857,0.9933333333333333,0.8320162107396151,0.9706855791962176,0.7004985754985755,0.7270862443431085,0.25858811254041586,0.19985204307753543,0.05531954408496487,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,32,103,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4753.813931565676,7299.5295780330935,2919.5839428660693,0.40677963776698184,-0.0028875430630206367,-0.05028930441679269,-0.0028875430630206367,-0.11069589891880294,0.9,20200.88847981771,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,64,203,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,1.0,57.233333333333334,2.986666666666667,0.7366506575454611,0.8933333333333333,0.596031746031746,0.5287037037037037,0.6135293984703516,0.5892037556433062,0.2857142857142857,0.9933333333333333,0.7605876393110436,0.8873522458628842,0.7004985754985755,0.6804180262110173,0.2394430475348975,0.1772597558315299,0.07120674882506438,,,,,,,,,,,,,
regression,raw_hours_knn_ablation,,roadtraffic_10000,0,natural,64,203,,,,50,150,,,,,,,,,,,,,,,,,,,,,,,4879.204313660851,7406.448671031048,3088.6868999822764,0.41750918144336624,-0.029340503577137023,-0.06567330671628802,-0.029340503577137023,-0.1434717975799582,0.7933333333333333,15310.496990559895,raw_hours_knn,1,single
classification,raw_hours_knn_ablation,main,roadtraffic_10000,0,natural,128,406,fm_structured_mix,balanced,1.0,20,150,3,0.5,0.75,0.5,1.0,114.18666666666667,2.986666666666667,0.7427178093704265,0.88,0.589952718676123,0.5216115051221435,0.5416435012543224,0.5384870403857744,0.2857142857142857,0.9933333333333333,0.8380952380952381,0.9777777777777779,0.6934063769170152,0.6615926008386249,0.24442902523173315,0.1544889791590836,0.0845924664250292,,,,,,,,,,,,,
