task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1099.3585624376956,1806.486434767639,890.0183154148745,0.8618679096934986,-0.004770977988377778,0.14895149445830358,-0.004770977988377778,0.17013256756182205,0.09615384615384616,407.7261103116549,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,942.4553726665118,1923.9910200585866,415.6176456408266,0.738859976874495,0.13863243635017464,0.09359425524437026,0.13863243635017475,0.05866242780022268,0.6826923076923077,1227.4805619166448,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,866.0196374283397,1855.737422327795,286.80172180311956,0.6789363908794638,0.2084917261875351,0.12574900671589506,0.2084917261875352,0.12426569353697292,0.7307692307692307,1140.9896879929763,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,867.4838080366317,1846.776945482449,299.9966343337138,0.6800842617422741,0.20715353118519375,0.12997035058065176,0.20715353118519375,0.13270228824712482,0.7548076923076923,1171.4896997305063,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,827.5610544489723,1710.8127841831517,344.1637753270279,0.6487858834338279,0.24364137558540044,0.19402402629833337,0.24364137558540044,0.2557063981526314,0.9086538461538461,3189.7209742619443,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,791.9251140904865,1664.9315766659615,385.3285260211982,0.6208482528225495,0.2762112393850108,0.215638986886164,0.2762112393850109,0.29509256370404335,0.8990384615384616,2879.7404391948994,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,952.4467569242295,1770.647726014797,508.89659400638175,0.7466929567223521,0.12950069964925315,0.16583536302085577,0.12950069964925326,0.20273326525026636,0.9519230769230769,4972.441113398625,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,905.0591378752905,1707.0006826436754,475.1383121901591,0.7095423221882481,0.17281114081302174,0.19581993423082877,0.17281114081302185,0.2590196322990146,0.9230769230769231,3608.7697299076963,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,1,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1189.3911496027235,2298.455323989606,430.61227428550956,0.9324510664136866,-0.08705726177920958,-0.08281852046528893,-0.08705726177920958,-0.34341887279819683,0.11538461538461539,78.48484518894783,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,1,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1170.3240900002206,2284.1403156114634,410.16437343684265,0.9175029981809056,-0.0696307107168439,-0.0760746190151782,-0.0696307107168439,-0.3267370902412723,0.23557692307692307,147.03727159133325,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1692.9733789194006,2649.9377166039867,747.3618588884378,1.3272461570868936,-0.5473118377986337,-0.24840435559898277,-0.5473118377986335,-0.785708825089283,0.9038461538461539,9139.559413029598,learned_transform_ensemble,4,dynamic
regression,budget_aware_regression_calibration_confirmation,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1158.644472464778,1901.29576510845,519.3674671377803,0.9083464882893825,-0.05895599444629851,0.10428614998350005,-0.05895599444629851,0.08073934241016989,0.9855769230769231,7561.349915724534,learned_transform_ensemble,4,dynamic
