task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,regression_confidence_low_support_confirmation,,billing,0,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1099.1645792129734,1806.497860498432,890.1110888523745,0.8617158319982686,-0.004593684863935188,0.14894611171590988,-0.004593684863935188,0.1701220699774727,0.09615384615384616,407.72248928363507,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,942.4553726665118,1923.9910200585866,415.6176456408266,0.738859976874495,0.13863243635017464,0.09359425524437026,0.13863243635017475,0.05866242780022268,0.6826923076923077,1227.4805619166448,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,861.6964605364908,1842.695627666054,288.290093655281,0.6755471350367194,0.21244294176183143,0.1318930882007272,0.21244294176183143,0.13653145265223565,0.7451923076923077,1165.2704544067383,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,868.985134891044,1850.0124806796089,293.35877020935635,0.6812612621150278,0.2057813768187028,0.12844606712013162,0.2057813768187028,0.12966063183822274,0.7548076923076923,1166.590660388653,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,848.126790628609,1699.553970869853,383.7719474924247,0.6649088742923777,0.2248450924069214,0.1993281326896379,0.2248450924069214,0.2654705160785298,0.9086538461538461,3268.218784625714,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,808.2062768943629,1654.7939051005255,412.45736065743176,0.6336122519695082,0.26133088966820406,0.22041491548955072,0.26133088966820406,0.303650709898442,0.9086538461538461,2938.3571161123423,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1003.1516571062148,1794.456383720901,601.4136836948269,0.7864442515448199,0.08315839252091461,0.15461893638749458,0.08315839252091461,0.18114854422144644,0.9519230769230769,5072.28852726863,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,941.1311160214528,1720.5900892443708,497.6995484275594,0.7378217948421979,0.13984275543061475,0.18941786889774048,0.13984275543061486,0.24717480399227987,0.9230769230769231,3696.6153599665713,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,1,3,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1190.248895250154,2299.0367547373307,430.7461758815789,0.9331235162161972,-0.08784120794789452,-0.08309243659297416,-0.08784120794789452,-0.34409863701029364,0.1201923076923077,78.1767294223492,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,2,6,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1170.3240900002206,2284.1403156114634,410.16437343684265,0.9175029981809056,-0.0696307107168439,-0.0760746190151782,-0.0696307107168439,-0.3267370902412723,0.23557692307692307,147.03727159133325,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,2029.215450501046,2903.3829727749617,1201.9017998058607,1.5908510093040775,-0.8546240165975094,-0.36780420402833713,-0.8546240165975092,-1.1436208025515278,0.8990384615384616,9498.2801560622,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1293.805685098539,1976.0663567564904,742.4383490396057,1.0143092885844864,-0.1824880871085739,0.0690611966952579,-0.1824880871085739,0.00701574948996786,0.9855769230769231,7763.033199603741,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,16,61,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,958.1783248495389,1615.9496857089448,465.95618940278246,0.7511863537229623,0.12426226943504692,0.23871470132015438,0.12426226943504703,0.3359588687315389,0.9711538461538461,5593.9394783606895,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,32,126,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,853.8193038060913,1624.9876900403956,419.3221974443859,0.6693716534081381,0.21964235671360222,0.23445683370967885,0.21964235671360233,0.3285101342039636,0.9711538461538461,5420.890857403095,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,822.0120267182627,1713.0310179781611,313.86872377290456,0.6444355930968033,0.24871297115973845,0.192979000706194,0.24871297115973856,0.2537750499795982,0.9375,3365.108447735126,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,1,natural,128,500,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,832.3155704819031,1701.5806932959338,384.39704697197476,0.6525132977051281,0.23929593280859018,0.1983733294546577,0.2392959328085903,0.2637176149821816,0.9086538461538461,3646.6888219393218,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,1,4,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1299.5134602260111,1763.1642947883092,1257.4273426260615,1.018784032663622,-0.1877047716307294,0.16936086027289887,-0.18770477163072918,0.20945812958476462,0.10576923076923077,702.7358292799729,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,2,7,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,937.0664778459621,1802.6293398571495,488.6678353098687,0.7346352264852802,0.14355767667132524,0.15076859908534546,0.14355767667132524,0.17367254465055182,0.7692307692307693,1806.9674582848181,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1006.2579341085577,1920.9262769906338,495.3204210905951,0.7888794901998061,0.08031937612700368,0.09503807732775393,0.0803193761270038,0.0616589699160498,0.8221153846153846,1837.806485396165,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,8,35,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,950.5817025581056,1723.3599650516956,625.6530791556434,0.7452308036424401,0.13120528681806232,0.18811296086134932,0.13120528681806232,0.244748995827472,0.9326923076923077,3234.680279658391,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,16,64,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,892.4387989841651,1714.4821806595603,537.4259773161957,0.6996483117431034,0.18434563982312013,0.192295347727941,0.18434563982312024,0.2525102130154112,0.9182692307692307,2972.3707897479717,learned_transform_ensemble,4,dynamic
regression,regression_confidence_low_support_confirmation,,billing,2,natural,32,127,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,896.0002243894768,1601.4441178660509,552.4067920170378,0.7024403746554976,0.18109063548714366,0.24554837667865026,0.18109063548714366,0.34782688867822953,0.9519230769230769,4208.94619516226,learned_transform_ensemble,4,dynamic
