task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,prefix_attention_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1100.4614872399557,1811.0971002668505,890.8114222783461,0.8627325734404796,-0.00577900837089218,0.14677937740990665,-0.005779008370891958,0.16589104778955077,0.09615384615384616,446.28545144888074,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,865.9032110232349,1850.038508179423,302.0980014950037,0.6788451156706018,0.2085981353946108,0.12843380538132554,0.2085981353946108,0.1296361423633372,0.7548076923076923,1232.3804509089543,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,924.6996228881125,1744.0427662914124,417.5874106915944,0.7249399407103002,0.15486050122302208,0.1783691472645752,0.1548605012230222,0.22651201433839518,0.8894230769230769,3036.1071504446177,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1272.1355012519564,2284.3359427335554,621.0523527650857,0.9973204400934952,-0.1626823817084735,-0.07616678033269242,-0.1626823817084735,-0.3269643590053408,0.8701923076923077,4443.125110516181,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1059.8249414658437,1947.859821550933,566.9021295085458,0.8308746010189632,0.03136121433223327,0.08234949444895046,0.03136121433223327,0.03516130873405232,0.8798076923076923,3937.8729372024536,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,1,natural,1,3,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1189.5933541374843,2300.938335133269,431.12038242454764,0.9326095893975967,-0.08724206886134556,-0.08398828453458274,-0.08724206886134533,-0.34632301957965117,0.09615384615384616,80.87978907731863,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,1,natural,4,13,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,2697.366685054796,3608.1891139186173,1569.4059036799968,2.1146638284875428,-1.4652882642094078,-0.6998433500593844,-1.4652882642094074,-2.310685263390874,0.8846153846153846,9920.12740619366,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,1,natural,16,61,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1223.5366124093125,1846.015223864516,657.0313193187849,0.9592202022171835,-0.1182648870529579,0.1303292030093799,-0.11826488705295768,0.1334175919270577,0.9615384615384616,5281.768704341008,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,1,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,870.477026308219,1809.7283027481158,341.24881987887375,0.6824308653556294,0.20441784607495384,0.14742422757888018,0.20441784607495395,0.16715138310229416,0.875,2631.8690087978657,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,billing,1,natural,128,500,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,893.6584798385466,1801.114416969519,415.0127131908298,0.7006045091334506,0.18323089894897526,0.15148228994663038,0.18323089894897526,0.17506084598762883,0.8701923076923077,2950.9290140592134,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,0,natural,1,2,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.40447356110020405,0.48430580460087386,0.40098236588141845,0.49684391813468803,-0.6231614794728106,-0.5789911309697575,-0.6231614794728106,-1.5103521755037495,0.0,0.0003808761465138402,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,0,natural,4,9,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.25817357665144874,0.3075627172680174,0.23406532566855276,0.3171331422341694,-0.03605635804347562,-0.0027523894399392734,-0.03605635804347562,-0.012424584303960762,0.7586206896551724,0.7511159956455231,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,0,natural,16,39,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.25406009259022727,0.30512563467149423,0.21959642118378042,0.31208025439496756,-0.01954885417489538,0.005193275816999354,-0.01954885417489538,0.003556460765185898,0.5517241379310345,0.5581790922016933,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,0,natural,64,175,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23911144832083805,0.2896872946142087,0.2298058489908179,0.2937177612584508,0.04044039081410744,0.05552718013069746,0.04044039081410744,0.10183898609709241,0.7034482758620689,0.6626896958926628,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,0,natural,128,329,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.24520605027456266,0.31712225586989357,0.20885348942614712,0.30120419845825996,0.015982616374915604,-0.03391952913789331,0.015982616374915493,-0.07633818637290513,0.696551724137931,0.6673149148965704,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,1,natural,1,3,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.26319142019047326,0.32181283326332594,0.23832729815671883,0.3232969197570669,-0.05619307679565222,-0.049212304968777154,-0.05619307679565222,-0.10841404935372867,0.09655172413793103,0.049947036545852135,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,1,natural,4,13,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.26092451454766596,0.32248191496755757,0.22458655499045577,0.3205123167819049,-0.04709593356830344,-0.051393724367098326,-0.04709593356830366,-0.1130278523830417,0.46206896551724136,0.3461286706143412,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,1,natural,16,44,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23215617868813349,0.29498717805496,0.18511435839194235,0.2851741041487095,0.06835204396751648,0.03824787257621465,0.06835204396751637,0.06867431038677241,0.7655172413793103,0.6666233383376022,learned_transform_ensemble,4,dynamic
regression,prefix_attention_screen,,helpdesk,1,natural,64,185,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23503816618936366,0.2792545209773761,0.20896796969077513,0.28871425633623815,0.056786563436243886,0.08954134408966508,0.056786563436243886,0.165366658413017,0.8344827586206897,0.7547623998132246,learned_transform_ensemble,4,dynamic
