task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,learned_temporal_time_transform,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1100.3060609211266,1809.9109780277483,892.5181683602932,0.8626107233352478,-0.005636954759167256,0.14733816796573362,-0.005636954759167256,0.16698323793668446,0.10096153846153846,447.3613237234262,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,2,7,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,929.2271000302169,1922.4283698050274,412.7430118923603,0.7284893625222323,0.1507225631641187,0.09433043080449677,0.1507225631641188,0.0601909006681719,0.6875,1168.1189368321345,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,877.4313614013528,1880.310991877571,277.93899144377974,0.6878828793343417,0.19806185421612577,0.11417222471595057,0.19806185421612588,0.10091928645203219,0.7115384615384616,1159.7709884643555,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,8,28,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,847.7770949547053,1817.877970349567,349.25666852120185,0.6646347221733202,0.2251647006551052,0.14358486166979234,0.2251647006551053,0.159633434508464,0.7259615384615384,1122.105161520151,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,852.9191769965649,1740.2757699046483,347.47837948112283,0.6686659779003535,0.22046503761646974,0.180143805841377,0.22046503761646974,0.2298497532889311,0.8846153846153846,2831.1905834491436,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,32,118,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,798.6472679947007,1690.9571004907568,382.5452094765078,0.6261182429167881,0.2700674521045907,0.20337817898262678,0.2700674521045908,0.27288267730560123,0.8894230769230769,2676.6174719883848,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1135.1563947962338,2173.531712049326,478.59236931129226,0.8899324593323342,-0.0374888047809363,-0.023966125450033404,-0.03748880478093608,-0.20135476101427097,0.875,4176.035003038553,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,932.1327829977472,1867.6728918277502,448.48092683882896,0.7307673407824865,0.14806688191801476,0.12012612282073765,0.14806688191801487,0.11296461959033166,0.8894230769230769,3657.96100631127,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,1,3,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1189.0311986706708,2300.102130283489,431.17010700340506,0.93216887444466,-0.08672828062384896,-0.08359434252979625,-0.08672828062384896,-0.3453446384972616,0.08653846153846154,77.69267133566049,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,2,6,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1168.7612132152303,2285.488258893239,407.41556130201934,0.9162777442975855,-0.06820230210714695,-0.07670964460597807,-0.06820230210714673,-0.32830345113508974,0.2403846153846154,147.70335175440863,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,4,13,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1985.7942171708162,2981.849193663108,757.349712167721,1.5568099158107433,-0.8149386977494568,-0.4047701943270414,-0.8149386977494568,-1.2610525837799331,0.8942307692307693,9012.29166823167,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,8,27,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1194.0523610097507,1977.7631762895476,490.24183359678136,0.9361053323368136,-0.09131742775605378,0.06826181304089463,-0.09131742775605356,0.005309694961390887,0.9807692307692307,7246.46354675293,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,16,61,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1054.2375965606088,1719.5811882974679,633.1259042155016,0.8264942710349646,0.0364678303141408,0.18989316925238264,0.036467830314141025,0.2480574120888025,0.9615384615384616,4927.1898108262285,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,32,126,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,839.8105935153211,1728.4968875683403,339.38370907896206,0.6583891966662394,0.23244577319675785,0.18569292041889984,0.23244577319675785,0.24023984144954802,0.9663461538461539,4289.016816065861,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,856.7291837865957,1846.0382422937575,299.6238644208279,0.671652922015075,0.21698283956083897,0.1303183588649518,0.21698283956083908,0.1333959805232634,0.8461538461538461,2450.2880940070518,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,1,natural,128,500,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,852.7792550041935,1825.9961198463607,334.1667083695702,0.668556282775209,0.22059292087669147,0.13976034416219252,0.22059292087669147,0.15211097742757185,0.8653846153846154,2746.0765335009646,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,2,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1304.0653841245612,1772.4879092416852,1246.5435202744334,1.022352620083206,-0.1918650530744226,0.16496843971878983,-0.1918650530744226,0.20107525138647087,0.12980769230769232,810.8756182743953,learned_transform_ensemble,4,dynamic
regression,learned_temporal_time_transform,,billing,2,natural,2,7,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,904.534841611478,1805.3802743133165,427.96860469958074,0.7091312878447757,0.17329032721111415,0.1494726144531302,0.17329032721111426,0.1711485569106208,0.7932692307692307,1777.8549807621882,learned_transform_ensemble,4,dynamic
