task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,time_transform_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1100.1985701029787,1809.971547450957,892.3055018681898,0.8625264533891959,-0.005538712331113915,0.1473096332830971,-0.005538712331113915,0.16692748249935263,0.09615384615384616,438.38169596745416,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,860.9163418899045,1838.903373522155,325.733414849634,0.6749355427407943,0.21315593987023695,0.13367964588512782,0.21315593987023695,0.14008181950306098,0.7692307692307693,1246.0974561251128,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,950.622930667241,1753.3454021206242,431.8460314081817,0.7452631253848226,0.13116760592944965,0.17398660988832992,0.13116760592944976,0.21823851629867885,0.8894230769230769,3053.0094261169434,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1352.9555964061826,2385.7701587850843,674.9646437114842,1.0606812477969876,-0.23654880602517858,-0.12395315520937444,-0.23654880602517858,-0.4474264885706456,0.875,4509.019900505359,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1114.032391792715,1967.4327168440059,615.3510356128027,0.8733718021136084,-0.018182287433391675,0.0731285653748629,-0.018182287433391675,0.015673697755234972,0.8701923076923077,4010.7611104158254,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,1,natural,1,3,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1189.6968061597433,2300.9848579918626,430.978384133532,0.932690693034958,-0.08733661998700337,-0.08401020178152008,-0.08733661998700337,-0.3463774629584362,0.09615384615384616,82.0330216059318,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,1,natural,4,13,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,3198.1820848677507,4132.955225897663,2245.2260384406304,2.5072897983276308,-1.923014065649392,-0.94706436803295,-1.9230140656493915,-3.343708900354529,0.8605769230769231,10134.523040771484,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,1,natural,16,61,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1338.223050477069,1950.8422904672625,680.7238673705288,1.0491313231425294,-0.22308383191461112,0.08094443229890269,-0.2230838319146109,0.032204417897984894,0.9615384615384616,5384.602362706111,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,1,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,896.8962622274586,1827.893966815735,363.64533043684924,0.7031428445182103,0.18027169174527002,0.13886625506418027,0.18027169174527014,0.1503475565357839,0.8798076923076923,2698.9780720197236,learned_transform_ensemble,4,learned
regression,time_transform_screen,,billing,1,natural,128,500,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,932.1418087654466,1834.501536939255,419.6281939240554,0.7307744167446032,0.14805863271730058,0.13575338215760513,0.1480586327173007,0.1441937146301041,0.875,3009.77699140402,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,0,natural,1,2,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.40447918284587264,0.4843118968107482,0.40099011448523925,0.4968508237285596,-0.623184039664364,-0.5790109935137706,-0.623184039664364,-1.5104153326592384,0.0,0.00040057774247794317,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,0,natural,4,9,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.25949416064279884,0.308880177463968,0.23135094569676085,0.3187553103746619,-0.04135589124247474,-0.007047729171673511,-0.04135589124247496,-0.021116703197437525,0.7586206896551724,0.747646078775669,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,0,natural,16,39,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.25439519654165044,0.30587400209267596,0.22514486788408306,0.3124918866404835,-0.020893633853670046,0.002753359736029637,-0.020893633853670046,-0.0013373945914270102,0.5586206896551724,0.5494166799660387,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,0,natural,64,175,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23879759046236212,0.2912718199692572,0.23037537097292216,0.29333222711446777,0.04169990944499702,0.05036112294399864,0.04169990944499702,0.09198663076084534,0.6827586206896552,0.6556311429574572,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,0,natural,128,329,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.24728823769252925,0.3197278162120706,0.206872529057037,0.30376189877424425,0.007626751530021458,-0.042414485490718024,0.007626751530021458,-0.09409780526111566,0.6758620689655173,0.6645026851316979,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,1,natural,1,3,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.2630758248141073,0.32170794686898,0.2382950401242283,0.32315492565600457,-0.055729189955652014,-0.04887034192629791,-0.055729189955652236,-0.10769165052108587,0.10344827586206896,0.05347002867994637,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,1,natural,4,13,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.26049816501854933,0.3223089741183428,0.22304476164405074,0.31998860104146193,-0.04538498333815477,-0.05082988213250528,-0.04538498333815477,-0.11183438162230952,0.4482758620689655,0.33943869255740067,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,1,natural,16,44,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.2327588328980985,0.2963628221992609,0.1783247327569164,0.2859143875881138,0.06593357909580388,0.033762834646488105,0.06593357909580377,0.059967762174638506,0.7724137931034483,0.6630973407934452,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,1,natural,64,185,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23603285816143849,0.28058243695017976,0.20579193523053263,0.28993610790893054,0.05279484222553976,0.08521191519616234,0.05279484222553965,0.15741005953577258,0.8413793103448276,0.7511655614293855,learned_transform_ensemble,4,learned
regression,time_transform_screen,,helpdesk,1,natural,128,348,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.22897148769764475,0.2725888834504942,0.20692434568719875,0.2812621195298417,0.08113228039563936,0.11127344483514234,0.08113228039563936,0.20473551972798332,0.7862068965517242,0.7189803755488889,learned_transform_ensemble,4,learned
regression,time_transform_screen,,receipt,0,natural,1,4,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,53.01518949506233,152.91626804862688,1.7889364286130887,1.0036266252660884,-0.004154157053035679,0.0023613260857874296,-0.004154157053035679,-0.12872870294815364,0.4344262295081967,1.3480031626207418,learned_transform_ensemble,4,learned
