task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,time_transform_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1100.6828394503673,1810.421056354766,893.2213954228773,0.862906107693463,-0.005981315684024047,0.14709786646688872,-0.005981315684023825,0.16651364172360483,0.09615384615384616,445.04892525306116,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,875.0432052540483,1874.6481144047916,283.5741572509246,0.6860106283536107,0.2002445360723487,0.11684004624924349,0.20024453607234882,0.10632660168350327,0.7259615384615384,1186.5235839256873,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,850.1387438021677,1741.9726739581065,347.00552289139887,0.6664861921351125,0.22300624544021308,0.17934438236885641,0.22300624544021308,0.22834710842260297,0.8894230769230769,2817.307326390193,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1137.0434557781116,2173.995692083964,505.3415187036676,0.8914118650144156,-0.039213505140826665,-0.024184709718080066,-0.039213505140826665,-0.2018677179816213,0.875,4138.381863263937,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,928.6550748060267,1836.6731527359702,441.68833693921033,0.7280409099416916,0.15124537197607635,0.13473031863338714,0.15124537197607646,0.1421663710574178,0.8846153846153846,3674.1243669436526,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,1,3,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1188.8319014442786,2300.321959388185,430.8057576381707,0.9320126307132813,-0.08654613070851247,-0.08369790557207857,-0.08654613070851225,-0.3456018097213125,0.09615384615384616,82.94482435629918,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,4,13,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,2354.859291666598,3409.261499888976,1009.9583233759313,1.846147130405442,-1.1522498249036572,-0.606127147505847,-1.1522498249036572,-1.95569719959465,0.875,9327.089549137996,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,16,61,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1056.7350337745897,1723.2536579263135,646.8999013748908,0.8284521954690379,0.034185269812322394,0.18816304289819363,0.034185269812322505,0.24484216973017914,0.9615384615384616,4952.590363135705,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,854.4042471424467,1837.7232026201682,311.0358401192225,0.6698302334454609,0.21910774124944066,0.1342356327240486,0.21910774124944077,0.14118522142630485,0.8557692307692307,2471.4502608225894,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,128,500,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,851.2311510857077,1820.6814326493325,352.25804086739663,0.6673426104268033,0.2220078276608397,0.14226413079983435,0.22200782766083982,0.15703947315324396,0.8653846153846154,2737.3466865099394,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,0,natural,1,2,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.40445129033851684,0.48428181080006005,0.4009696104874365,0.49681656135896596,-0.6230721064062723,-0.5789129035392304,-0.6230721064062725,-1.5101034425856206,0.0,0.0003347906573065396,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,0,natural,4,9,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.25870216215117936,0.30816287918776636,0.2304352676014645,0.3177824417583236,-0.03817758351847789,-0.004709108396075523,-0.03817758351847789,-0.016379624923289926,0.7655172413793103,0.7485102260934895,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,0,natural,16,39,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.25424727137851294,0.30539201146098066,0.2239000844825938,0.3123101795409044,-0.02030000685368427,0.004324802666152205,-0.02030000685368427,0.0018158971312173255,0.5586206896551724,0.5524365610089795,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,0,natural,64,175,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23869418907705664,0.29103473774982125,0.22986233304891357,0.2932052117682088,0.0421148615251663,0.05113408646878759,0.0421148615251663,0.09346419363151592,0.6827586206896552,0.6573993519462388,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,0,natural,128,329,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.24710484591595105,0.3192960520204701,0.20793450501300015,0.3035366254867123,0.008362706845825296,-0.04100679674792196,0.008362706845825185,-0.09114483546328067,0.6827586206896552,0.6668146361564767,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,1,natural,1,3,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.2630678386138405,0.32169394349707975,0.23834696768147978,0.32314511563277143,-0.055697141154723795,-0.048824686475084755,-0.055697141154723795,-0.10759522094455898,0.10344827586206896,0.05437987590658254,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,1,natural,4,13,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.2607576291755881,0.3226037864759898,0.22379458807532515,0.32030731949625535,-0.04642621882426079,-0.05179106428973457,-0.04642621882426057,-0.1138692764044229,0.4482758620689655,0.34128971027916877,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,1,natural,16,44,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23242215852848383,0.29580415992191816,0.17859486100703847,0.28550082628517015,0.06728466089803065,0.03558425155446543,0.06728466089803065,0.06350845980183506,0.7793103448275862,0.6656444574224538,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,1,natural,64,185,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.23575109015185808,0.2802333371803155,0.2054061739695463,0.2895899920305425,0.05392558357252564,0.08635009160289264,0.05392558357252564,0.15950545059823318,0.8413793103448276,0.7530066996812821,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,helpdesk,1,natural,128,348,,,,20,145,,,,,,,,,,,,,,,,,,,,,,,0.2283531299166536,0.27214445695990364,0.20846200916918178,0.2805025462665584,0.0836137640503608,0.11272241670445304,0.0836137640503608,0.20732659004341603,0.8,0.7208264071365883,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,0,natural,1,4,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,52.99844773627667,152.94204360107634,1.6876314282401506,1.0033096882706516,-0.003837053467419471,0.002193164200245512,-0.003837053467419471,-0.12910925183628885,0.4426229508196721,1.3156066236131994,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,0,natural,4,16,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,52.046044252353326,151.3129972444483,2.0445443699647807,0.9852798084651541,0.014202303303388453,0.012821200495601426,0.014202303303388453,-0.10518417102494237,0.8483606557377049,81.33697932665466,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,0,natural,16,68,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,60.15958576780805,153.83117799731988,6.490258090500414,1.1388766618890307,-0.13947528454952418,-0.0036076238474842537,-0.13947528454952418,-0.142275651885569,0.8975409836065574,252.70236042679332,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,0,natural,64,278,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,70.98389240483317,162.26988550152925,15.956855596507339,1.343790809031231,-0.34449713980098684,-0.05866246576510292,-0.34449713980098684,-0.27103657428225336,0.9508196721311475,383.48059915354264,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,0,natural,128,563,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,63.21308471591552,151.69473726379695,14.283195064786469,1.1966822242897475,-0.19731123103019765,0.010330696303059494,-0.19731123103019743,-0.11076763339722828,0.9385245901639344,302.2052179160757,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,1,natural,1,4,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,216.56810826675596,236.22810205498243,238.4584160889596,4.099834815459232,-3.10198979334836,-0.5411721295765703,-3.10198979334836,-1.6936757067168924,0.06557377049180328,170.08223095878225,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,1,natural,4,16,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,253.79104817333334,278.7969436174199,277.5502721278807,4.804499533566108,-3.8070249012282673,-0.8188948544923365,-3.8070249012282673,-2.7519600456466207,0.29918032786885246,299.58251452836834,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,1,natural,16,68,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,53.89048512035285,147.85757637449106,11.88808582131389,1.0201967819115212,-0.02073302339600458,0.03536465868033434,-0.02073302339600458,-0.05528400227666452,0.9385245901639344,254.07453039825938,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,1,natural,64,286,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,50.74732143431145,147.46055463130196,4.147869738435085,0.9606937829988331,0.038801251812623616,0.037954862132489886,0.038801251812623616,-0.0496243911558909,0.8483606557377049,124.53031619870272,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,receipt,1,natural,128,565,,,,20,244,,,,,,,,,,,,,,,,,,,,,,,52.20908196986179,139.21286278696047,5.8295065380323035,0.9883662634183962,0.011114226030594532,0.09176350171964853,0.011114226030594532,0.06450619244936906,0.8524590163934426,143.09474129950414,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,0,natural,1,3,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,5737.141947079064,6638.89899107518,6059.617675679794,0.6764835020316596,-0.6375735708709269,-0.5301147289739925,-0.6375735708709271,-1.3892811866757673,0.03389830508474576,1289.5402500993114,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,0,natural,4,12,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,3939.814992829236,5066.928204026132,2214.0268191089854,0.4645553253328333,-0.12455591405803434,-0.16781133227913703,-0.12455591405803434,-0.39176093608339047,0.6101694915254238,9468.915560447564,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,0,natural,16,49,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,3353.0309840290947,4465.149716910775,2113.604760568065,0.3953658744057225,0.04293200823575283,-0.029115122568350138,0.04293200823575272,-0.08080461937417649,0.847457627118644,14702.941257282839,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,0,natural,43,131,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,3143.874109583037,4064.783635579893,1955.9318299051956,0.3707035641117786,0.10263242578132437,0.0631601235002407,0.10263242578132437,0.10432591579397965,0.8983050847457628,13076.039385262182,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,1,natural,1,3,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,3427.6796328992646,4470.237936051824,2623.023944164219,0.4041679190257505,0.0216247692623035,-0.030287840975789848,0.0216247692623035,-0.08326926422546399,0.0847457627118644,796.4796080508474,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,1,natural,4,12,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,4287.331036738076,5527.177886226133,2819.851600577531,0.5055319775691146,-0.22374869928247398,-0.27388838190536835,-0.2237486992824742,-0.656082719786701,0.3559322033898305,4728.329647775424,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,roadtraffic100traces,1,natural,16,53,,,,20,59,,,,,,,,,,,,,,,,,,,,,,,3228.4805900298957,4259.584582270779,2177.463522188773,0.38067976632452044,0.07848288624017297,0.01826295031678049,0.07848288624017286,0.016420124640245892,0.8305084745762712,11570.555109573623,learned_transform_ensemble,8,dynamic
