task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,time_transform_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1100.5662681706947,1809.1520452132947,890.273789603496,0.8628147189067882,-0.005874774067226696,0.1476957065694654,-0.005874774067226696,0.16768169351310658,0.10096153846153846,453.6023304279034,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,871.3649864172663,1865.2206331153552,291.83039543050836,0.6831270024934335,0.20360628506322742,0.12128139920267944,0.20360628506322742,0.11529244926720661,0.7307692307692307,1177.5588607788086,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,886.5391220542291,1732.582963904004,377.8065364163758,0.6950231217484977,0.18973771513070958,0.18376794102682203,0.1897377151307097,0.23664352907940533,0.8894230769230769,2919.1599391056943,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1202.6659289680772,2214.123376493261,561.0912211050922,0.9428581408061308,-0.09918989393511946,-0.04308914497434224,-0.09918989393511946,-0.24664542129621125,0.8798076923076923,4307.7091834728535,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1012.1537769449458,1932.5123456403273,524.5303637720481,0.7935016743669187,0.07493080503183003,0.0895797986384409,0.07493080503183014,0.05030562439008546,0.8846153846153846,3847.0862065095166,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,1,3,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1190.5656031383126,2301.311285465147,431.40137683983085,0.9333718067875149,-0.08813066664262292,-0.08416398406737624,-0.0881306666426227,-0.3467594956920095,0.08653846153846154,75.99116342801314,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,4,13,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,2451.160731779155,3407.486083134583,1304.2009152560618,1.9216449013112713,-1.2402655965269092,-0.6052907361459499,-1.2402655965269092,-1.9526195665335675,0.875,9544.650191086988,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,16,61,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,1154.1823221844315,1784.0211560784358,697.4444210430174,0.9048482810017321,-0.054877762598835256,0.15953504575825195,-0.054877762598835256,0.19064451862220788,0.9615384615384616,5102.150017078106,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,64,255,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,850.8323069061767,1808.5718671335383,331.0118265528886,0.6670299271849103,0.2223723557320486,0.14796903255643212,0.2223723557320486,0.16821544125253085,0.8701923076923077,2521.1135004483735,learned_transform_ensemble,8,dynamic
regression,time_transform_screen,,billing,1,natural,128,500,,,,20,208,,,,,,,,,,,,,,,,,,,,,,,875.1998222518464,1806.1038145815655,395.92086247677514,0.6861334119195251,0.2001013942263451,0.14913174952763641,0.2001013942263452,0.17048406802033822,0.875,2864.3210780437175,learned_transform_ensemble,8,dynamic
