epoch,task,pool,log,metric,mean
1,classification,0,o2c,head/classification/accuracy,0.0
1,classification,0,o2c,head/classification/nll,3.150306150317192
1,classification,0,o2c,loss/total,4.762521266937256
1,classification,1,hire2retire,head/classification/accuracy,0.0
1,classification,1,hire2retire,head/classification/nll,2.7415467239916325
1,classification,1,hire2retire,loss/total,4.272879123687744
1,classification,10,req2receipt,head/classification/accuracy,0.296875
1,classification,10,req2receipt,head/classification/nll,3.2292811612132937
1,classification,10,req2receipt,loss/total,4.742031574249268
1,classification,2,di2re,head/classification/accuracy,0.2786885245901639
1,classification,2,di2re,head/classification/nll,2.806103278378971
1,classification,2,di2re,loss/total,4.365793704986572
1,classification,3,mak2stock,head/classification/accuracy,0.203125
1,classification,3,mak2stock,head/classification/nll,3.301727904006839
1,classification,3,mak2stock,loss/total,4.822122573852539
1,classification,4,offer2accept,head/classification/accuracy,0.0
1,classification,4,offer2accept,head/classification/nll,2.6014138581231236
1,classification,4,offer2accept,loss/total,4.0989990234375
1,classification,5,quote2order,head/classification/accuracy,0.6290322580645161
1,classification,5,quote2order,head/classification/nll,1.3542602463294902
1,classification,5,quote2order,loss/total,2.7928755283355713
1,classification,6,opp2quote,head/classification/accuracy,0.1953125
1,classification,6,opp2quote,head/classification/nll,3.4013726441189647
1,classification,6,opp2quote,loss/total,4.9977569580078125
1,classification,7,lead2opp,head/classification/accuracy,0.0078125
1,classification,7,lead2opp,head/classification/nll,2.9363065008074045
1,classification,7,lead2opp,loss/total,4.498015403747559
1,classification,8,p2p,head/classification/accuracy,0.234375
1,classification,8,p2p,head/classification/nll,2.8022876484319568
1,classification,8,p2p,loss/total,4.354544639587402
1,classification,9,rid2mit,head/classification/accuracy,0.2578125
1,classification,9,rid2mit,head/classification/nll,3.2589990440756083
1,classification,9,rid2mit,loss/total,4.863882541656494
1,regression,0,o2c,head/regression/error_p90_hours,109.97671508789062
1,regression,0,o2c,head/regression/mae_hours,56.21815490722656
1,regression,0,o2c,head/regression/relative_mae,7.26235294342041
1,regression,0,o2c,loss/total,3.1701881885528564
1,regression,1,hire2retire,head/regression/error_p90_hours,108.8197021484375
