epoch,phase,task,metric,mean
1,train,classification,head/classification/accuracy,0.262243696963962
1,train,classification,head/classification/nll,2.537224741284443
1,train,classification,head/classification/true_probability_mean,0.12755841402905044
1,train,classification,head/classification/max_probability_mean,0.2102108591424348
1,train,classification,head/classification/entropy_mean,0.8520556921927357
1,train,classification,head/classification/probability_margin_mean,0.09007696270586754
1,train,classification,head/classification/local_class_coverage,0.30294576834492165
1,train,classification,head/classification/gate/mean,0.30294576834492165
1,train,classification,head/classification/prototype_variances/mean,0.0008379345496960277
1,train,classification,head/classification/selector/log_weight/abs_mean,0.0018213931024512247
1,train,classification,head/classification/selector/effective_support/mean,13.999951740577318
1,train,classification,head/classification/selector/attention_entropy_mean,0.943702879758606
1,train,regression,head/regression/mae_hours,977.913342006171
1,train,regression,head/regression/rmse_hours,1344.3323797396758
1,train,regression,head/regression/median_ae_hours,774.8654079437256
1,train,regression,head/regression/bias_hours,-201.7748726446237
1,train,regression,head/regression/relative_mae,19.138261218569173
1,train,regression,head/regression/branch_weight_entropy_mean,0.9999991601972438
1,train,regression,head/regression/branch_0/mae_hours,979.8761957154345
1,train,regression,head/regression/branch_0/weight_mean,0.2504745931990111
1,train,regression,head/regression/branch_1/mae_hours,967.4506439735641
1,train,regression,head/regression/branch_1/weight_mean,0.24991367001142076
1,train,regression,head/regression/branch_2/mae_hours,1015.3557814341873
1,train,regression,head/regression/branch_2/weight_mean,0.24978894851545788
1,train,regression,head/regression/branch_3/mae_hours,1038.8832214697084
1,train,regression,head/regression/branch_3/weight_mean,0.24982279027575877
1,train,regression,head/regression/selector/log_weight/abs_mean,0.0030657203869986238
1,train,regression,head/regression/selector/effective_support/mean,13.999914226247304
1,train,regression,head/regression/selector/attention_entropy_mean,0.9460351533854185
1,validation,classification,head/classification/accuracy,0.1896246724917071
1,validation,classification,head/classification/nll,2.8541992626115245
1,validation,classification,head/classification/true_probability_mean,0.11629025063118399
1,validation,classification,head/classification/max_probability_mean,0.24825298884021374
1,validation,classification,head/classification/entropy_mean,0.8041121244503209
1,validation,classification,head/classification/probability_margin_mean,0.1285635736839022
1,validation,classification,head/classification/local_class_coverage,0.25971275204775385
1,validation,classification,head/classification/gate/mean,0.25971275204775385
1,validation,classification,head/classification/prototype_variances/mean,0.0004154995495084033
1,validation,classification,head/classification/selector/log_weight/abs_mean,0.003780549710617667
1,validation,classification,head/classification/selector/effective_support/mean,13.999837636768898
1,validation,classification,head/classification/selector/attention_entropy_mean,0.7295209314187581
1,validation,regression,head/regression/mae_hours,886.4979089390148
1,validation,regression,head/regression/rmse_hours,1186.1350172216241
1,validation,regression,head/regression/median_ae_hours,738.3968238830566
1,validation,regression,head/regression/bias_hours,-164.53172861446035
1,validation,regression,head/regression/relative_mae,14.515426782044498
1,validation,regression,head/regression/branch_weight_entropy_mean,0.9999977025118741
1,validation,regression,head/regression/branch_0/mae_hours,905.7017579512162
1,validation,regression,head/regression/branch_0/weight_mean,0.2510030919855291
1,validation,regression,head/regression/branch_1/mae_hours,890.7392387390137
1,validation,regression,head/regression/branch_1/weight_mean,0.24991736628792502
1,validation,regression,head/regression/branch_2/mae_hours,891.3354244232178
1,validation,regression,head/regression/branch_2/weight_mean,0.2495296922597018
1,validation,regression,head/regression/branch_3/mae_hours,893.5009075511585
1,validation,regression,head/regression/branch_3/weight_mean,0.2495498521761461
1,validation,regression,head/regression/selector/log_weight/abs_mean,0.006088083906268532
1,validation,regression,head/regression/selector/effective_support/mean,13.999736352400346
1,validation,regression,head/regression/selector/attention_entropy_mean,0.7295653332363475
2,train,classification,head/classification/accuracy,0.2592989616665618
2,train,classification,head/classification/nll,2.4014217789372663
2,train,classification,head/classification/true_probability_mean,0.15258102848570307
2,train,classification,head/classification/max_probability_mean,0.2525317777865578
2,train,classification,head/classification/entropy_mean,0.7869384507775441
2,train,classification,head/classification/probability_margin_mean,0.11427963016785
2,train,classification,head/classification/local_class_coverage,0.31137157127454324
2,train,classification,head/classification/gate/mean,0.31137157127454324
2,train,classification,head/classification/prototype_variances/mean,0.0009367387229195203
2,train,classification,head/classification/selector/log_weight/abs_mean,0.004041465162820643
2,train,classification,head/classification/selector/effective_support/mean,16.999782167818463
2,train,classification,head/classification/selector/attention_entropy_mean,0.9232276216066303
2,train,regression,head/regression/mae_hours,816.5727844612271
2,train,regression,head/regression/rmse_hours,1170.3096791435692
2,train,regression,head/regression/median_ae_hours,594.9418936461406
2,train,regression,head/regression/bias_hours,-194.177749026445
2,train,regression,head/regression/relative_mae,12.310194720240201
2,train,regression,head/regression/branch_weight_entropy_mean,0.9999938525405585
2,train,regression,head/regression/branch_0/mae_hours,822.5383838952756
2,train,regression,head/regression/branch_0/weight_mean,0.25163204120654686
2,train,regression,head/regression/branch_1/mae_hours,809.0449098075917
2,train,regression,head/regression/branch_1/weight_mean,0.2498931830225427
2,train,regression,head/regression/branch_2/mae_hours,848.3379083022572
2,train,regression,head/regression/branch_2/weight_mean,0.24925315545664894
2,train,regression,head/regression/branch_3/mae_hours,872.1453197765974
2,train,regression,head/regression/branch_3/weight_mean,0.24922162196994607
2,train,regression,head/regression/selector/log_weight/abs_mean,0.008132882624730662
2,train,regression,head/regression/selector/effective_support/mean,16.999209173364576
2,train,regression,head/regression/selector/attention_entropy_mean,0.9256293828191321
2,validation,classification,head/classification/accuracy,0.24527028448151533
2,validation,classification,head/classification/nll,2.492703927169867
2,validation,classification,head/classification/true_probability_mean,0.15772476487599188
2,validation,classification,head/classification/max_probability_mean,0.3163813973928407
2,validation,classification,head/classification/entropy_mean,0.7091126770111391
2,validation,classification,head/classification/probability_margin_mean,0.16370533225548048
2,validation,classification,head/classification/local_class_coverage,0.2707635662251819
2,validation,classification,head/classification/gate/mean,0.2707635662251819
2,validation,classification,head/classification/prototype_variances/mean,0.0004942156833218627
2,validation,classification,head/classification/selector/log_weight/abs_mean,0.005088226767275816
2,validation,classification,head/classification/selector/effective_support/mean,16.999684266734224
2,validation,classification,head/classification/selector/attention_entropy_mean,0.7265353763351569
2,validation,regression,head/regression/mae_hours,912.011195269498
2,validation,regression,head/regression/rmse_hours,1206.9282816106622
2,validation,regression,head/regression/median_ae_hours,789.5831010991877
2,validation,regression,head/regression/bias_hours,-160.07476605339482
2,validation,regression,head/regression/relative_mae,20.186787350611255
2,validation,regression,head/regression/branch_weight_entropy_mean,0.9999887401407416
2,validation,regression,head/regression/branch_0/mae_hours,904.654480153864
2,validation,regression,head/regression/branch_0/weight_mean,0.25227270884947345
2,validation,regression,head/regression/branch_1/mae_hours,911.6522241072221
2,validation,regression,head/regression/branch_1/weight_mean,0.24989039247686212
2,validation,regression,head/regression/branch_2/mae_hours,931.2465969432484
2,validation,regression,head/regression/branch_2/weight_mean,0.248948259787126
2,validation,regression,head/regression/branch_3/mae_hours,944.525277224454
2,validation,regression,head/regression/branch_3/weight_mean,0.24888865107839758
