epoch,task,component,gradient_l2
1,classification,classification_separation_weighted,0.835834778455569
1,classification,primary,4.602485366753165
1,classification,routing_weighted,0.14775475848969183
2,classification,classification_separation_weighted,1.2471341469383364
2,classification,primary,5.4580801509582
2,classification,routing_weighted,0.25511773020371453
2,regression,confidence_weighted,0.00817833321122973
2,regression,primary,3.4193340775376564
2,regression,regression/bias_weighted,0.05191320711655228
2,regression,regression/huber_weighted,0.13748589367176606
2,regression,regression/log_rmse_weighted,0.13931910897751804
2,regression,regression/mae_weighted,0.7346273625584243
2,regression,regression/median_ae_weighted,2.754227426192418
2,regression,regression/quantile_weighted,0.0
2,regression,regression/relative_mae_weighted,0.17166684439644825
2,regression,regression/rmse_weighted,0.48746671594880225
2,regression,regression_gate_aux_weighted,0.013023876416541487
2,regression,routing_weighted,0.02832007408041731
3,classification,classification_separation_weighted,1.5489380486134856
3,classification,primary,5.397913183328412
3,classification,routing_weighted,0.4981437888006239
3,regression,confidence_weighted,0.019714158391083262
3,regression,primary,2.805418660126729
3,regression,regression/bias_weighted,0.042261590262004906
3,regression,regression/huber_weighted,0.08405271080672312
3,regression,regression/log_rmse_weighted,0.20248398005078783
3,regression,regression/mae_weighted,0.5198837192252687
3,regression,regression/median_ae_weighted,2.170689964389139
3,regression,regression/quantile_weighted,0.0
3,regression,regression/relative_mae_weighted,0.5233004955812494
3,regression,regression/rmse_weighted,0.3332172128794325
3,regression,regression_gate_aux_weighted,0.013906396108025514
3,regression,routing_weighted,0.06224408710018664
4,classification,classification_separation_weighted,1.9261192928101407
4,classification,primary,4.980930576049952
4,classification,routing_weighted,0.497194915322968
4,regression,confidence_weighted,0.0463394848266393
4,regression,primary,6.351716183150105
4,regression,regression/bias_weighted,0.11707496936104117
4,regression,regression/huber_weighted,0.30127257712866995
4,regression,regression/log_rmse_weighted,0.24135304729707252
4,regression,regression/mae_weighted,1.4403958803958943
4,regression,regression/median_ae_weighted,4.731846719815727
4,regression,regression/quantile_weighted,0.0
4,regression,regression/relative_mae_weighted,1.3047599434465489
4,regression,regression/rmse_weighted,0.8894326100963839
4,regression,regression_gate_aux_weighted,0.020676176212134027
4,regression,routing_weighted,0.1516350936914921
5,classification,classification_separation_weighted,1.265971648213655
5,classification,primary,6.696735761250132
5,classification,routing_weighted,0.3092628179282182
5,regression,confidence_weighted,0.0261010624387074
5,regression,primary,3.152639009280705
