epoch,phase,task,metric,mean
1,train,classification,head/classification/accuracy,0.26329172381127686
1,train,classification,head/classification/nll,2.5369556736497976
1,train,classification,head/classification/true_probability_mean,0.1274501997480327
1,train,classification,head/classification/max_probability_mean,0.20950798971851545
1,train,classification,head/classification/entropy_mean,0.8527582960256995
1,train,classification,head/classification/probability_margin_mean,0.09001704575671576
1,train,classification,head/classification/local_class_coverage,0.3024923495097397
1,train,classification,head/classification/gate/mean,0.3024923495097397
1,train,classification,head/classification/prototype_variances/mean,0.0008120445626602172
1,train,classification,head/classification/selector/log_weight/abs_mean,0.0015569849515179085
1,train,classification,head/classification/selector/effective_support/mean,13.999958039028368
1,train,classification,head/classification/selector/attention_entropy_mean,0.9430063123648141
1,train,regression,head/regression/mae_hours,972.8662765275186
1,train,regression,head/regression/rmse_hours,1343.4857568883185
1,train,regression,head/regression/median_ae_hours,766.4272824828305
1,train,regression,head/regression/bias_hours,-209.9528513871022
1,train,regression,head/regression/relative_mae,18.33784587036318
1,train,regression,head/regression/branch_weight_entropy_mean,0.9999989635908781
1,train,regression,head/regression/branch_0/mae_hours,979.7922435660861
1,train,regression,head/regression/branch_0/weight_mean,0.25053968336155163
1,train,regression,head/regression/branch_1/mae_hours,963.8325141437018
1,train,regression,head/regression/branch_1/weight_mean,0.2498805304961418
1,train,regression,head/regression/branch_2/mae_hours,1008.5953032009637
1,train,regression,head/regression/branch_2/weight_mean,0.24978165395224272
1,train,regression,head/regression/branch_3/mae_hours,1030.2552762173896
1,train,regression,head/regression/branch_3/weight_mean,0.24979813419171235
1,train,regression,head/regression/selector/log_weight/abs_mean,0.0035083628979158837
1,train,regression,head/regression/selector/effective_support/mean,13.999876008104922
1,train,regression,head/regression/selector/attention_entropy_mean,0.9452479041334408
1,validation,classification,head/classification/accuracy,0.19049527366472763
1,validation,classification,head/classification/nll,2.88157913341561
1,validation,classification,head/classification/true_probability_mean,0.11302128502045518
1,validation,classification,head/classification/max_probability_mean,0.2431192961136147
1,validation,classification,head/classification/entropy_mean,0.8104757719928221
