epoch,phase,task,metric,mean
1,train,classification,head/classification/accuracy,0.2652060953065962
1,train,classification,head/classification/nll,2.529821551093522
1,train,classification,head/classification/true_probability_mean,0.12713975755573315
1,train,classification,head/classification/max_probability_mean,0.20835511597752307
1,train,classification,head/classification/entropy_mean,0.8565842681361566
1,train,classification,head/classification/probability_margin_mean,0.08963780446153351
1,train,classification,head/classification/local_class_coverage,0.3027871454569292
1,train,classification,head/classification/gate/mean,0.3027871454569292
1,train,classification,head/classification/prototype_variances/mean,0.0008118105128719612
1,train,classification,head/classification/selector/log_weight/abs_mean,0.034636901378272564
1,train,classification,head/classification/selector/effective_support/mean,13.972390825788711
1,train,classification,head/classification/selector/attention_entropy_mean,0.9467321624727355
1,train,regression,head/regression/mae_hours,973.1167974329707
1,train,regression,head/regression/rmse_hours,1353.915817844334
1,train,regression,head/regression/median_ae_hours,736.8531194871931
1,train,regression,head/regression/bias_hours,-248.81333867249205
1,train,regression,head/regression/relative_mae,18.04266500206136
1,train,regression,head/regression/branch_weight_entropy_mean,0.9999689241843437
1,train,regression,head/regression/branch_0/mae_hours,986.2562781020777
1,train,regression,head/regression/branch_0/weight_mean,0.2530232683491351
1,train,regression,head/regression/branch_1/mae_hours,964.8490894872751
1,train,regression,head/regression/branch_1/weight_mean,0.24945743626623013
1,train,regression,head/regression/branch_2/mae_hours,1004.3212437985549
1,train,regression,head/regression/branch_2/weight_mean,0.24885968185627638
1,train,regression,head/regression/branch_3/mae_hours,1025.8251301494997
1,train,regression,head/regression/branch_3/weight_mean,0.24865961686443927
1,train,regression,head/regression/selector/log_weight/abs_mean,0.04896981847548941
1,train,regression,head/regression/selector/effective_support/mean,13.924315481043573
1,train,regression,head/regression/selector/attention_entropy_mean,0.9422999220107918
1,validation,classification,head/classification/accuracy,0.2025680105523773
1,validation,classification,head/classification/nll,2.8749679004979107
1,validation,classification,head/classification/true_probability_mean,0.10999175690264931
1,validation,classification,head/classification/max_probability_mean,0.2310666225088524
1,validation,classification,head/classification/entropy_mean,0.8267690474099413
1,validation,classification,head/classification/probability_margin_mean,0.11727571496084312
1,validation,classification,head/classification/local_class_coverage,0.25908885580118235
1,validation,classification,head/classification/gate/mean,0.25908885580118235
1,validation,classification,head/classification/prototype_variances/mean,0.00037448237438645303
1,validation,classification,head/classification/selector/log_weight/abs_mean,0.08120678462276044
1,validation,classification,head/classification/selector/effective_support/mean,13.873555402580068
1,validation,classification,head/classification/selector/attention_entropy_mean,0.7417167132861622
1,validation,regression,head/regression/mae_hours,896.5899826396595
1,validation,regression,head/regression/rmse_hours,1209.2025680541992
1,validation,regression,head/regression/median_ae_hours,715.3052154020829
1,validation,regression,head/regression/bias_hours,-277.2768118598244
1,validation,regression,head/regression/relative_mae,10.16322472962466
1,validation,regression,head/regression/branch_weight_entropy_mean,0.9999095038934187
1,validation,regression,head/regression/branch_0/mae_hours,900.521334474737
1,validation,regression,head/regression/branch_0/weight_mean,0.25622795115817676
1,validation,regression,head/regression/branch_1/mae_hours,899.9686559330333
1,validation,regression,head/regression/branch_1/weight_mean,0.2491981712254611
1,validation,regression,head/regression/branch_2/mae_hours,906.8920721574264
1,validation,regression,head/regression/branch_2/weight_mean,0.24756425619125366
1,validation,regression,head/regression/branch_3/mae_hours,911.1413919275457
1,validation,regression,head/regression/branch_3/weight_mean,0.24700961736115543
1,validation,regression,head/regression/selector/log_weight/abs_mean,0.11152310635555875
1,validation,regression,head/regression/selector/effective_support/mean,13.753326155922629
1,validation,regression,head/regression/selector/attention_entropy_mean,0.7221496484496377
2,train,classification,head/classification/accuracy,0.25626217050379135
2,train,classification,head/classification/nll,2.4133985383231185
2,train,classification,head/classification/true_probability_mean,0.1491770417915246
2,train,classification,head/classification/max_probability_mean,0.2484973816755286
2,train,classification,head/classification/entropy_mean,0.7965384626258815
2,train,classification,head/classification/probability_margin_mean,0.11209374586352722
2,train,classification,head/classification/local_class_coverage,0.31319081875596455
2,train,classification,head/classification/gate/mean,0.31319081875596455
2,train,classification,head/classification/prototype_variances/mean,0.0008943468375320229
2,train,classification,head/classification/selector/log_weight/abs_mean,0.09725086751984624
2,train,classification,head/classification/selector/effective_support/mean,16.817603444925766
2,train,classification,head/classification/selector/attention_entropy_mean,0.93228447045314
2,train,regression,head/regression/mae_hours,810.9915426354003
2,train,regression,head/regression/rmse_hours,1205.5558711407232
2,train,regression,head/regression/median_ae_hours,519.8891863978766
2,train,regression,head/regression/bias_hours,-333.30818292985555
2,train,regression,head/regression/relative_mae,10.241684751572953
2,train,regression,head/regression/branch_weight_entropy_mean,0.9997266429701662
2,train,regression,head/regression/branch_0/mae_hours,842.6564842922236
2,train,regression,head/regression/branch_0/weight_mean,0.2606915260841644
2,train,regression,head/regression/branch_1/mae_hours,809.5595835018781
2,train,regression,head/regression/branch_1/weight_mean,0.24895311268716078
2,train,regression,head/regression/branch_2/mae_hours,825.3490032121247
2,train,regression,head/regression/branch_2/weight_mean,0.2459512012067184
2,train,regression,head/regression/branch_3/mae_hours,840.616299841139
2,train,regression,head/regression/branch_3/weight_mean,0.24440415651580089
2,train,regression,head/regression/selector/log_weight/abs_mean,0.18434375687654503
2,train,regression,head/regression/selector/effective_support/mean,16.24638098049787
2,train,regression,head/regression/selector/attention_entropy_mean,0.9113050905707615
2,validation,classification,head/classification/accuracy,0.2307983239988462
2,validation,classification,head/classification/nll,2.466553936691126
2,validation,classification,head/classification/true_probability_mean,0.15552596283451578
2,validation,classification,head/classification/max_probability_mean,0.3136930784819945
