epoch,task,pool,log,metric,mean
1,classification,0,o2c,head/classification/accuracy,0.0
1,classification,0,o2c,head/classification/nll,3.133740782737732
1,classification,0,o2c,loss/total,4.766221523284912
1,classification,1,hire2retire,head/classification/accuracy,0.0
1,classification,1,hire2retire,head/classification/nll,2.8240529419854283
1,classification,1,hire2retire,loss/total,4.403632164001465
1,classification,10,req2receipt,head/classification/accuracy,0.3203125
1,classification,10,req2receipt,head/classification/nll,3.245527953840792
1,classification,10,req2receipt,loss/total,4.809014320373535
1,classification,2,di2re,head/classification/accuracy,0.22950819672131148
1,classification,2,di2re,head/classification/nll,2.8562587421448504
1,classification,2,di2re,loss/total,4.467220783233643
1,classification,3,mak2stock,head/classification/accuracy,0.21875
1,classification,3,mak2stock,head/classification/nll,3.212202927330509
1,classification,3,mak2stock,loss/total,4.777773857116699
1,classification,4,offer2accept,head/classification/accuracy,0.0
1,classification,4,offer2accept,head/classification/nll,2.657179648987949
1,classification,4,offer2accept,loss/total,4.214766979217529
1,classification,5,quote2order,head/classification/accuracy,0.7096774193548387
1,classification,5,quote2order,head/classification/nll,1.3462478547927834
1,classification,5,quote2order,loss/total,2.884307622909546
1,classification,6,opp2quote,head/classification/accuracy,0.1953125
1,classification,6,opp2quote,head/classification/nll,3.262557159177959
1,classification,6,opp2quote,loss/total,4.928294658660889
1,classification,7,lead2opp,head/classification/accuracy,0.0078125
1,classification,7,lead2opp,head/classification/nll,2.9327643467113376
1,classification,7,lead2opp,loss/total,4.551092147827148
1,classification,8,p2p,head/classification/accuracy,0.2734375
1,classification,8,p2p,head/classification/nll,2.72513915610034
1,classification,8,p2p,loss/total,4.348865032196045
1,classification,9,rid2mit,head/classification/accuracy,0.2734375
1,classification,9,rid2mit,head/classification/nll,3.4289753916673362
1,classification,9,rid2mit,loss/total,5.042377948760986
1,regression,0,o2c,head/regression/error_p90_hours,98.05516052246094
1,regression,0,o2c,head/regression/mae_hours,51.64901351928711
1,regression,0,o2c,head/regression/relative_mae,5.380339622497559
1,regression,0,o2c,loss/total,2.970522880554199
1,regression,1,hire2retire,head/regression/error_p90_hours,112.71179962158203
1,regression,1,hire2retire,head/regression/mae_hours,41.32487869262695
1,regression,1,hire2retire,head/regression/relative_mae,3.5747456550598145
1,regression,1,hire2retire,loss/total,1.344438076019287
1,regression,10,req2receipt,head/regression/error_p90_hours,87.709716796875
1,regression,10,req2receipt,head/regression/mae_hours,40.448631286621094
1,regression,10,req2receipt,head/regression/relative_mae,1.6260123252868652
1,regression,10,req2receipt,loss/total,1.3676010370254517
1,regression,2,di2re,head/regression/error_p90_hours,43.28942108154297
1,regression,2,di2re,head/regression/mae_hours,17.48624038696289
1,regression,2,di2re,head/regression/relative_mae,1.4749202728271484
1,regression,2,di2re,loss/total,1.8087514638900757
1,regression,3,mak2stock,head/regression/error_p90_hours,70.6061782836914
