epoch,phase,task,metric,mean
1,train,classification,loss/total,4.092268808060382
1,train,classification,loss/primary,2.5944496159812056
1,train,classification,loss/routing_weighted,0.6927530593182667
1,train,classification,loss/classification_separation_weighted,0.805066148021135
1,train,regression,loss/total,2.299885920624235
1,train,regression,loss/primary,1.3641678597500075
1,train,regression,loss/confidence_weighted,0.17328757103254547
1,train,regression,loss/routing_weighted,0.6931475378684143
1,train,regression,loss/regression_gate_aux_weighted,0.06928295275168632
1,train,regression,loss/regression/mae_weighted,0.42798761011504416
1,train,regression,loss/regression/rmse_weighted,0.3552983203597033
1,train,regression,loss/regression/huber_weighted,0.06606457631256599
1,train,regression,loss/regression/log_rmse_weighted,0.13234196114006327
1,train,regression,loss/regression/relative_mae_weighted,0.28560657746422646
1,train,regression,loss/regression/bias_weighted,0.0069777479621911
1,train,regression,loss/regression/median_ae_weighted,0.08989107461451594
1,train,regression,loss/regression/quantile_weighted,0.0
1,validation,classification,loss/total,4.4254304495724766
1,validation,classification,loss/primary,2.940756776116111
1,validation,classification,loss/routing_weighted,0.6921502243388783
1,validation,classification,loss/classification_separation_weighted,0.7925235737453807
1,validation,regression,loss/total,2.136100487275557
1,validation,regression,loss/primary,1.2003712762485852
1,validation,regression,loss/confidence_weighted,0.1733101172880693
1,validation,regression,loss/routing_weighted,0.693166050043973
1,validation,regression,loss/regression_gate_aux_weighted,0.0692530714652755
1,validation,regression,loss/regression/mae_weighted,0.4022758867252957
1,validation,regression,loss/regression/rmse_weighted,0.30941344458948483
1,validation,regression,loss/regression/huber_weighted,0.0630254599858414
1,validation,regression,loss/regression/log_rmse_weighted,0.11406653916293924
1,validation,regression,loss/regression/relative_mae_weighted,0.221173572269353
1,validation,regression,loss/regression/bias_weighted,0.003879108287616294
1,validation,regression,loss/regression/median_ae_weighted,0.08653727410869165
1,validation,regression,loss/regression/quantile_weighted,0.0
2,train,classification,loss/total,3.9396324368561206
2,train,classification,loss/primary,2.495555882145758
2,train,classification,loss/routing_weighted,0.6920766489846366
2,train,classification,loss/classification_separation_weighted,0.751999941001944
2,train,regression,loss/total,2.4886054805680815
2,train,regression,loss/primary,1.553006886461981
2,train,regression,loss/confidence_weighted,0.1732748416708965
2,train,regression,loss/routing_weighted,0.6931301947512658
2,train,regression,loss/regression_gate_aux_weighted,0.06919356513451906
2,train,regression,loss/regression/mae_weighted,0.5479023829102516
2,train,regression,loss/regression/rmse_weighted,0.4598000477147258
2,train,regression,loss/regression/huber_weighted,0.09513608557689521
2,train,regression,loss/regression/log_rmse_weighted,0.12009867714121451
2,train,regression,loss/regression/relative_mae_weighted,0.2060871730053347
2,train,regression,loss/regression/bias_weighted,0.00854176851368001
2,train,regression,loss/regression/median_ae_weighted,0.11544075630166951
2,train,regression,loss/regression/quantile_weighted,0.0
2,validation,classification,loss/total,4.033893195065585
2,validation,classification,loss/primary,2.6117454225366767
2,validation,classification,loss/routing_weighted,0.6915484991940585
2,validation,classification,loss/classification_separation_weighted,0.73059927333485
2,validation,regression,loss/total,2.155435800552368
