epoch,phase,task,metric,mean
1,train,classification,head/classification/accuracy,0.2626499695628751
1,train,classification,head/classification/nll,2.5406467852067305
1,train,classification,head/classification/true_probability_mean,0.12622112637863842
1,train,classification,head/classification/max_probability_mean,0.20746633981805712
1,train,classification,head/classification/entropy_mean,0.8570785454198336
1,train,classification,head/classification/probability_margin_mean,0.08890257459464355
1,train,classification,head/classification/local_class_coverage,0.3023624320221614
1,train,classification,head/classification/gate/mean,0.3023624320221614
1,train,classification,head/classification/prototype_variances/mean,0.0008003494044554108
1,train,classification,head/classification/selector/log_weight/abs_mean,0.0017709892435883064
1,train,classification,head/classification/selector/effective_support/mean,13.999957196402667
1,train,classification,head/classification/selector/attention_entropy_mean,0.9435624890914338
1,train,regression,head/regression/mae_hours,977.5323180298307
1,train,regression,head/regression/rmse_hours,1349.6630622949174
1,train,regression,head/regression/median_ae_hours,761.2581294899556
1,train,regression,head/regression/bias_hours,-203.39280638054237
1,train,regression,head/regression/relative_mae,18.75150731517308
1,train,regression,head/regression/branch_weight_entropy_mean,0.9999989871658496
1,train,regression,head/regression/branch_0/mae_hours,981.8855929374695
1,train,regression,head/regression/branch_0/weight_mean,0.2505198558097455
1,train,regression,head/regression/branch_1/mae_hours,968.0734040915077
1,train,regression,head/regression/branch_1/weight_mean,0.24987730584037837
1,train,regression,head/regression/branch_2/mae_hours,1014.3192483702702
1,train,regression,head/regression/branch_2/weight_mean,0.24978476651568912
1,train,regression,head/regression/branch_3/mae_hours,1036.9781472576199
1,train,regression,head/regression/branch_3/weight_mean,0.24981807372463283
1,train,regression,head/regression/selector/log_weight/abs_mean,0.003293332578974894
1,train,regression,head/regression/selector/effective_support/mean,13.999894804029323
1,train,regression,head/regression/selector/attention_entropy_mean,0.9456164921397594
1,validation,classification,head/classification/accuracy,0.19614328938512574
1,validation,classification,head/classification/nll,2.8945255250334823
1,validation,classification,head/classification/true_probability_mean,0.10992569080767006
1,validation,classification,head/classification/max_probability_mean,0.23299453296611053
1,validation,classification,head/classification/entropy_mean,0.8250037380364224
1,validation,classification,head/classification/probability_margin_mean,0.1189295925348727
1,validation,classification,head/classification/local_class_coverage,0.2602136475657354
1,validation,classification,head/classification/gate/mean,0.2602136475657354
1,validation,classification,head/classification/prototype_variances/mean,0.00037475681892677623
1,validation,classification,head/classification/selector/log_weight/abs_mean,0.003715407509217798
1,validation,classification,head/classification/selector/effective_support/mean,13.999855817295565
1,validation,classification,head/classification/selector/attention_entropy_mean,0.7339625180480877
1,validation,regression,head/regression/mae_hours,871.3365457708186
1,validation,regression,head/regression/rmse_hours,1167.082397634333
1,validation,regression,head/regression/median_ae_hours,752.7993214780635
1,validation,regression,head/regression/bias_hours,-149.3157246654684
1,validation,regression,head/regression/relative_mae,14.013578696684403
1,validation,regression,head/regression/branch_weight_entropy_mean,0.999997160651467
1,validation,regression,head/regression/branch_0/mae_hours,893.9770937832919
1,validation,regression,head/regression/branch_0/weight_mean,0.2511169504035603
1,validation,regression,head/regression/branch_1/mae_hours,879.1064460060813
1,validation,regression,head/regression/branch_1/weight_mean,0.24982787668704987
1,validation,regression,head/regression/branch_2/mae_hours,875.4199638366699
1,validation,regression,head/regression/branch_2/weight_mean,0.24952415309169076
1,validation,regression,head/regression/branch_3/mae_hours,878.9308000044389
1,validation,regression,head/regression/branch_3/weight_mean,0.24953101710839706
1,validation,regression,head/regression/selector/log_weight/abs_mean,0.0066959734646264805
1,validation,regression,head/regression/selector/effective_support/mean,13.999668381430887
1,validation,regression,head/regression/selector/attention_entropy_mean,0.7327585437081077
2,train,classification,head/classification/accuracy,0.25727469215789345
2,train,classification,head/classification/nll,2.4219777452374642
2,train,classification,head/classification/true_probability_mean,0.14796065737062575
2,train,classification,head/classification/max_probability_mean,0.24605100187085724
2,train,classification,head/classification/entropy_mean,0.7985787543126348
2,train,classification,head/classification/probability_margin_mean,0.11029117356862021
2,train,classification,head/classification/local_class_coverage,0.3144166690488999
2,train,classification,head/classification/gate/mean,0.3144166690488999
2,train,classification,head/classification/prototype_variances/mean,0.0009131257233785037
2,train,classification,head/classification/selector/log_weight/abs_mean,0.004109785876465282
2,train,classification,head/classification/selector/effective_support/mean,16.99980292353737
2,train,classification,head/classification/selector/attention_entropy_mean,0.9249353783407646
2,train,regression,head/regression/mae_hours,815.2010080175462
2,train,regression,head/regression/rmse_hours,1167.6494065453026
2,train,regression,head/regression/median_ae_hours,589.1734773660797
2,train,regression,head/regression/bias_hours,-196.20039609912175
2,train,regression,head/regression/relative_mae,12.539262539031458
2,train,regression,head/regression/branch_weight_entropy_mean,0.9999921080333735
2,train,regression,head/regression/branch_0/mae_hours,821.5413356107824
2,train,regression,head/regression/branch_0/weight_mean,0.25186386743402167
2,train,regression,head/regression/branch_1/mae_hours,806.8445993685255
2,train,regression,head/regression/branch_1/weight_mean,0.24975134714756136
2,train,regression,head/regression/branch_2/mae_hours,848.3357402888778
2,train,regression,head/regression/branch_2/weight_mean,0.24922477731517717
2,train,regression,head/regression/branch_3/mae_hours,871.3695213903788
2,train,regression,head/regression/branch_3/weight_mean,0.2491600082980262
2,train,regression,head/regression/selector/log_weight/abs_mean,0.008742246603337573
2,train,regression,head/regression/selector/effective_support/mean,16.999049217872372
2,train,regression,head/regression/selector/attention_entropy_mean,0.9264790785858055
2,validation,classification,head/classification/accuracy,0.22858801860487477
2,validation,classification,head/classification/nll,2.492800999061472
2,validation,classification,head/classification/true_probability_mean,0.15503461976919936
2,validation,classification,head/classification/max_probability_mean,0.31242539624277443
2,validation,classification,head/classification/entropy_mean,0.7128580619122591
2,validation,classification,head/classification/probability_margin_mean,0.16036111954260182
2,validation,classification,head/classification/local_class_coverage,0.27291521102346256
2,validation,classification,head/classification/gate/mean,0.27291521102346256
2,validation,classification,head/classification/prototype_variances/mean,0.0004974431892443829
2,validation,classification,head/classification/selector/log_weight/abs_mean,0.0054282085759481576
2,validation,classification,head/classification/selector/effective_support/mean,16.999705388195
2,validation,classification,head/classification/selector/attention_entropy_mean,0.7302027934376802
2,validation,regression,head/regression/mae_hours,880.9056658311324
2,validation,regression,head/regression/rmse_hours,1172.90031190352
2,validation,regression,head/regression/median_ae_hours,744.0605215592818
2,validation,regression,head/regression/bias_hours,-149.75541112639687
