epoch,phase,task,metric,mean
1,train,classification,head/classification/accuracy,0.26383240359867866
1,train,classification,head/classification/episode_accuracy,0.2638324053890734
1,train,classification,head/classification/episode_balanced_accuracy,0.14918845171580114
1,train,classification,head/classification/episode_macro_f1,0.10362209539007709
1,train,classification,head/classification/nll,2.526510552621001
1,train,classification,head/classification/true_probability_mean,0.12842507747202084
1,train,classification,head/classification/max_probability_mean,0.21188502161691788
1,train,classification,head/classification/entropy_mean,0.8531239709235549
1,train,classification,head/classification/probability_margin_mean,0.09227691504338707
1,train,classification,head/classification/local_class_coverage,0.299264945022103
1,train,classification,head/classification/gate/mean,0.299264945022103
1,train,classification,head/classification/prototype_variances/mean,0.0007832855140611205
1,train,classification,head/classification/selector/log_weight/abs_mean,0.04147401669846877
1,train,classification,head/classification/selector/effective_support/mean,13.96768421759081
1,train,classification,head/classification/selector/attention_entropy_mean,0.9378003035377339
1,train,regression,head/regression/mae_hours,973.0480919595975
1,train,regression,head/regression/rmse_hours,1351.8070374389192
1,train,regression,head/regression/median_ae_hours,742.815117195471
1,train,regression,head/regression/bias_hours,-226.4099301989399
1,train,regression,head/regression/relative_mae,17.43984502687383
1,train,regression,head/regression/r2,0.32810592251037485
1,train,regression,head/regression/branch_weight_entropy_mean,0.9999693400824248
1,train,regression,head/regression/branch_0/mae_hours,982.1014484576325
1,train,regression,head/regression/branch_0/weight_mean,0.2530236198608555
1,train,regression,head/regression/branch_1/mae_hours,964.5216969233841
1,train,regression,head/regression/branch_1/weight_mean,0.24917167291712405
1,train,regression,head/regression/branch_2/mae_hours,1005.2895947783741
1,train,regression,head/regression/branch_2/weight_mean,0.24897272907086274
1,train,regression,head/regression/branch_3/mae_hours,1027.272277348077
1,train,regression,head/regression/branch_3/weight_mean,0.24883197648311728
1,train,regression,head/regression/selector/log_weight/abs_mean,0.03288521169017611
1,train,regression,head/regression/selector/effective_support/mean,13.97871012474174
1,train,regression,head/regression/selector/attention_entropy_mean,0.9386229844235662
1,validation,classification,head/classification/accuracy,0.20614318422191244
1,validation,classification,head/classification/episode_accuracy,0.20614318278702823
1,validation,classification,head/classification/episode_balanced_accuracy,0.19563836672089316
1,validation,classification,head/classification/episode_macro_f1,0.1618407284417613
1,validation,classification,head/classification/nll,2.8395734677814057
1,validation,classification,head/classification/true_probability_mean,0.12005336580297034
1,validation,classification,head/classification/max_probability_mean,0.2518839476592331
1,validation,classification,head/classification/entropy_mean,0.8032333723245764
1,validation,classification,head/classification/probability_margin_mean,0.13182499888985189
1,validation,classification,head/classification/local_class_coverage,0.2587805317498747
1,validation,classification,head/classification/gate/mean,0.2587805317498747
1,validation,classification,head/classification/prototype_variances/mean,0.0004087280581738066
1,validation,classification,head/classification/selector/log_weight/abs_mean,0.09508001671163341
1,validation,classification,head/classification/selector/effective_support/mean,13.853191923845644
1,validation,classification,head/classification/selector/attention_entropy_mean,0.7201931789229579
1,validation,regression,head/regression/mae_hours,889.0076093673706
1,validation,regression,head/regression/rmse_hours,1195.5236833745782
1,validation,regression,head/regression/median_ae_hours,713.2437376542525
1,validation,regression,head/regression/bias_hours,-183.9301129579544
1,validation,regression,head/regression/relative_mae,14.238689596002752
1,validation,regression,head/regression/r2,0.3269262909889221
1,validation,regression,head/regression/branch_weight_entropy_mean,0.9999057217077776
1,validation,regression,head/regression/branch_0/mae_hours,890.3448038101196
1,validation,regression,head/regression/branch_0/weight_mean,0.2564779926430095
1,validation,regression,head/regression/branch_1/mae_hours,892.5156813534824
1,validation,regression,head/regression/branch_1/weight_mean,0.2485984739932147
1,validation,regression,head/regression/branch_2/mae_hours,904.4280274131081
1,validation,regression,head/regression/branch_2/weight_mean,0.2477078600363298
1,validation,regression,head/regression/branch_3/mae_hours,911.4342554265803
1,validation,regression,head/regression/branch_3/weight_mean,0.24721567197279495
1,validation,regression,head/regression/selector/log_weight/abs_mean,0.06324648755517873
1,validation,regression,head/regression/selector/effective_support/mean,13.931913289156826
1,validation,regression,head/regression/selector/attention_entropy_mean,0.7192716165022417
2,train,classification,head/classification/accuracy,0.2654937703090596
2,train,classification,head/classification/episode_accuracy,0.2654937696801562
2,train,classification,head/classification/episode_balanced_accuracy,0.16065823200608598
2,train,classification,head/classification/episode_macro_f1,0.12410198440331788
2,train,classification,head/classification/nll,2.3846640706867213
2,train,classification,head/classification/true_probability_mean,0.15923869110094602
2,train,classification,head/classification/max_probability_mean,0.268638309739892
2,train,classification,head/classification/entropy_mean,0.7768753459457814
