epoch,phase,task,metric,mean
1,train,classification,loss/total,2.3893356395055014
1,train,classification,loss/primary,0.899623158107321
1,train,classification,loss/routing_weighted,0.6909458665962679
1,train,classification,loss/classification_separation_weighted,0.7987666104931429
1,train,classification,loss/classification/accuracy_surrogate_weighted,0.0
1,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.899623158107321
1,train,classification,loss/classification/macro_f1_surrogate_weighted,0.0
1,train,classification,loss/classification/nll_surrogate_weighted,0.0
1,train,classification,loss/classification/brier_surrogate_weighted,0.0
1,train,regression,loss/total,2.0214938067678196
1,train,regression,loss/primary,1.0859181429467983
1,train,regression,loss/confidence_weighted,0.17329147502557554
1,train,regression,loss/routing_weighted,0.6931433851149544
1,train,regression,loss/regression_gate_aux_weighted,0.06914080462571401
1,train,regression,loss/regression/mae_weighted,0.12145156574560635
1,train,regression,loss/regression/rmse_weighted,0.18836513514727798
1,train,regression,loss/regression/huber_weighted,0.10560920530123942
1,train,regression,loss/regression/log_rmse_weighted,0.1295778204534036
1,train,regression,loss/regression/relative_mae_weighted,0.30848783379726447
1,train,regression,loss/regression/bias_weighted,0.02071132192061519
1,train,regression,loss/regression/median_ae_weighted,0.006545212991195105
1,train,regression,loss/regression/quantile_weighted,0.12145156524519422
1,train,regression,loss/regression/r2_weighted,0.08371847787343745
1,validation,classification,loss/total,2.34893553907221
1,validation,classification,loss/primary,0.8813155185092579
1,validation,classification,loss/routing_weighted,0.6876058415933088
1,validation,classification,loss/classification_separation_weighted,0.7800141789696433
1,validation,classification,loss/classification/accuracy_surrogate_weighted,0.0
1,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.8813155185092579
1,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.0
1,validation,classification,loss/classification/nll_surrogate_weighted,0.0
1,validation,classification,loss/classification/brier_surrogate_weighted,0.0
1,validation,regression,loss/total,1.897994648326527
1,validation,regression,loss/primary,0.9624293663284995
1,validation,regression,loss/confidence_weighted,0.17338798398321326
1,validation,regression,loss/routing_weighted,0.6932060447606173
1,validation,regression,loss/regression_gate_aux_weighted,0.0689712491902438
1,validation,regression,loss/regression/mae_weighted,0.1146147454326803
1,validation,regression,loss/regression/rmse_weighted,0.16414288939400154
1,validation,regression,loss/regression/huber_weighted,0.10110231074081226
1,validation,regression,loss/regression/log_rmse_weighted,0.11193474212830717
1,validation,regression,loss/regression/relative_mae_weighted,0.25186362405392254
1,validation,regression,loss/regression/bias_weighted,0.014858548807255416
1,validation,regression,loss/regression/median_ae_weighted,0.006360940603454682
1,validation,regression,loss/regression/quantile_weighted,0.1146147454326803
1,validation,regression,loss/regression/r2_weighted,0.0829368531703949
2,train,classification,loss/total,2.3080218689782277
2,train,classification,loss/primary,0.8783752727670734
2,train,classification,loss/routing_weighted,0.6875547620714927
2,train,classification,loss/classification_separation_weighted,0.7420918269425022
2,train,classification,loss/classification/accuracy_surrogate_weighted,0.0
2,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.8783752727670734
2,train,classification,loss/classification/macro_f1_surrogate_weighted,0.0
2,train,classification,loss/classification/nll_surrogate_weighted,0.0
2,train,classification,loss/classification/brier_surrogate_weighted,0.0
2,train,regression,loss/total,2.063691418934492
2,train,regression,loss/primary,1.128936279248568
2,train,regression,loss/confidence_weighted,0.17317548228634727
2,train,regression,loss/routing_weighted,0.6929556871551315
2,train,regression,loss/regression_gate_aux_weighted,0.06862396216080859
2,train,regression,loss/regression/mae_weighted,0.15462231797963574
2,train,regression,loss/regression/rmse_weighted,0.24490243999981412
2,train,regression,loss/regression/huber_weighted,0.15184896585403704
2,train,regression,loss/regression/log_rmse_weighted,0.11483230205630165
2,train,regression,loss/regression/relative_mae_weighted,0.18929556090068195
2,train,regression,loss/regression/bias_weighted,0.03024839349182359
2,train,regression,loss/regression/median_ae_weighted,0.008209227018965275
2,train,regression,loss/regression/quantile_weighted,0.15462231895356787
2,train,regression,loss/regression/r2_weighted,0.0803547708768081
2,validation,classification,loss/total,2.2274542071602563
2,validation,classification,loss/primary,0.8346966938538984
2,validation,classification,loss/routing_weighted,0.6846226995641534
2,validation,classification,loss/classification_separation_weighted,0.7081347866491838
2,validation,classification,loss/classification/accuracy_surrogate_weighted,0.0
2,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.8346966938538984
2,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.0
2,validation,classification,loss/classification/nll_surrogate_weighted,0.0
2,validation,classification,loss/classification/brier_surrogate_weighted,0.0
2,validation,regression,loss/total,1.9029573202133179
2,validation,regression,loss/primary,0.968830103223974
2,validation,regression,loss/confidence_weighted,0.17310986329208722
2,validation,regression,loss/routing_weighted,0.6925431164828214
2,validation,regression,loss/regression_gate_aux_weighted,0.06847424669699236
2,validation,regression,loss/regression/mae_weighted,0.11183255809274587
2,validation,regression,loss/regression/rmse_weighted,0.16254528747363525
2,validation,regression,loss/regression/huber_weighted,0.09951327326284214
2,validation,regression,loss/regression/log_rmse_weighted,0.10582049902189862
2,validation,regression,loss/regression/relative_mae_weighted,0.2735567281699993
2,validation,regression,loss/regression/bias_weighted,0.016793407626788725
2,validation,regression,loss/regression/median_ae_weighted,0.006174952564337714
2,validation,regression,loss/regression/quantile_weighted,0.11183255944739688
2,validation,regression,loss/regression/r2_weighted,0.08076080442829565
3,train,classification,loss/total,2.2223816340969456
3,train,classification,loss/primary,0.8465354281087075
3,train,classification,loss/routing_weighted,0.6846814517051943
3,train,classification,loss/classification_separation_weighted,0.6911647602435081
3,train,classification,loss/classification/accuracy_surrogate_weighted,0.0
3,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.8465354281087075
3,train,classification,loss/classification/macro_f1_surrogate_weighted,0.0
3,train,classification,loss/classification/nll_surrogate_weighted,0.0
3,train,classification,loss/classification/brier_surrogate_weighted,0.0
3,train,regression,loss/total,1.8905772603791335
3,train,regression,loss/primary,0.957032683183407
3,train,regression,loss/confidence_weighted,0.1731062121432403
3,train,regression,loss/routing_weighted,0.6927429819929188
3,train,regression,loss/regression_gate_aux_weighted,0.06769537257737127
3,train,regression,loss/regression/mae_weighted,0.1290127656840045
3,train,regression,loss/regression/rmse_weighted,0.2073892385024449
3,train,regression,loss/regression/huber_weighted,0.1194971460078297
3,train,regression,loss/regression/log_rmse_weighted,0.10982318492285137
3,train,regression,loss/regression/relative_mae_weighted,0.14746832295224585
3,train,regression,loss/regression/bias_weighted,0.029424804648191763
3,train,regression,loss/regression/median_ae_weighted,0.006356241143758184
3,train,regression,loss/regression/quantile_weighted,0.12901276451503407
3,train,regression,loss/regression/r2_weighted,0.07904820853266223
3,validation,classification,loss/total,2.163056980479847
3,validation,classification,loss/primary,0.816559222611514
3,validation,classification,loss/routing_weighted,0.6809719096530568
3,validation,classification,loss/classification_separation_weighted,0.665525886145505
3,validation,classification,loss/classification/accuracy_surrogate_weighted,0.0
3,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.816559222611514
3,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.0
3,validation,classification,loss/classification/nll_surrogate_weighted,0.0
3,validation,classification,loss/classification/brier_surrogate_weighted,0.0
3,validation,regression,loss/total,1.8522158644416116
3,validation,regression,loss/primary,0.9203780862418088
