epoch,phase,task,metric,mean
1,train,classification,loss/total,2.267995835068714
1,train,classification,loss/primary,0.7796373042356537
1,train,classification,loss/routing_weighted,0.6909821245325617
1,train,classification,loss/classification_separation_weighted,0.7973764000168766
1,train,classification,loss/classification/accuracy_surrogate_weighted,0.20845538557293902
1,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.21528819396373738
1,train,classification,loss/classification/macro_f1_surrogate_weighted,0.22003336924027248
1,train,classification,loss/classification/nll_surrogate_weighted,0.034232622382780874
1,train,classification,loss/classification/brier_surrogate_weighted,0.10162773293005414
1,train,regression,loss/total,2.0205041321355903
1,train,regression,loss/primary,1.0849283179685252
1,train,regression,loss/confidence_weighted,0.17329237165290917
1,train,regression,loss/routing_weighted,0.6931443641434855
1,train,regression,loss/regression_gate_aux_weighted,0.06913908287437993
1,train,regression,loss/regression/mae_weighted,0.12145465242662537
1,train,regression,loss/regression/rmse_weighted,0.1882464699447155
1,train,regression,loss/regression/huber_weighted,0.10559883403049698
1,train,regression,loss/regression/log_rmse_weighted,0.12969669327139854
1,train,regression,loss/regression/relative_mae_weighted,0.3075733264810892
1,train,regression,loss/regression/bias_weighted,0.02061055805846882
1,train,regression,loss/regression/median_ae_weighted,0.006598082722039588
1,train,regression,loss/regression/quantile_weighted,0.12145465303824018
1,train,regression,loss/regression/r2_weighted,0.08369505633391551
1,validation,classification,loss/total,2.244794563813643
1,validation,classification,loss/primary,0.7776203751564026
1,validation,classification,loss/routing_weighted,0.6878298683599993
1,validation,classification,loss/classification_separation_weighted,0.7793443148786371
1,validation,classification,loss/classification/accuracy_surrogate_weighted,0.2108725688674233
1,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.2112086063081568
1,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.21366705271330746
1,validation,classification,loss/classification/nll_surrogate_weighted,0.03650147044523196
1,validation,classification,loss/classification/brier_surrogate_weighted,0.10537067597562616
1,validation,regression,loss/total,1.8779413049871272
1,validation,regression,loss/primary,0.9423389814116738
1,validation,regression,loss/confidence_weighted,0.17340395802801306
1,validation,regression,loss/routing_weighted,0.6932283585721796
1,validation,regression,loss/regression_gate_aux_weighted,0.06897003948688507
1,validation,regression,loss/regression/mae_weighted,0.11463296210223978
1,validation,regression,loss/regression/rmse_weighted,0.16420178521763196
1,validation,regression,loss/regression/huber_weighted,0.10108654886822808
1,validation,regression,loss/regression/log_rmse_weighted,0.11173724179918115
1,validation,regression,loss/regression/relative_mae_weighted,0.2311958200721578
1,validation,regression,loss/regression/bias_weighted,0.015612619696184993
1,validation,regression,loss/regression/median_ae_weighted,0.006338425097055733
1,validation,regression,loss/regression/quantile_weighted,0.11463296515020457
1,validation,regression,loss/regression/r2_weighted,0.08290063352747397
2,train,classification,loss/total,2.1856918991828453
2,train,classification,loss/primary,0.7577207757502186
2,train,classification,loss/routing_weighted,0.687543193904721
2,train,classification,loss/classification_separation_weighted,0.7404279294265371
2,train,classification,loss/classification/accuracy_surrogate_weighted,0.20139922865596757
2,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.21062068286396207
2,train,classification,loss/classification/macro_f1_surrogate_weighted,0.21428849451801404
2,train,classification,loss/classification/nll_surrogate_weighted,0.03231545538343743
2,train,classification,loss/classification/brier_surrogate_weighted,0.09909691313142274
2,train,regression,loss/total,2.068342365470587
2,train,regression,loss/primary,1.1335916887311375
2,train,regression,loss/confidence_weighted,0.173173430308797
2,train,regression,loss/routing_weighted,0.6929512343375511
2,train,regression,loss/regression_gate_aux_weighted,0.06862601009654064
2,train,regression,loss/regression/mae_weighted,0.15457623131767986
2,train,regression,loss/regression/rmse_weighted,0.2451402640907593
2,train,regression,loss/regression/huber_weighted,0.1517839414292788
2,train,regression,loss/regression/log_rmse_weighted,0.11469907320889772
2,train,regression,loss/regression/relative_mae_weighted,0.19329947537553857
2,train,regression,loss/regression/bias_weighted,0.030812532782518103
2,train,regression,loss/regression/median_ae_weighted,0.008278393637072416
2,train,regression,loss/regression/quantile_weighted,0.1545762324620501
2,train,regression,loss/regression/r2_weighted,0.08042554084966386
2,validation,classification,loss/total,2.131027405912226
2,validation,classification,loss/primary,0.7390591177073392
2,validation,classification,loss/routing_weighted,0.6846496571194042
2,validation,classification,loss/classification_separation_weighted,0.7073186527598988
2,validation,classification,loss/classification/accuracy_surrogate_weighted,0.19952470470558514
2,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.20027881996198135
2,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.20393441211093555
2,validation,classification,loss/classification/nll_surrogate_weighted,0.03281879662112756
2,validation,classification,loss/classification/brier_surrogate_weighted,0.10250239751555702
2,validation,regression,loss/total,1.913337848403237
2,validation,regression,loss/primary,0.9791789813475176
2,validation,regression,loss/confidence_weighted,0.1731334545395591
2,validation,regression,loss/routing_weighted,0.6925692829218778
2,validation,regression,loss/regression_gate_aux_weighted,0.06845609437335622
2,validation,regression,loss/regression/mae_weighted,0.11186240799725056
2,validation,regression,loss/regression/rmse_weighted,0.16276497055183758
2,validation,regression,loss/regression/huber_weighted,0.09948161701587113
2,validation,regression,loss/regression/log_rmse_weighted,0.10625484992157329
2,validation,regression,loss/regression/relative_mae_weighted,0.28257835537872533
2,validation,regression,loss/regression/bias_weighted,0.017084185838360678
2,validation,regression,loss/regression/median_ae_weighted,0.00618777629411356
2,validation,regression,loss/regression/quantile_weighted,0.11186240833591331
2,validation,regression,loss/regression/r2_weighted,0.08110242032191971
3,train,classification,loss/total,2.1111220144456433
3,train,classification,loss/primary,0.7367986538717823
3,train,classification,loss/routing_weighted,0.6845678794768548
3,train,classification,loss/classification_separation_weighted,0.6897554787897294
3,train,classification,loss/classification/accuracy_surrogate_weighted,0.19590917604584848
3,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.20386991899821066
3,train,classification,loss/classification/macro_f1_surrogate_weighted,0.20821141004562377
3,train,classification,loss/classification/nll_surrogate_weighted,0.031121289645952562
3,train,classification,loss/classification/brier_surrogate_weighted,0.09768686280135186
3,train,regression,loss/total,1.8879870932677696
3,train,regression,loss/primary,0.9544304806610634
3,train,regression,loss/confidence_weighted,0.1731094706675102
3,train,regression,loss/routing_weighted,0.6927461139087019
3,train,regression,loss/regression_gate_aux_weighted,0.06770103291190904
3,train,regression,loss/regression/mae_weighted,0.12899835987080788
3,train,regression,loss/regression/rmse_weighted,0.20739293578883697
3,train,regression,loss/regression/huber_weighted,0.11950965886614447
3,train,regression,loss/regression/log_rmse_weighted,0.109733655278025
3,train,regression,loss/regression/relative_mae_weighted,0.14480258283558592
