epoch,task,pool,log,metric,mean
1,classification,0,o2c,head/classification/accuracy,0.0
1,classification,0,o2c,head/classification/episode_balanced_accuracy,0.0
1,classification,0,o2c,head/classification/episode_macro_f1,0.0
1,classification,0,o2c,head/classification/nll,3.1357344686985016
1,classification,0,o2c,loss/total,2.3970930576324463
1,classification,1,hire2retire,head/classification/accuracy,0.0
1,classification,1,hire2retire,head/classification/episode_balanced_accuracy,0.0
1,classification,1,hire2retire,head/classification/episode_macro_f1,0.0
1,classification,1,hire2retire,head/classification/nll,2.7183792665600777
1,classification,1,hire2retire,loss/total,2.2457518577575684
1,classification,10,req2receipt,head/classification/accuracy,0.3359375
1,classification,10,req2receipt,head/classification/episode_balanced_accuracy,0.3359375
1,classification,10,req2receipt,head/classification/episode_macro_f1,0.30968838930130005
1,classification,10,req2receipt,head/classification/nll,3.103192556882277
1,classification,10,req2receipt,loss/total,2.1977198123931885
1,classification,2,di2re,head/classification/accuracy,0.27049180327868855
1,classification,2,di2re,head/classification/episode_balanced_accuracy,0.19495701789855957
1,classification,2,di2re,head/classification/episode_macro_f1,0.14159291982650757
1,classification,2,di2re,head/classification/nll,2.8640957745860836
1,classification,2,di2re,loss/total,2.2815122604370117
1,classification,3,mak2stock,head/classification/accuracy,0.25
1,classification,3,mak2stock,head/classification/episode_balanced_accuracy,0.24833333492279053
1,classification,3,mak2stock,head/classification/episode_macro_f1,0.23312412202358246
1,classification,3,mak2stock,head/classification/nll,3.2036052300827578
1,classification,3,mak2stock,loss/total,2.2602500915527344
1,classification,4,offer2accept,head/classification/accuracy,0.0
1,classification,4,offer2accept,head/classification/episode_balanced_accuracy,0.0
1,classification,4,offer2accept,head/classification/episode_macro_f1,0.0
1,classification,4,offer2accept,head/classification/nll,2.6970073552802205
1,classification,4,offer2accept,loss/total,2.2441415786743164
1,classification,5,quote2order,head/classification/accuracy,0.7096774193548387
1,classification,5,quote2order,head/classification/episode_balanced_accuracy,0.6671357154846191
1,classification,5,quote2order,head/classification/episode_macro_f1,0.47867828607559204
1,classification,5,quote2order,head/classification/nll,1.2570954262609444
1,classification,5,quote2order,loss/total,1.8166990280151367
1,classification,6,opp2quote,head/classification/accuracy,0.1875
1,classification,6,opp2quote,head/classification/episode_balanced_accuracy,0.1875
1,classification,6,opp2quote,head/classification/episode_macro_f1,0.1660533994436264
1,classification,6,opp2quote,head/classification/nll,3.172365304082632
1,classification,6,opp2quote,loss/total,2.3385367393493652
1,classification,7,lead2opp,head/classification/accuracy,0.0078125
1,classification,7,lead2opp,head/classification/episode_balanced_accuracy,0.0078125
1,classification,7,lead2opp,head/classification/episode_macro_f1,0.0069444444961845875
1,classification,7,lead2opp,head/classification/nll,2.8372165272012353
1,classification,7,lead2opp,loss/total,2.301706314086914
1,classification,8,p2p,head/classification/accuracy,0.328125
1,classification,8,p2p,head/classification/episode_balanced_accuracy,0.328125
1,classification,8,p2p,head/classification/episode_macro_f1,0.275617778301239
1,classification,8,p2p,head/classification/nll,2.7838254671078175
1,classification,8,p2p,loss/total,2.264958143234253
1,classification,9,rid2mit,head/classification/accuracy,0.3125
1,classification,9,rid2mit,head/classification/episode_balanced_accuracy,0.3125
1,classification,9,rid2mit,head/classification/episode_macro_f1,0.2782713770866394
1,classification,9,rid2mit,head/classification/nll,3.263497879728675
1,classification,9,rid2mit,loss/total,2.3443713188171387
1,regression,0,o2c,head/regression/error_p90_hours,103.7554931640625
1,regression,0,o2c,head/regression/mae_hours,53.3386116027832
1,regression,0,o2c,head/regression/r2,-0.12557482719421387
1,regression,0,o2c,head/regression/relative_mae,4.993236064910889
1,regression,0,o2c,loss/total,2.4756431579589844
1,regression,1,hire2retire,head/regression/error_p90_hours,110.21881103515625
1,regression,1,hire2retire,head/regression/mae_hours,40.27373123168945
1,regression,1,hire2retire,head/regression/r2,0.5663246512413025
1,regression,1,hire2retire,head/regression/relative_mae,3.67334246635437
1,regression,1,hire2retire,loss/total,1.2888020277023315
1,regression,10,req2receipt,head/regression/error_p90_hours,82.73287963867188
1,regression,10,req2receipt,head/regression/mae_hours,41.277286529541016
1,regression,10,req2receipt,head/regression/r2,0.7324196696281433
1,regression,10,req2receipt,head/regression/relative_mae,2.0206339359283447
1,regression,10,req2receipt,loss/total,1.2721738815307617
1,regression,2,di2re,head/regression/error_p90_hours,42.634239196777344
1,regression,2,di2re,head/regression/mae_hours,17.755332946777344
1,regression,2,di2re,head/regression/r2,0.33456677198410034
1,regression,2,di2re,head/regression/relative_mae,1.4946372509002686
1,regression,2,di2re,loss/total,1.6039613485336304
1,regression,3,mak2stock,head/regression/error_p90_hours,69.66851043701172
1,regression,3,mak2stock,head/regression/mae_hours,32.814453125
1,regression,3,mak2stock,head/regression/r2,0.3291393518447876
1,regression,3,mak2stock,head/regression/relative_mae,1.3883390426635742
1,regression,3,mak2stock,loss/total,1.5030893087387085
1,regression,4,offer2accept,head/regression/error_p90_hours,50.547454833984375
1,regression,4,offer2accept,head/regression/mae_hours,20.92066192626953
1,regression,4,offer2accept,head/regression/r2,0.3592842221260071
1,regression,4,offer2accept,head/regression/relative_mae,0.7415753602981567
1,regression,4,offer2accept,loss/total,1.4838807582855225
1,regression,5,quote2order,head/regression/error_p90_hours,133.90036010742188
1,regression,5,quote2order,head/regression/mae_hours,68.27986907958984
1,regression,5,quote2order,head/regression/r2,0.3782806992530823
1,regression,5,quote2order,head/regression/relative_mae,3.7606303691864014
1,regression,5,quote2order,loss/total,1.41255784034729
1,regression,6,opp2quote,head/regression/error_p90_hours,54.744327545166016
1,regression,6,opp2quote,head/regression/mae_hours,26.029396057128906
1,regression,6,opp2quote,head/regression/r2,0.4494236707687378
1,regression,6,opp2quote,head/regression/relative_mae,2.3111705780029297
1,regression,6,opp2quote,loss/total,1.3881505727767944
1,regression,7,lead2opp,head/regression/error_p90_hours,136.3116912841797
1,regression,7,lead2opp,head/regression/mae_hours,57.93366241455078
1,regression,7,lead2opp,head/regression/r2,0.597456693649292
1,regression,7,lead2opp,head/regression/relative_mae,2.73248028755188
1,regression,7,lead2opp,loss/total,1.4449615478515625
1,regression,8,p2p,head/regression/error_p90_hours,22071.91796875
1,regression,8,p2p,head/regression/mae_hours,9495.90234375
1,regression,8,p2p,head/regression/r2,-0.15513288974761963
1,regression,8,p2p,head/regression/relative_mae,119.01448822021484
1,regression,8,p2p,loss/total,5.306338787078857
1,regression,9,rid2mit,head/regression/error_p90_hours,23.674278259277344
1,regression,9,rid2mit,head/regression/mae_hours,12.404105186462402
