epoch,task,component,gradient_l2
1,classification,classification/accuracy_surrogate_weighted,0.0454350671824001
1,classification,classification/balanced_accuracy_surrogate_weighted,0.04570344469966436
1,classification,classification/brier_surrogate_weighted,0.043585256789137904
1,classification,classification/macro_f1_surrogate_weighted,0.048366273104243185
1,classification,classification/nll_surrogate_weighted,0.04839610733199484
1,classification,classification_separation_weighted,0.38350310920245584
1,classification,primary,0.21892791767283767
1,classification,routing_weighted,0.3931981613281879
1,regression,confidence_weighted,0.006153112306255277
1,regression,primary,1.320843449426443
1,regression,regression/bias_weighted,0.18710385646949027
1,regression,regression/huber_weighted,0.18322541394305455
1,regression,regression/log_rmse_weighted,0.18355837137668246
1,regression,regression/mae_weighted,0.18771808301638937
1,regression,regression/median_ae_weighted,0.17773232498232108
1,regression,regression/quantile_weighted,0.18771808301638937
1,regression,regression/r2_weighted,0.18996668535261738
1,regression,regression/relative_mae_weighted,0.18219273922738222
1,regression,regression/rmse_weighted,0.20815216061393657
1,regression,regression_gate_aux_weighted,0.00895430286357637
1,regression,routing_weighted,0.020964115763833488
