epoch,phase,task,metric,mean
1,train,classification,loss/total,2.268688572458474
1,train,classification,loss/primary,0.7801208214228412
1,train,classification,loss/routing_weighted,0.6909633117267885
1,train,classification,loss/classification_separation_weighted,0.7976044328456902
1,train,classification,loss/classification/accuracy_surrogate_weighted,0.20854402625237603
1,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.2154476881835116
1,train,classification,loss/classification/macro_f1_surrogate_weighted,0.22018076192183667
1,train,classification,loss/classification/nll_surrogate_weighted,0.03428380949288068
1,train,classification,loss/classification/brier_surrogate_weighted,0.10166453976318779
1,train,regression,loss/total,1.9697830009816297
1,train,regression,loss/primary,1.0341676947341036
1,train,regression,loss/confidence_weighted,0.17329707975263026
1,train,regression,loss/routing_weighted,0.6931559621398129
1,train,regression,loss/regression_gate_aux_weighted,0.06916225634848894
1,train,regression,loss/regression/mae_weighted,1.0341676947341036
1,train,regression,loss/regression/rmse_weighted,0.0
1,train,regression,loss/regression/huber_weighted,0.0
1,train,regression,loss/regression/log_rmse_weighted,0.0
1,train,regression,loss/regression/relative_mae_weighted,0.0
1,train,regression,loss/regression/bias_weighted,0.0
1,train,regression,loss/regression/median_ae_weighted,0.0
1,train,regression,loss/regression/quantile_weighted,0.0
1,train,regression,loss/regression/r2_weighted,0.0
1,validation,classification,loss/total,2.2547507177699697
1,validation,classification,loss/primary,0.7810580405321988
1,validation,classification,loss/routing_weighted,0.6875861178744923
1,validation,classification,loss/classification_separation_weighted,0.7861065810376947
1,validation,classification,loss/classification/accuracy_surrogate_weighted,0.211788995699449
1,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.21205280992117795
1,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.21438422121784903
1,validation,classification,loss/classification/nll_surrogate_weighted,0.03696891309862787
1,validation,classification,loss/classification/brier_surrogate_weighted,0.10586309974843805
1,validation,regression,loss/total,1.911409161307595
1,validation,regression,loss/primary,0.9756684492934834
1,validation,regression,loss/confidence_weighted,0.17344786633144726
1,validation,regression,loss/routing_weighted,0.6932716261256825
1,validation,regression,loss/regression_gate_aux_weighted,0.06902123581279408
1,validation,regression,loss/regression/mae_weighted,0.9756684492934834
1,validation,regression,loss/regression/rmse_weighted,0.0
1,validation,regression,loss/regression/huber_weighted,0.0
1,validation,regression,loss/regression/log_rmse_weighted,0.0
1,validation,regression,loss/regression/relative_mae_weighted,0.0
1,validation,regression,loss/regression/bias_weighted,0.0
1,validation,regression,loss/regression/median_ae_weighted,0.0
1,validation,regression,loss/regression/quantile_weighted,0.0
1,validation,regression,loss/regression/r2_weighted,0.0
2,train,classification,loss/total,2.192919512184299
2,train,classification,loss/primary,0.760651497613816
2,train,classification,loss/routing_weighted,0.687353190516128
2,train,classification,loss/classification_separation_weighted,0.7449148345966728
2,train,classification,loss/classification/accuracy_surrogate_weighted,0.20223794020965796
2,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.21138763954850281
2,train,classification,loss/classification/macro_f1_surrogate_weighted,0.21494327921445677
2,train,classification,loss/classification/nll_surrogate_weighted,0.03259567655369538
2,train,classification,loss/classification/brier_surrogate_weighted,0.0994869668898331
2,train,regression,loss/total,2.244231742191938
2,train,regression,loss/primary,1.309304381897247
2,train,regression,loss/confidence_weighted,0.17320049510282629
2,train,regression,loss/routing_weighted,0.6929866800121233
2,train,regression,loss/regression_gate_aux_weighted,0.06874019287380517
2,train,regression,loss/regression/mae_weighted,1.309304381897247
2,train,regression,loss/regression/rmse_weighted,0.0
2,train,regression,loss/regression/huber_weighted,0.0
2,train,regression,loss/regression/log_rmse_weighted,0.0
2,train,regression,loss/regression/relative_mae_weighted,0.0
2,train,regression,loss/regression/bias_weighted,0.0
2,train,regression,loss/regression/median_ae_weighted,0.0
2,train,regression,loss/regression/quantile_weighted,0.0
2,train,regression,loss/regression/r2_weighted,0.0
2,validation,classification,loss/total,2.145611134442416
2,validation,classification,loss/primary,0.7429285482926802
2,validation,classification,loss/routing_weighted,0.6845860752192411
2,validation,classification,loss/classification_separation_weighted,0.718096521767703
2,validation,classification,loss/classification/accuracy_surrogate_weighted,0.20078773390163074
2,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.20135486261411148
2,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.20487753234126352
2,validation,classification,loss/classification/nll_surrogate_weighted,0.03311513736844063
2,validation,classification,loss/classification/brier_surrogate_weighted,0.10279326953671196
2,validation,regression,loss/total,1.8654643839055842
2,validation,regression,loss/primary,0.9312201657078483
2,validation,regression,loss/confidence_weighted,0.17307923598722977
2,validation,regression,loss/routing_weighted,0.6925436041571877
2,validation,regression,loss/regression_gate_aux_weighted,0.0686213956637816
2,validation,regression,loss/regression/mae_weighted,0.9312201657078483
2,validation,regression,loss/regression/rmse_weighted,0.0
2,validation,regression,loss/regression/huber_weighted,0.0
2,validation,regression,loss/regression/log_rmse_weighted,0.0
2,validation,regression,loss/regression/relative_mae_weighted,0.0
2,validation,regression,loss/regression/bias_weighted,0.0
2,validation,regression,loss/regression/median_ae_weighted,0.0
2,validation,regression,loss/regression/quantile_weighted,0.0
2,validation,regression,loss/regression/r2_weighted,0.0
3,train,classification,loss/total,2.122221436039094
3,train,classification,loss/primary,0.7415113310660085
3,train,classification,loss/routing_weighted,0.6841552180628623
3,train,classification,loss/classification_separation_weighted,0.696554882103397
3,train,classification,loss/classification/accuracy_surrogate_weighted,0.19724831465751894
3,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.20525876658578074
3,train,classification,loss/classification/macro_f1_surrogate_weighted,0.20936138562617762
3,train,classification,loss/classification/nll_surrogate_weighted,0.03144130641894956
3,train,classification,loss/classification/brier_surrogate_weighted,0.09820155741706971
3,train,regression,loss/total,2.023929101023181
3,train,regression,loss/primary,1.090218049287796
3,train,regression,loss/confidence_weighted,0.17298679341529977
3,train,regression,loss/routing_weighted,0.6925602974562809
3,train,regression,loss/regression_gate_aux_weighted,0.06816396764640151
3,train,regression,loss/regression/mae_weighted,1.090218049287796
3,train,regression,loss/regression/rmse_weighted,0.0
3,train,regression,loss/regression/huber_weighted,0.0
3,train,regression,loss/regression/log_rmse_weighted,0.0
3,train,regression,loss/regression/relative_mae_weighted,0.0
3,train,regression,loss/regression/bias_weighted,0.0
3,train,regression,loss/regression/median_ae_weighted,0.0
3,train,regression,loss/regression/quantile_weighted,0.0
3,train,regression,loss/regression/r2_weighted,0.0
3,validation,classification,loss/total,2.087228211489591
3,validation,classification,loss/primary,0.7337520095435056
3,validation,classification,loss/routing_weighted,0.6802455403588035
3,validation,classification,loss/classification_separation_weighted,0.6732306670058857
3,validation,classification,loss/classification/accuracy_surrogate_weighted,0.19756696508689361
3,validation,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.19816206327893518
3,validation,classification,loss/classification/macro_f1_surrogate_weighted,0.20224251530387186
3,validation,classification,loss/classification/nll_surrogate_weighted,0.032791236584836785
3,validation,classification,loss/classification/brier_surrogate_weighted,0.10298922962763092
3,validation,regression,loss/total,1.8457373055544766
3,validation,regression,loss/primary,0.9136209108612754
3,validation,regression,loss/confidence_weighted,0.17248714512044733
3,validation,regression,loss/routing_weighted,0.6915601654486223
3,validation,regression,loss/regression_gate_aux_weighted,0.06806910241192038
3,validation,regression,loss/regression/mae_weighted,0.9136209108612754
3,validation,regression,loss/regression/rmse_weighted,0.0
3,validation,regression,loss/regression/huber_weighted,0.0
3,validation,regression,loss/regression/log_rmse_weighted,0.0
3,validation,regression,loss/regression/relative_mae_weighted,0.0
3,validation,regression,loss/regression/bias_weighted,0.0
3,validation,regression,loss/regression/median_ae_weighted,0.0
3,validation,regression,loss/regression/quantile_weighted,0.0
3,validation,regression,loss/regression/r2_weighted,0.0
4,train,classification,loss/total,2.088780571432675
4,train,classification,loss/primary,0.7296732742022844
4,train,classification,loss/routing_weighted,0.6816803661047244
4,train,classification,loss/classification_separation_weighted,0.6774269246977139
4,train,classification,loss/classification/accuracy_surrogate_weighted,0.19272033690042745
4,train,classification,loss/classification/balanced_accuracy_surrogate_weighted,0.20152149437104955
4,train,classification,loss/classification/macro_f1_surrogate_weighted,0.20808540235937031
4,train,classification,loss/classification/nll_surrogate_weighted,0.030256041471718575
4,train,classification,loss/classification/brier_surrogate_weighted,0.09708999786404224
4,train,regression,loss/total,1.908082177849854
4,train,regression,loss/primary,0.9765894911727127
4,train,regression,loss/confidence_weighted,0.1723345113652093
4,train,regression,loss/routing_weighted,0.6914554477548923
4,train,regression,loss/regression_gate_aux_weighted,0.06770272634061826
4,train,regression,loss/regression/mae_weighted,0.9765894911727127
4,train,regression,loss/regression/rmse_weighted,0.0
4,train,regression,loss/regression/huber_weighted,0.0
4,train,regression,loss/regression/log_rmse_weighted,0.0
4,train,regression,loss/regression/relative_mae_weighted,0.0
4,train,regression,loss/regression/bias_weighted,0.0
4,train,regression,loss/regression/median_ae_weighted,0.0
4,train,regression,loss/regression/quantile_weighted,0.0
4,train,regression,loss/regression/r2_weighted,0.0
4,validation,classification,loss/total,2.040684396570379
4,validation,classification,loss/primary,0.7157007239081643
4,validation,classification,loss/routing_weighted,0.6771620999683033
4,validation,classification,loss/classification_separation_weighted,0.6478215564380992
4,validation,classification,loss/classification/accuracy_surrogate_weighted,0.1913620965047316
