epoch,task,pool,log,metric,mean
1,classification,0,o2c,head/classification/accuracy,0.0
1,classification,0,o2c,head/classification/episode_balanced_accuracy,0.0
1,classification,0,o2c,head/classification/episode_macro_f1,0.0
1,classification,0,o2c,head/classification/nll,3.1621600007638335
1,classification,0,o2c,loss/total,2.4087488651275635
1,classification,1,hire2retire,head/classification/accuracy,0.0
1,classification,1,hire2retire,head/classification/episode_balanced_accuracy,0.0
1,classification,1,hire2retire,head/classification/episode_macro_f1,0.0
1,classification,1,hire2retire,head/classification/nll,2.732448701746762
1,classification,1,hire2retire,loss/total,2.250415086746216
1,classification,10,req2receipt,head/classification/accuracy,0.3203125
1,classification,10,req2receipt,head/classification/episode_balanced_accuracy,0.3203125
1,classification,10,req2receipt,head/classification/episode_macro_f1,0.2923746407032013
1,classification,10,req2receipt,head/classification/nll,3.142402228433639
1,classification,10,req2receipt,loss/total,2.2028427124023438
1,classification,2,di2re,head/classification/accuracy,0.2540983606557377
1,classification,2,di2re,head/classification/episode_balanced_accuracy,0.18847553431987762
1,classification,2,di2re,head/classification/episode_macro_f1,0.13316185772418976
1,classification,2,di2re,head/classification/nll,2.8253999577193962
1,classification,2,di2re,loss/total,2.27482008934021
1,classification,3,mak2stock,head/classification/accuracy,0.234375
1,classification,3,mak2stock,head/classification/episode_balanced_accuracy,0.23333334922790527
1,classification,3,mak2stock,head/classification/episode_macro_f1,0.2154243141412735
1,classification,3,mak2stock,head/classification/nll,3.2049791880417615
1,classification,3,mak2stock,loss/total,2.26513671875
1,classification,4,offer2accept,head/classification/accuracy,0.0
1,classification,4,offer2accept,head/classification/episode_balanced_accuracy,0.0
1,classification,4,offer2accept,head/classification/episode_macro_f1,0.0
1,classification,4,offer2accept,head/classification/nll,2.719798818230629
1,classification,4,offer2accept,loss/total,2.2495369911193848
1,classification,5,quote2order,head/classification/accuracy,0.7096774193548387
1,classification,5,quote2order,head/classification/episode_balanced_accuracy,0.6603299975395203
1,classification,5,quote2order,head/classification/episode_macro_f1,0.4699420630931854
1,classification,5,quote2order,head/classification/nll,1.3246226912184107
1,classification,5,quote2order,loss/total,1.8605493307113647
1,classification,6,opp2quote,head/classification/accuracy,0.1875
1,classification,6,opp2quote,head/classification/episode_balanced_accuracy,0.1875
1,classification,6,opp2quote,head/classification/episode_macro_f1,0.17532242834568024
1,classification,6,opp2quote,head/classification/nll,3.3190593030303717
1,classification,6,opp2quote,loss/total,2.3512139320373535
1,classification,7,lead2opp,head/classification/accuracy,0.0078125
1,classification,7,lead2opp,head/classification/episode_balanced_accuracy,0.0078125
1,classification,7,lead2opp,head/classification/episode_macro_f1,0.0069444444961845875
1,classification,7,lead2opp,head/classification/nll,2.8747913287952542
1,classification,7,lead2opp,loss/total,2.314192056655884
1,classification,8,p2p,head/classification/accuracy,0.28125
1,classification,8,p2p,head/classification/episode_balanced_accuracy,0.28125
1,classification,8,p2p,head/classification/episode_macro_f1,0.24515224993228912
1,classification,8,p2p,head/classification/nll,2.8572970199165866
1,classification,8,p2p,loss/total,2.2712912559509277
1,classification,9,rid2mit,head/classification/accuracy,0.28125
1,classification,9,rid2mit,head/classification/episode_balanced_accuracy,0.28125
1,classification,9,rid2mit,head/classification/episode_macro_f1,0.2563231885433197
1,classification,9,rid2mit,head/classification/nll,3.299967364873737
1,classification,9,rid2mit,loss/total,2.353510856628418
1,regression,0,o2c,head/regression/error_p90_hours,104.8760986328125
1,regression,0,o2c,head/regression/mae_hours,54.547916412353516
1,regression,0,o2c,head/regression/r2,-0.1423327922821045
1,regression,0,o2c,head/regression/relative_mae,5.4283294677734375
1,regression,0,o2c,loss/total,3.058098793029785
1,regression,1,hire2retire,head/regression/error_p90_hours,109.92395782470703
1,regression,1,hire2retire,head/regression/mae_hours,40.91223907470703
1,regression,1,hire2retire,head/regression/r2,0.5599121451377869
1,regression,1,hire2retire,head/regression/relative_mae,3.603482723236084
1,regression,1,hire2retire,loss/total,1.217747449874878
1,regression,10,req2receipt,head/regression/error_p90_hours,83.9218521118164
1,regression,10,req2receipt,head/regression/mae_hours,41.30345916748047
1,regression,10,req2receipt,head/regression/r2,0.725912868976593
1,regression,10,req2receipt,head/regression/relative_mae,1.9800326824188232
1,regression,10,req2receipt,loss/total,1.3305487632751465
1,regression,2,di2re,head/regression/error_p90_hours,44.787776947021484
1,regression,2,di2re,head/regression/mae_hours,17.392375946044922
1,regression,2,di2re,head/regression/r2,0.3559325933456421
1,regression,2,di2re,head/regression/relative_mae,1.4224023818969727
1,regression,2,di2re,loss/total,1.8302397727966309
1,regression,3,mak2stock,head/regression/error_p90_hours,67.7579345703125
1,regression,3,mak2stock,head/regression/mae_hours,32.846107482910156
1,regression,3,mak2stock,head/regression/r2,0.3332129716873169
1,regression,3,mak2stock,head/regression/relative_mae,1.313769817352295
1,regression,3,mak2stock,loss/total,1.6615595817565918
1,regression,4,offer2accept,head/regression/error_p90_hours,49.33180236816406
1,regression,4,offer2accept,head/regression/mae_hours,20.554576873779297
1,regression,4,offer2accept,head/regression/r2,0.3701664209365845
1,regression,4,offer2accept,head/regression/relative_mae,0.7274665236473083
1,regression,4,offer2accept,loss/total,1.6821494102478027
1,regression,5,quote2order,head/regression/error_p90_hours,143.5541534423828
1,regression,5,quote2order,head/regression/mae_hours,68.7174072265625
1,regression,5,quote2order,head/regression/r2,0.359066903591156
1,regression,5,quote2order,head/regression/relative_mae,3.8270480632781982
1,regression,5,quote2order,loss/total,1.401592493057251
1,regression,6,opp2quote,head/regression/error_p90_hours,56.08098602294922
1,regression,6,opp2quote,head/regression/mae_hours,26.177494049072266
1,regression,6,opp2quote,head/regression/r2,0.43638843297958374
1,regression,6,opp2quote,head/regression/relative_mae,2.3060994148254395
1,regression,6,opp2quote,loss/total,1.4442999362945557
1,regression,7,lead2opp,head/regression/error_p90_hours,138.63050842285156
1,regression,7,lead2opp,head/regression/mae_hours,57.06035614013672
1,regression,7,lead2opp,head/regression/r2,0.6040804386138916
1,regression,7,lead2opp,head/regression/relative_mae,2.6913208961486816
1,regression,7,lead2opp,loss/total,1.5347533226013184
1,regression,8,p2p,head/regression/error_p90_hours,21728.1953125
1,regression,8,p2p,head/regression/mae_hours,9551.1650390625
1,regression,8,p2p,head/regression/r2,-0.13883447647094727
1,regression,8,p2p,head/regression/relative_mae,140.46896362304688
1,regression,8,p2p,loss/total,4.325653076171875
1,regression,9,rid2mit,head/regression/error_p90_hours,23.864717483520508
1,regression,9,rid2mit,head/regression/mae_hours,12.461074829101562
