epoch,phase,task,metric,mean
1,train,classification,head/classification/accuracy,0.2652622753032064
1,train,classification,head/classification/episode_accuracy,0.2652622775500079
1,train,classification,head/classification/episode_balanced_accuracy,0.1488714004945324
1,train,classification,head/classification/episode_macro_f1,0.10334241832325976
1,train,classification,head/classification/nll,2.5306296091647535
1,train,classification,head/classification/true_probability_mean,0.1274073914386322
1,train,classification,head/classification/max_probability_mean,0.210139603646675
1,train,classification,head/classification/entropy_mean,0.8560764436478759
1,train,classification,head/classification/probability_margin_mean,0.09125046197325772
1,train,classification,head/classification/local_class_coverage,0.301680664152418
1,train,classification,head/classification/gate/mean,0.301680664152418
1,train,classification,head/classification/prototype_variances/mean,0.0008025917670751648
1,train,classification,head/classification/selector/log_weight/abs_mean,0.04323880598872502
1,train,classification,head/classification/selector/effective_support/mean,13.963550588914575
1,train,classification,head/classification/selector/attention_entropy_mean,0.9428372699895261
1,train,regression,head/regression/mae_hours,980.7376648347769
1,train,regression,head/regression/rmse_hours,1347.3823704363695
1,train,regression,head/regression/median_ae_hours,769.0953537670534
1,train,regression,head/regression/bias_hours,-177.57958279527836
1,train,regression,head/regression/relative_mae,18.313740451834096
1,train,regression,head/regression/r2,0.3288756546689503
1,train,regression,head/regression/branch_weight_entropy_mean,0.9999861267965231
1,train,regression,head/regression/branch_0/mae_hours,979.6993947029114
1,train,regression,head/regression/branch_0/weight_mean,0.25119804390775624
1,train,regression,head/regression/branch_1/mae_hours,971.4365946641609
1,train,regression,head/regression/branch_1/weight_mean,0.24807760063836823
1,train,regression,head/regression/branch_2/mae_hours,1018.0615605311607
1,train,regression,head/regression/branch_2/weight_mean,0.25014624911457745
1,train,regression,head/regression/branch_3/mae_hours,1038.3787963497105
1,train,regression,head/regression/branch_3/weight_mean,0.25057810711771694
1,train,regression,head/regression/selector/log_weight/abs_mean,0.05045764190978857
1,train,regression,head/regression/selector/effective_support/mean,13.938869298394046
1,train,regression,head/regression/selector/attention_entropy_mean,0.9463676240906786
1,validation,classification,head/classification/accuracy,0.2054449756021345
1,validation,classification,head/classification/episode_accuracy,0.2054449753327803
1,validation,classification,head/classification/episode_balanced_accuracy,0.1953580921346491
1,validation,classification,head/classification/episode_macro_f1,0.16251068735833873
1,validation,classification,head/classification/nll,2.866257462037142
1,validation,classification,head/classification/true_probability_mean,0.1138439934471795
1,validation,classification,head/classification/max_probability_mean,0.23820744583848538
1,validation,classification,head/classification/entropy_mean,0.8200302447373556
1,validation,classification,head/classification/probability_margin_mean,0.12281287458859726
1,validation,classification,head/classification/local_class_coverage,0.2637692999950135
1,validation,classification,head/classification/gate/mean,0.2637692999950135
