task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,training_debug_target_screen,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,1,1.0,1,1.0,1.0,0.8413461538461539,0.36990950226244346,0.29989944695827053,0.3487322201607916,0.3554063315604095,0.6,0.9038461538461539,0.4,1.0,0.9247737556561086,3.095951068895675,0.2835779368120638,0.059880774712343196,0.2767075436784625,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1128.9384364915707,1840.8022175108554,922.4739967972528,0.885057745194739,-0.031805832673079015,0.13278508708427628,-0.031805832673079015,0.13830500672579327,0.15384615384615385,661.182815845196,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,1,1.0,1,1.0,1.0,0.7980769230769231,0.38235294117647056,0.3137254901960784,0.3651187546388531,0.338650590671051,0.5,0.9134615384615384,0.5,1.0,0.7647058823529412,3.0042323799869375,0.35417582795488545,0.1431718221606479,0.29627261261019,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,899.0407703606317,1887.8019162502546,329.1836456695992,0.7048240819281052,0.17831169469981611,0.11064319738986483,0.17831169469981623,0.0937413661497094,0.75,1412.0498896378738,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,1,1.0,1,1.0,1.0,0.8798076923076923,0.38529411764705884,0.31699346405228757,0.3534063852813853,0.3677790204032578,0.6,0.9134615384615384,0.44219457013574653,0.8843891402714933,0.78125,2.7834864614685704,0.22734225113775292,0.0709605640114914,0.18607491889766897,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,885.824421516151,1778.007895811601,330.14088939832436,0.6944628155118825,0.1903909236316933,0.16236793509803893,0.1903909236316934,0.19609138561805617,0.8798076923076923,2478.2158842820386,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,1,1.0,1,1.0,1.0,0.9038461538461539,0.4,0.33333333333333337,0.35979956666734586,0.3785341144353664,0.6,0.9519230769230769,0.5,0.7142857142857143,0.6666666666666666,1.6628746083176504,0.17787340748081626,0.08827698071977105,0.04423327367448211,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1007.6714139179073,2000.7669972621509,462.83317155857367,0.7899876208227912,0.07902751054380597,0.05742455067141494,0.07902751054380608,-0.017963818287525468,0.8557692307692307,3763.9763524715718,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,1,1.0,1,1.0,1.0,0.9134615384615384,0.47205882352941175,0.4133986928104575,0.46511511511511505,0.4658075381965895,0.5,0.9711538461538461,0.5833333333333333,0.7291666666666666,0.5588235294117647,1.1181804079676756,0.1550626378280716,0.0705099754889364,0.045364897816882924,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,943.1120384794096,1925.916165243392,425.0086441132688,0.7393747854281979,0.1380322693313507,0.09268730576445894,0.1380322693313507,0.05677768080837442,0.8605769230769231,3406.1432325106402,learned_transform_ensemble,4,dynamic
