task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
classification,training_debug_target_screen,main,billing,0,natural,1,4,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,0.9038461538461539,2.3365384615384617,0.4519230769230769,1,1.0,1,1.0,1.0,0.8653846153846154,0.37952488687782804,0.3105832076420312,0.3510832967354707,0.36305360781316187,0.6,0.9038461538461539,0.4,1.0,0.9488122171945701,3.076987815988335,0.2683309264850251,0.09243103881017598,0.24524497864110578,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,1,4,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,1144.9317043558551,1874.0909284951726,922.1237105971068,0.8975960423566718,-0.04642305760976839,0.11710254046263135,-0.04642305760976817,0.10685776080816844,0.125,662.0326323876014,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,4,15,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,2.2451923076923075,2.639423076923077,0.5469551282051283,1,1.0,1,1.0,1.0,0.7980769230769231,0.38235294117647056,0.3137254901960784,0.3669376547215613,0.339409379973777,0.5,0.9134615384615384,0.5,1.0,0.7647058823529412,2.9782803884490363,0.36067792588457664,0.20513161620438472,0.24624238118551867,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,4,15,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,935.4305832074798,1965.406369765811,276.447286177734,0.7333527285444617,0.14505282075984638,0.07408319178080558,0.1450528207598465,0.017700257090526805,0.7019230769230769,1253.7339339623084,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,16,59,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9038461538461539,9.427884615384615,2.639423076923077,0.6417027051895473,1,1.0,1,1.0,1.0,0.8701923076923077,0.38129411764705884,0.3125490196078431,0.34841115327503713,0.36368938774992615,0.6,0.9134615384615384,0.429524886877828,0.859049773755656,0.792,2.713769861824609,0.22909160321161717,0.05281614360436542,0.16784325601868133,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,16,59,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,853.1043007923216,1792.3299440405938,323.588631554303,0.6688111100386157,0.22029584166560645,0.15562071712452108,0.22029584166560656,0.18308808040151792,0.8461538461538461,2183.2327961554893,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,64,255,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9519230769230769,35.69230769230769,2.831730769230769,0.694379386101618,1,1.0,1,1.0,1.0,0.8894230769230769,0.3930588235294118,0.3256209150326798,0.35562376938563306,0.3732325559922759,0.6,0.9519230769230769,0.4862714932126696,0.6946735617323853,0.6666666666666666,1.6484924437752697,0.19362615322722995,0.09653204619644744,0.07039530210650019,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,64,255,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,993.1296141973858,2021.2252157659805,439.64057909197436,0.778587236128905,0.09231815003680355,0.04778653958611767,0.09231815003680366,-0.038887993600416504,0.8509615384615384,3262.5814587152922,learned_transform_ensemble,4,dynamic
classification,training_debug_target_screen,main,billing,0,natural,128,514,fm_structured_mix,balanced,1.0,20,208,3,0.5,0.75,0.5,0.9711538461538461,69.79326923076923,2.889423076923077,0.7114977411489416,1,1.0,1,1.0,1.0,0.9038461538461539,0.42205882352941176,0.3578431372549019,0.46099370046738464,0.41812483073710044,0.5,0.9711538461538461,0.6034690799396681,0.7543363499245852,0.5416666666666667,1.1133275862238479,0.15978342474902124,0.07010811908710464,0.047127536175002246,,,,,,,,,,,,,
regression,training_debug_target_screen,,billing,0,natural,128,514,,,,20,208,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,909.8110047796562,1880.4284511807114,418.2428334634951,0.7132676596131243,0.1684681192367099,0.11411688880947735,0.16846811923671,0.100806955361041,0.8461538461538461,2994.22591647735,learned_transform_ensemble,4,dynamic
