task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,virtual_support_bagging_screen,,billing,0,natural,4,15,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,861.455334934429,1847.5969320565516,285.36764286305333,0.6753580989699408,0.2126633211860518,0.12958404911996912,0.2126633211860518,0.13193194035556322,0.7355769230769231,1154.3832638080303,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,0,natural,8,28,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,866.8676195974537,1847.0679887753492,291.3739177793215,0.6796011863743304,0.2077167034583829,0.12983323803183677,0.207716703458383,0.13242890268991203,0.7403846153846154,1153.9365430978628,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,0,natural,16,59,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,827.4485977604581,1711.0590027219168,340.2121067639,0.6486977203773217,0.2437441566258729,0.1939080310074639,0.243744156625873,0.2554921466904315,0.9086538461538461,3229.119205181415,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,0,natural,32,118,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,795.8728517302643,1676.7496623578013,368.0911348811569,0.6239431742648033,0.27260316068831547,0.21007140333124097,0.2726031606883156,0.2850498410983503,0.8894230769230769,2839.632790198693,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,0,natural,64,255,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,952.4919270478948,1772.5279939708198,495.0274727699848,0.7467283688994109,0.12945941591264365,0.16494955552006652,0.12945941591264376,0.201039115688057,0.9519230769230769,5045.203031686636,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,0,natural,128,514,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,895.2088418854427,1705.5065726467558,471.77950449281843,0.7018199517945454,0.18181392832326626,0.19652381999244917,0.18181392832326626,0.2603162008008557,0.9471153846153846,3730.0873782818135,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,1,natural,4,13,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1719.3964139505474,2687.5176630005576,750.7239607314942,1.3479611146522905,-0.571461464368874,-0.266108533501239,-0.5714614643688738,-0.8367158185763297,0.9038461538461539,9128.863030066857,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,1,natural,8,27,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,1171.9568428773002,1912.8066621569187,528.4151422829684,0.9187830330642419,-0.0711229833576088,0.09886328516591636,-0.0711229833576088,0.06957480242706204,0.9903846153846154,7611.349617591271,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,1,natural,16,61,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,894.9166563502454,1608.2327660869735,387.27880409958743,0.7015908860965399,0.18208097454092909,0.24235019660274637,0.18208097454092909,0.3422859425081387,0.9663461538461539,5572.478827843299,learned_transform_ensemble,4,dynamic
regression,virtual_support_bagging_screen,,billing,1,natural,32,126,,,,50,208,,,,,,,,,,,,,,,,,,,,,,,802.7201527674677,1660.7473715583717,325.5261948867045,0.6293112763869086,0.26634499379463517,0.21761019543506865,0.2663449937946353,0.2986311728731459,0.9711538461538461,5347.303296602689,learned_transform_ensemble,4,dynamic
