log,shot,accuracy,mae_hours,r2
receipt,1,0.329,181.11,-0.174
receipt,5,0.377,85.15,-0.102
receipt,10,0.393,119.32,-0.058
receipt,20,0.428,86.79,-0.070
helpdesk,1,0.318,0.33,-1.101
helpdesk,5,0.389,0.27,-0.107
helpdesk,10,0.423,0.22,0.055
helpdesk,20,0.450,0.21,0.161
sepsis,1,0.373,1291.98,-1.512
sepsis,5,0.450,990.24,-0.134
sepsis,10,0.464,857.70,-0.085
sepsis,20,0.483,900.66,-0.118
roadtraffic,1,0.616,7437.31,-1.130
roadtraffic,5,0.671,5772.81,-0.432
roadtraffic,10,0.664,4933.58,-0.114
roadtraffic,20,0.689,5237.55,0.006
billing,1,0.420,2183.09,-0.471
billing,5,0.506,1346.33,-0.166
billing,10,0.535,1515.60,-0.060
billing,20,0.539,1089.48,0.033
