log,fraction_percent,classification_accuracy,regression_mae_hours
billing,0.5,0.8950,1160.7777
billing,1,0.9200,1186.5530
billing,3,0.9200,1194.6041
billing,5,0.9150,1163.6401
billing,10,0.9250,1120.5362
billing,20,0.9400,1157.2576
billing,50,0.9400,1117.6198
billing,100,0.9450,1099.8401
helpdesk,0.5,0.7250,0.1960
helpdesk,1,0.7850,0.2021
helpdesk,3,0.8000,0.1772
helpdesk,5,0.8100,0.1848
helpdesk,10,0.8100,0.1741
helpdesk,20,0.8050,0.1686
helpdesk,50,0.8300,0.1670
helpdesk,100,0.8400,0.1661
receipt,0.5,0.6800,97.1067
receipt,1,0.7850,102.5240
receipt,3,0.8000,101.7245
receipt,5,0.7850,99.9050
receipt,10,0.8050,100.8993
receipt,20,0.8050,99.0821
receipt,50,0.8500,98.0772
receipt,100,0.8500,94.4677
roadtraffic_10000,0.5,0.8500,4459.5550
roadtraffic_10000,1,0.8550,4592.9824
roadtraffic_10000,3,0.8550,4477.5697
roadtraffic_10000,5,0.8800,4440.8163
roadtraffic_10000,10,0.8850,4456.0001
roadtraffic_10000,20,0.8950,4402.3713
roadtraffic_10000,50,0.8900,4301.9524
roadtraffic_10000,100,0.9000,4287.3581
sepsis,0.5,0.4458,703.1954
sepsis,1,0.4663,936.7253
sepsis,3,0.5422,788.3009
sepsis,5,0.5496,718.7791
sepsis,10,0.5581,727.6845
sepsis,20,0.5715,713.3536
sepsis,50,0.5927,666.9328
sepsis,100,0.5980,614.9354
